time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rew_vec_envs,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates
1,68,1081344,476,530.5702829360962,,,,,,,,,,,
2,127,1114112,512,420.7549235522747,-0.0061351940432359696,0.001,4353.524262475968,3308.258056640625,0.7840266823768616,0.2,0.690807968378067,-4.708409011363983,0.01213362,0.10167236328125,330
3,189,1146880,518,541.6393200159073,-0.007129067167988978,0.001,3026.646637105942,258.29248046875,0.7747859954833984,0.2,0.7532305717468262,-4.661873015761375,0.013494348,0.120660400390625,340
4,252,1179648,518,538.8561913967133,-0.00760065431422845,0.001,4294.318904304504,1420.392333984375,0.7697001099586487,0.2,0.7271564304828644,-4.630545565485955,0.010460615,0.0986297607421875,350
5,315,1212416,519,663.8717075884342,-0.0071254128819418835,0.001,4108.55439453125,628.9849243164062,0.7598326802253723,0.2,0.7683727890253067,-4.587440674006939,0.009800346,0.0892730712890625,360
6,378,1245184,519,697.9122958183289,-0.0073532095288101115,0.001,4773.254118013382,2190.94384765625,0.752815842628479,0.2,0.7769576609134674,-4.545277758687734,0.0107646845,0.08907470703125,370
7,439,1277952,521,657.8832223415375,-0.0063287997883890055,0.001,5266.196728515625,1380.1334228515625,0.749794602394104,0.2,0.7590891569852829,-4.518493857979775,0.009651894,0.0756103515625,380
8,500,1310720,523,748.4047356843948,-0.006701071768111433,0.001,4471.350786590576,1994.1861572265625,0.7458072900772095,0.2,0.7721061110496521,-4.496745957434177,0.00988269,0.0753875732421875,390
9,562,1343488,524,855.5474597811699,-0.007890510765719227,0.001,3581.648313474655,833.6903076171875,0.742026686668396,0.2,0.7739725112915039,-4.474718154966832,0.01240013,0.1049652099609375,400
10,624,1376256,524,526.7660694122314,-0.006708798933686921,0.001,5216.582684421539,1220.658203125,0.7355170249938965,0.2,0.770967647433281,-4.451125722378492,0.00905066,0.06612548828125,410
11,688,1409024,523,962.4998338222504,-0.007493009201789391,0.001,3921.3135365486146,414.8702392578125,0.7319331169128418,0.2,0.7762298882007599,-4.422075367718935,0.010984621,0.090069580078125,420
12,750,1441792,524,865.7406338602304,-0.006826791926869191,0.001,4230.522145366669,688.2198486328125,0.7303807735443115,0.2,0.7660762071609497,-4.4048758931458,0.009077625,0.0758544921875,430
13,815,1474560,522,756.1857717037201,-0.0069037755434692375,0.001,4072.1178686141966,1287.8717041015625,0.7249728441238403,0.2,0.7314366400241852,-4.380728928744793,0.009417087,0.0798187255859375,440
14,881,1507328,520,648.7582850456238,-0.007363155560597079,0.001,6328.266061973572,1313.1495361328125,0.7193279266357422,0.2,0.7272482812404633,-4.352008288353682,0.009068143,0.0719329833984375,450
15,948,1540096,518,856.1663866043091,-0.006779386042398983,0.001,5281.354621124267,1140.6072998046875,0.7120885848999023,0.2,0.7463745176792145,-4.316680937260389,0.008758359,0.0657562255859375,460
16,1012,1572864,517,1477.0257828235626,-0.007508634485930088,0.001,4037.2034027099608,617.8909301757812,0.7122205495834351,0.2,0.7503630667924881,-4.2958053283393385,0.010799373,0.0799896240234375,470
17,1078,1605632,516,805.4480990469456,-0.006550785783838364,0.001,5252.157504653931,837.7924194335938,0.7044958472251892,0.2,0.7198046147823334,-4.2740567497909066,0.009247774,0.062420654296875,480
18,1140,1638400,517,917.9182686805725,-0.007121187512348115,0.001,5702.109460067749,1102.2034912109375,0.6971999406814575,0.2,0.7244102954864502,-4.230583965778351,0.0081329085,0.0674468994140625,490
19,1205,1671168,516,971.3152301311493,-0.006836095599646796,0.001,5331.829902362823,638.391845703125,0.6953388452529907,0.2,0.7420623004436493,-4.208523289859295,0.008630509,0.0764495849609375,500
