rew_vec_envs,time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/n_updates,train/value_loss,train/entropy_loss,train/learning_rate,train/std,train/loss,train/policy_gradient_loss
0.022053596,1211,54,1114112,1,,,,,,,,,,,
0.015677165,1305,100,1179648,2,0.16145670413970947,0.006269968,0.04818267822265625,0.2,170,41.38768061134033,-5.418861746042967,0.0001,0.9362642168998718,0.49271854758262634,-0.0030612377325269337
0.02597908,1306,150,1245184,3,-0.004639744758605957,0.0058926893,0.04281463623046875,0.2,180,69.88609570637345,-5.4066988252103325,0.0001,0.934162974357605,0.6066977381706238,-0.0024017521167479573
0.020789359,1316,199,1310720,4,0.12177395820617676,0.007228275,0.06150970458984375,0.2,190,52.29159711697139,-5.404129653051496,0.0001,0.9350200891494751,0.3299995958805084,-0.0026521256793785144
0.010946259,1327,246,1376256,5,0.18996477127075195,0.006518179,0.0563934326171875,0.2,200,110.76649525254034,-5.399346386641264,0.0001,0.9324754476547241,1.4775372743606567,-0.0033974400819715813
0.020964906,1323,297,1441792,6,0.00394284725189209,0.006328656,0.053338623046875,0.2,210,91.68240153719671,-5.39041179344058,0.0001,0.9313833713531494,54.238365173339844,-0.0020490097727815736
0.020914499,1317,348,1507328,7,0.14831459522247314,0.0058636195,0.03850250244140625,0.2,220,125.8372073858045,-5.388089535757899,0.0001,0.9308319091796875,38.46932601928711,-0.001847860266570933
0.024392048,1319,397,1572864,8,0.2316160798072815,0.0055553243,0.05203857421875,0.2,230,146.31945703551173,-5.387362645193934,0.0001,0.9317478537559509,13.473566055297852,-0.0032002546331568738
0.018244967,1318,447,1638400,9,-0.13351035118103027,0.006410397,0.06529083251953124,0.2,240,78.0316434928216,-5.398828878626228,0.0001,0.9360726475715637,1.661327600479126,-0.003495984167966526
0.029790778,1297,505,1703936,10,0.2286747694015503,0.004486209,0.03387451171875,0.2,250,141.69396525155753,-5.413605891913176,0.0001,0.938957929611206,33.928524017333984,-0.0021285839186020892
0.019167487,1268,568,1769472,11,0.3236188292503357,0.005274863,0.04827880859375,0.2,260,84.02427318319678,-5.421349411457777,0.0001,0.9394104480743408,2.7902019023895264,-0.0031341677729869845
0.023204705,1259,624,1835008,12,0.10048890113830566,0.0059154895,0.04653778076171875,0.2,270,96.07000841116533,-5.422259326279163,0.0001,0.9401722550392151,60.65926742553711,-0.0023364066089925474
-12.475676,1260,675,1900544,13,0.19680160284042358,0.0061806785,0.05004425048828125,0.2,280,170.7970686079003,-5.419761448726058,0.0001,0.9376261830329895,41.017181396484375,-0.0026289483614164054
0.023477068,1261,727,1966080,14,0.302643358707428,0.0052805413,0.0482666015625,0.2,290,118.79201747849584,-5.413014882802964,0.0001,0.9369850158691406,2.7946832180023193,-0.002768059669597278
0.02009258,1260,779,2031616,15,0.30214977264404297,0.0058742315,0.05634307861328125,0.2,300,135.35175956860184,-5.4082090865820645,0.0001,0.9355449080467224,20.221696853637695,-0.0028187829887428963
0.022305155,1252,837,2097152,16,0.21544665098190308,0.006921077,0.07168121337890625,0.2,310,51.55495741199702,-5.409579603001475,0.0001,0.936889111995697,16.019134521484375,-0.00332402423464373
