time/time_elapsed,time/iterations,time/fps,rew_vec_envs,time/total_timesteps,train/std,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/entropy_loss
72,1,450,6971.083312988281,19955712,,,,,,,,,,,
135,2,485,7235.807281494141,19988480,0.16855934262275696,0.001,0.004157733119063778,0.8322220146656036,6090,0.2,9627.17448387146,0.291839599609375,2021.540283203125,0.04087265,2.221678125113249
198,3,495,7217.202606201172,20021248,0.1683139055967331,0.001,0.006080929599556839,0.8168864250183105,6100,0.2,9739.346979141235,0.32073974609375,2240.2763671875,0.035168458,2.2291448142379524
260,4,502,7042.895416259766,20054016,0.16800829768180847,0.001,0.004799452622319222,0.8216002285480499,6110,0.2,10624.245586395264,0.308349609375,2542.0537109375,0.030594334,2.2367575906217096
324,5,504,7345.971405029297,20086784,0.16777533292770386,0.001,0.004768501722173824,0.817400798201561,6120,0.2,10786.819829177857,0.300469970703125,2404.20458984375,0.037779868,2.243680703639984
389,6,504,7524.088623046875,20119552,0.1675136834383011,0.001,0.005476176110823872,0.8146284818649292,6130,0.2,9532.034853363037,0.3119903564453125,2785.982177734375,0.044916783,2.2467561952769755
456,7,502,7297.201843261719,20152320,0.16696661710739136,0.001,0.004013913755625253,0.8197269588708878,6140,0.2,11265.097384643555,0.29466552734375,2310.157958984375,0.03390707,2.2541972707957028
529,8,494,6886.6470947265625,20185088,0.1670582890510559,0.001,0.006583679538744036,0.8170819729566574,6150,0.2,10143.093381500245,0.3047332763671875,1963.2940673828125,0.03381278,2.263076388835907
601,9,489,7177.365386962891,20217856,0.16688629984855652,0.001,0.0023722227600956104,0.8120572566986084,6160,0.2,10941.9847076416,0.279119873046875,2977.53369140625,0.030222956,2.2690838653594256
675,10,484,6681.1148681640625,20250624,0.16666659712791443,0.001,0.005938638515362982,0.8221012353897095,6170,0.2,10330.583111953736,0.3074371337890625,1796.5211181640625,0.03802544,2.2761397365480662
741,11,485,7273.203063964844,20283392,0.16654632985591888,0.001,0.00560544966647285,0.8118184208869934,6180,0.2,10477.964242553711,0.309130859375,2588.32568359375,0.049088906,2.2794345702975987
804,12,488,7365.21452331543,20316160,0.16624346375465393,0.001,0.008017853978162747,0.8180345296859741,6190,0.2,10443.431115341187,0.342779541015625,2258.44873046875,0.044018775,2.2830695535987617
869,13,489,6954.503814697266,20348928,0.16599184274673462,0.001,0.003821260992117459,0.8362437784671783,6200,0.2,10941.68133239746,0.3149688720703125,2485.69970703125,0.04299973,2.2861188489943745
936,14,490,7069.955963134766,20381696,0.16573208570480347,0.001,0.003993641116539948,0.8263921439647675,6210,0.2,10358.186052703857,0.2906341552734375,2716.82763671875,0.033540078,2.2884170740842817
1003,15,490,6755.908050537109,20414464,0.16551697254180908,0.001,0.004985346727698925,0.8073413074016571,6220,0.2,10531.228647613525,0.318365478515625,3179.746826171875,0.041108303,2.2918253242969513
1067,16,491,7534.830261230469,20447232,0.1655116081237793,0.001,0.004726924861097359,0.8223505616188049,6230,0.2,11115.80825958252,0.317523193359375,2210.945556640625,0.039092377,2.295785056054592
1130,17,492,7037.34521484375,20480000,0.1652093529701233,0.001,0.004703637897182489,0.7962739765644073,6240,0.2,11492.788283157348,0.30264892578125,2856.34765625,0.03468385,2.2994509633630513
1196,18,493,6657.54475402832,20512768,0.1654088944196701,0.001,0.0048100280615472005,0.8368481993675232,6250,0.2,9534.377152252197,0.320343017578125,2150.300048828125,0.0304736,2.298640501126647
1262,19,492,7289.592071533203,20545536,0.1653626561164856,0.001,0.004493404832101078,0.8129976093769073,6260,0.2,10563.397478485107,0.312042236328125,2347.304443359375,0.03252648,2.2988128077238796
1335,20,490,7493.802398681641,20578304,0.16504116356372833,0.001,0.0069206957581627645,0.8168293237686157,6270,0.2,10648.372222137452,0.314678955078125,2249.86962890625,0.04892893,2.3027844823896886
1399,21,491,6848.1951904296875,20611072,0.16468070447444916,0.001,0.006829437840133323,0.830570250749588,6280,0.2,9590.03221168518,0.3228302001953125,2116.000244140625,0.040867627,2.3088316209614277
1470,22,490,6927.266143798828,20643840,0.16416369378566742,0.001,0.003933162778230326,0.8010443598031998,6290,0.2,10330.563193511964,0.3007568359375,2425.151611328125,0.04435479,2.3193124551326036
1535,23,490,6778.617492675781,20676608,0.164474755525589,0.001,0.006901454097533133,0.8183689713478088,6300,0.2,11023.849694061279,0.3339508056640625,2252.409912109375,0.040408142,2.3203201543539764
