time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rew_vec_envs,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/loss,train/std,train/clip_range,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates
1,61,32768,535,-76.35143637657166,,,,,,,,,,,
2,112,65536,584,-59.161395251750946,-0.015126378772401949,0.001,21.21178744658828,4.853010654449463,0.9905932545661926,0.2,-0.0264589786529541,-5.644654557853937,0.0121623445,0.154443359375,10
3,166,98304,591,-45.93415743112564,-0.015614994632778689,0.001,87.8532394900918,309.2112121582031,0.9859094619750977,0.2,0.2671082615852356,-5.620477342605591,0.013199428,0.170050048828125,20
4,240,131072,545,-19.99155868589878,-0.017314017318130936,0.001,71.51303108930588,101.49745178222656,0.9795956015586853,0.2,0.3135949969291687,-5.599684285372495,0.0137272235,0.181353759765625,30
5,292,163840,560,-16.39812122285366,-0.021136467532051027,0.001,15.918221916258336,6.003036975860596,0.9681493639945984,0.2,0.629548192024231,-5.55222117304802,0.017694118,0.2215545654296875,40
6,343,196608,572,25.39835023134947,-0.02126820203338866,0.001,13.299784103780985,5.650187015533447,0.9618597030639648,0.2,0.6824502646923065,-5.519116097688675,0.01862625,0.2379669189453125,50
7,396,229376,578,13.999613583087921,-0.02172160482186882,0.001,12.381675201654435,4.272850036621094,0.9568638801574707,0.2,0.7171506285667419,-5.496809875965118,0.02074716,0.2552886962890625,60
8,448,262144,583,4.832564175128937,-0.014305947919638129,0.001,126.93617060482502,141.8209228515625,0.9503219127655029,0.2,0.29358088970184326,-5.477643376588821,0.018377652,0.243646240234375,70
9,509,294912,579,32.105037838220596,-0.008048561177565717,0.001,90.65131087750197,3.6930644512176514,0.9459654092788696,0.2,0.43266260623931885,-5.449117381870747,0.024736397,0.2808197021484375,80
10,570,327680,574,78.57842642068863,-0.009716951613518177,0.001,145.67382431179286,257.52142333984375,0.942122220993042,0.2,0.32031458616256714,-5.4311790816485885,0.021963825,0.2263458251953125,90
11,629,360448,572,75.41391909122467,-0.009135912923375145,0.001,129.0441613420844,6.0772385597229,0.9403345584869385,0.2,0.42561548948287964,-5.428535701334477,0.02002633,0.2057891845703125,100
12,688,393216,571,83.79042929410934,-0.006759640958262025,0.001,1071.852559377253,769.3023681640625,0.9377648234367371,0.2,0.1300448179244995,-5.418330144137144,0.023073949,0.226361083984375,110
13,744,425984,572,70.90093025565147,-0.005919727799482644,0.001,1345.2185989767313,5.152874946594238,0.9338705539703369,0.2,0.17049658298492432,-5.406257662922144,0.025266413,0.2687347412109375,120
14,802,458752,571,106.59279642999172,-0.006120686899885186,0.001,1627.6557030677795,39.12396240234375,0.9320948123931885,0.2,0.26680755615234375,-5.396559947729111,0.01854344,0.1970428466796875,130
15,858,491520,572,89.4158741235733,-0.003799060841993196,0.001,1733.6735973119735,540.7911987304688,0.921038806438446,0.2,0.31268084049224854,-5.36406237706542,0.018262247,0.1977081298828125,140
16,915,524288,572,119.88118016719818,-0.004132453907004674,0.001,2271.1203308701515,1149.5028076171875,0.9078552722930908,0.2,0.462546169757843,-5.299399682879448,0.02489081,0.2378509521484375,150
17,975,557056,570,102.02690853178501,-0.007090804143808782,0.001,578.0006186380982,48.87143325805664,0.9078455567359924,0.2,0.6810950040817261,-5.275525705516339,0.028827518,0.2781890869140625,160
18,1035,589824,569,112.90779520571232,-0.0032950249093119054,0.001,2819.0405405551196,1775.447265625,0.9002687931060791,0.2,0.3567619323730469,-5.271008749306202,0.013978891,0.161712646484375,170
19,1092,622592,569,190.50891917943954,-0.005508480440767016,0.001,922.6123973369598,36.78631591796875,0.8968156576156616,0.2,0.5420579612255096,-5.239996040612459,0.015893592,0.161065673828125,180
