time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance
49,8.141969099640846,1,1320,65536,,,,,,,,,,,
92,9.388849794864655,2,1424,131072,0.2,0.006618931,0.0001,10,0.06090850830078125,0.08946622908115387,-5.652900540828705,0.43698644123505803,0.9912847876548767,-0.005890251986420481,0.11710608005523682
133,9.47895710170269,3,1469,196608,0.2,0.007698748,0.0001,20,0.07877044677734375,0.13612429797649384,-5.622131398692727,0.36392334940610455,0.9839886426925659,-0.007971271162568882,0.5952993035316467
176,15.143560580909252,4,1487,262144,0.2,0.0077600935,0.0001,30,0.08946533203125,0.10494942963123322,-5.588299596682191,0.424686663900502,0.975354790687561,-0.009274707239637792,0.688250869512558
218,12.179329842329025,5,1501,327680,0.2,0.0064792903,0.0001,40,0.06145477294921875,0.31830134987831116,-5.558596499636769,3.0206186523195355,0.9669595956802368,-0.005266471063259814,0.4424682855606079
260,16.021178618073463,6,1506,393216,0.2,0.008571647,0.0001,50,0.09454803466796875,0.3070937991142273,-5.525686672702432,8.092202655109578,0.9607148170471191,-0.0069022448633404565,0.4264317750930786
303,24.07869842648506,7,1509,458752,0.2,0.0059387805,0.0001,60,0.04402313232421875,4.739731788635254,-5.508767991513014,45.24055107459426,0.9574741721153259,-0.0028040936545039585,0.2502213716506958
348,18.998176127672195,8,1505,524288,0.2,0.007851387,0.0001,70,0.08087921142578125,0.8431193828582764,-5.484804017096758,7.903793813334778,0.9507458209991455,-0.005752897715137806,0.6759631633758545
391,18.60204477608204,9,1505,589824,0.2,0.0075556394,0.0001,80,0.07479248046875,4.319242000579834,-5.457651431486011,7.588183014281094,0.9436355829238892,-0.005147359776492522,0.8378227353096008
436,7.2341902405023575,10,1502,655360,0.2,0.007683468,0.0001,90,0.07375946044921874,1.1476010084152222,-5.433561854436993,25.31583308791742,0.9387003183364868,-0.004437535461693187,0.5298669934272766
480,20.019432455301285,11,1499,720896,0.2,0.007965105,0.0001,100,0.0737548828125,46.21136474609375,-5.414037168398499,38.40292518548667,0.9346679449081421,-0.003861581258570368,0.5426604747772217
526,20.24666127562523,12,1494,786432,0.2,0.008196213,0.0001,110,0.0737091064453125,13.795771598815918,-5.399388258159161,83.69909813348204,0.9318011999130249,-0.004139796554318309,0.2885919213294983
571,18.13610589504242,13,1490,851968,0.2,0.0071036336,0.0001,120,0.0639190673828125,74.86299896240234,-5.395562550425529,166.16800419837236,0.9323822259902954,-0.0031977921284124023,0.31341344118118286
617,31.967036843299866,14,1485,917504,0.2,0.007968003,0.0001,130,0.07532958984375,10.264036178588867,-5.375091990083456,85.9396877259016,0.9238471984863281,-0.004556209651127574,0.5254822969436646
662,27.096496403217316,15,1482,983040,0.2,0.0072780745,0.0001,140,0.067620849609375,7.1470818519592285,-5.341515194997191,123.97762647159398,0.916719377040863,-0.0037653063136531273,0.47871142625808716
708,31.09549778699875,16,1480,1048576,0.2,0.008213877,0.0001,150,0.08459930419921875,79.364013671875,-5.300504523143172,106.84223190769553,0.9069774150848389,-0.004428584563447658,0.48516589403152466
