aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitudade,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.47488748917648316,0.013802763680952396,0.0,-0.08502006991976427,0.0,0.4036701829376713,0.0,0.4979930080235744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,0,0,0.1,0.07928232973674731,0.013807800376512004,0.0,-0.08475885571267808,0.0,0.41200145733825255,0.0,0.5241144287321933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,0,0,0.10833333333333334,0.08990691268278894,0.013813516486542235,0.0,-0.08455383089440649,0.0,0.4311680556131772,0.0,0.5446169105593507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,1,0,0.11666666666666667,0.10144049404347655,0.013819971564636411,0.0,-0.08427388637318778,0.0,0.4621546348481024,0.0,0.5726113626812219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,1,0,0.125,0.11228554818420555,0.013827123796901387,0.0,-0.0839303896199525,0.0,0.5043369172092568,0.0,0.6069610380047512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,1,0,0.13333333333333333,0.11746290854572905,0.013834613737699872,0.0,-0.08362665914020063,0.0,0.5520077803524851,0.0,0.6373340859799372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,34,2,0,0.14166666666666666,0.12463935829711836,0.01384257015807949,0.0,-0.08329602714211055,0.0,0.6071936816655724,0.0,0.6703972857889455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,36,2,0,0.15,0.13523149280823432,0.013851213090782131,0.0,-0.08289903619011435,0.0,0.6733773513744745,0.0,0.7100963809885648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,38,2,0,0.15833333333333333,0.1450249031918993,0.013860493942791048,0.0,-0.08254783473783166,0.0,0.7497149137713333,0.0,0.745216526216835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40,3,0,0.16666666666666666,0.1464687471187176,0.013869879825386972,0.0,-0.08239766998275828,0.0,0.8276558707326795,0.0,0.760233001724172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,42,3,0,0.175,0.15280653113500797,0.013879685398510803,0.0,-0.08207657315322012,0.0,0.9122655141129782,0.0,0.7923426846779894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,44,3,0,0.18333333333333332,0.16289287760147708,0.013890153489958819,0.0,-0.08165882963882626,0.0,1.0073897155655878,0.0,0.8341170361173743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,46,4,0,0.19166666666666668,0.171749201826632,0.013901207835964005,0.0,-0.08134435172634417,0.0,1.1116957735018396,0.0,0.8655648273655835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,48,4,0,0.2,0.1714181701231432,0.013912258433776557,0.0,-0.08127524647218556,0.0,1.2157509555865738,0.0,0.872475352781444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,50,4,0,0.20833333333333334,0.17906637238987777,0.013923820856531918,0.0,-0.0809092923046822,0.0,1.3278318565283012,0.0,0.9090707695317797,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,52,5,0,0.21666666666666667,0.1882863352078168,0.013935999364724578,0.0,-0.08051643196364273,0.0,1.4495377591371998,0.0,0.9483568036357272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,54,5,0,0.225,0.1962698034864374,0.013948716948650776,0.0,-0.08019217491538755,0.0,1.5795641046569004,0.0,0.9807825084612458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,56,5,0,0.23333333333333334,0.20193051430148934,0.013961825574451511,0.0,-0.07992091329016716,0.0,1.715535531242674,0.0,1.0079086709832843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,58,6,0,0.24166666666666667,0.21117322175022046,0.013975560586235815,0.0,-0.07947376168376795,0.0,1.8612105518953626,0.0,1.0526238316232057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,60,6,0,0.25,0.2191251687565554,0.013989841402685247,0.0,-0.07923588713567808,0.0,2.0150896749189253,0.0,1.0764112864321929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,62,6,0,0.25833333333333336,0.2129486700168659,0.01400374767550334,0.0,-0.07948099032228995,0.0,2.1625611022890046,0.0,1.0519009677710065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,64,7,0,0.26666666666666666,0.21827312288501766,0.014018030374408713,0.0,-0.07917606435020179,0.0,2.315676191198229,0.0,1.0823935649798226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,66,7,0,0.275,0.2267751051826128,0.014032900291888953,0.0,-0.07879731860900004,0.0,2.477686878063731,0.0,1.1202681390999973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,68,7,0,0.2833333333333333,0.23570867610571256,0.014048389467086288,0.0,-0.07841751075041341,0.0,2.6490264328861164,0.0,1.1582489249586607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,70,8,0,0.2916666666666667,0.2422904566735795,0.014064346831399413,0.0,-0.07817421490595472,0.0,2.8272070214851404,0.0,1.182578509404528,0,0,0,0,0,0,0,0,0,0,0,0,0,0
