step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
3,0,[-2.14070564 -1.00540701 16.02219006],[-0.10040895  0.03960619  1.44187987],[ 0.04536608 -0.14267248  2.21349195],[-1.00131675 -0.99562618  1.08820013],[0.05071604 0.10317558 0.97264333 0.98736373],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.10040895  0.03960619  1.44187987],[ 0.22319498  0.28418125 -2.18892328],[ 1.11871029 -0.856249   -0.13042591],1.4148095209501599,0.6781450896064991
3,0,[-2.34691488 -1.14405665 15.36242404],[-0.11421281  0.04458201  1.57256812],[ 0.04991503 -0.18902556  2.41861074],[-1.00199554 -0.99434213  1.10795007],[0.05113337 0.10913571 0.96888289 0.95293132],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.11421281  0.04458201  1.57256812],[ 0.2967166   0.32365875 -2.38644178],[ 0.99639005 -0.98996714 -0.17758519],1.4157558289015568,0.6573500447431457
3,0,[-2.0038099  -1.84066663 14.96762411],[-0.1262804   0.04608875  1.69793413],[ 0.0638564  -0.23512369  2.62469996],[-1.00292486 -0.99294213  1.12940273],[0.0484899  0.12344882 1.00730739 0.97168233],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.1262804   0.04608875  1.69793413],[ 0.36199274  0.36207798 -2.58578256],[ 0.86281258 -1.10050357 -0.23018201],1.417228782666526,0.6364016189528665
3,0,[-1.5459152  -2.48006728 15.89660036],[-0.13386692  0.04338401  1.82984058],[ 0.09249324 -0.27508996  2.84703357],[-1.0041662  -0.99144759  1.15268987],[0.04898144 0.13484406 1.0107164  0.99416518],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.13386692  0.04338401  1.82984058],[ 0.41280892  0.39672399 -2.8039309 ],[ 0.70710665 -1.19737063 -0.2844926 ],1.4193774251952735,0.6138212158297109
4,0,[-1.18861432 -2.88906064 16.02646467],[-0.1385259   0.03805221  1.96602118],[ 0.13198992 -0.31200991  3.0700379 ],[-1.00575964 -0.98990438  1.17786292],[0.04805378 0.1450871  0.99562563 1.02313583],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.1385259   0.03805221  1.96602118],[ 0.45532357  0.42350436 -3.02543034],[ 0.53274482 -1.2750345  -0.33699905],1.422356626345827,0.5911326464829498
4,0,[-0.8889714  -3.21179894 15.71356051],[-0.14251705  0.03130911  2.10000728],[ 0.17801968 -0.35082314  3.29576354],[-1.00772172 -0.98837519  1.20493403],[0.04839008 0.14932841 0.9618141  0.99727375],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.14251705  0.03130911  2.10000728],[ 0.49568429  0.44293001 -3.25191256],[ 0.35066683 -1.32741456 -0.3865099 ],1.4263192289560909,0.5680839683062449
4,0,[-1.15034533 -2.94946569 15.37933872],[-0.14754803  0.02468076  2.23081964],[ 0.22475296 -0.39653224  3.50740494],[-1.01003926 -0.98692511  1.23381908],[0.05091845 0.14671578 0.9445454  1.01681823],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.14754803  0.02468076  2.23081964],[ 0.53747496  0.44897604 -3.46686924],[ 0.16607979 -1.35400051 -0.43355733],1.4313880848126836,0.5463102894463797
4,0,[-1.42178918 -2.80519946 15.28701196],[-0.15669906  0.02157743  2.36065577],[ 0.25900869 -0.46162375  3.70916962],[-1.01269093 -0.98561806  1.26447321],[0.04910921 0.14427186 0.92807921 0.95361382],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.15669906  0.02157743  2.36065577],[ 0.58882952  0.43324024 -3.67473863],[-0.01973494 -1.35425764 -0.48221235],1.43768284743492,0.5253251907070609
5,0,[-1.53782266 -2.78684803 14.85489818],[-0.16658782  0.0184558   2.48703421],[ 0.2928058  -0.53268363  3.89506094],[-1.01564313 -0.98450518  1.29675312],[0.04878566 0.15033665 0.93208839 0.97408034],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.16658782  0.0184558   2.48703421],[ 0.62837795  0.40311771 -3.87086864],[-0.20083952 -1.33015475 -0.5283897 ],1.4452833083977255,0.5057794170663306
5,0,[-1.76903254 -2.68180977 15.14676321],[-0.17866602  0.01783173  2.61419383],[ 0.31678529 -0.61734526  4.08590758],[-1.0188814  -0.98364885  1.33069271],[0.04992933 0.16043601 0.95254786 1.01936829],[0.   0.   3.14 5.  ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.17866602  0.01783173  2.61419383],[ 0.65720429  0.35609578 -4.07644295],[-0.37941915 -1.28110509 -0.57432821],1.454318410885366,0.48555930663359476
