aviary_steps,physics_steps,step_count,agent_id,elapsed_time,rew_closing_distance,rew_close_to_target,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,rel_vel_magnitude,current_lin_vel_magnitude,approaching,chasing,in_range,in_cone,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[is_success],info[mission_complete],info[out_of_bounds],info[timeover]
11,22,0,0,0.09166666666666666,0.04851247778933043,0.005734000195556578,0.0,-0.1,0.0,-0.04575352201511299,0.0,0.6704929985184731,0.8424051307687895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,1,0.09166666666666666,0.0,0.006034029311198392,0.0,-0.1,0.0,-0.09396597068880161,0.0,0.6726929504637535,0.8446517325480462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,2,0.09166666666666666,0.030005155474707834,0.0036793409749238688,0.0,-0.1,0.0,-0.0663155035503683,0.0,0.6688081138530367,0.8407379484759437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,3,0.09166666666666666,0.0027886358343138795,0.009186529892932352,0.0,-0.1,0.0,-0.08802483427275377,0.0,0.6690948599487465,0.8395979479657745,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,4,0.09166666666666666,0.005838757620489687,0.007263390770265044,0.0,-0.1,0.0,-0.08689785160924528,0.0,0.6726318174753413,0.84457477950669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,5,0.09166666666666666,0.0,0.0038850379964401605,0.0,-0.1,0.0,-0.09611496200355985,0.0,0.6535370316467339,0.8250688191783594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,6,0.09166666666666666,0.029469410540414742,0.008650696040650422,0.0,-0.1,0.0,-0.06187989341893484,0.0,0.6680441009452505,0.8399902150568509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,7,0.09166666666666666,0.05318057294160283,0.005135379637370808,0.0,-0.1,0.0,-0.04168404742102637,0.0,0.673603287228493,0.8441174646437861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,8,0.09166666666666666,0.02591008155511787,0.006523740588306875,0.0,-0.1,0.0,-0.06756617785657526,0.0,0.6732177882305875,0.8467983066006615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,22,0,9,0.09166666666666666,0.04373737971452751,0.01896440463517939,0.0,-0.1,0.0,-0.03729821565029311,0.0,0.6738801906503986,0.844359718598962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
