time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
60,1,0.87584025,403,2048000,,,,,,,,,,,
122,2,0.83201313,401,2072576,135.35813903808594,0.19479352235794067,227.78243230183918,1040,0.9410274028778076,-0.0027619627212213042,0.0265380859375,0.0001,0.004231649,0.2,-5.427485618988673
177,3,0.59749424,415,2097152,15.028590202331543,0.3445526957511902,111.90064959923426,1050,0.9422212243080139,-0.0037263903742617305,0.026188151041666666,0.0001,0.0046962965,0.2,-5.430053321520488
235,4,0.6145083,418,2121728,23.843341827392578,0.447746217250824,161.38108907938005,1060,0.9414560794830322,-0.0038526750475284645,0.030086263020833334,0.0001,0.004818752,0.2,-5.431957368055979
293,5,0.56570584,419,2146304,12.722715377807617,0.48162841796875,64.5516984740893,1070,0.9375521540641785,-0.005710772522919191,0.04626871744791667,0.0001,0.005434143,0.2,-5.419628144303958
352,6,0.5771148,418,2170880,217.36044311523438,0.3341342806816101,128.95126214822133,1080,0.9341593980789185,-0.005694157971205035,0.04662272135416667,0.0001,0.006111519,0.2,-5.402686777710914
411,7,0.7509877,417,2195456,19.803247451782227,0.5903065800666809,56.020263051986696,1090,0.9332373142242432,-0.005185862969180259,0.031819661458333336,0.0001,0.004909863,0.2,-5.3941148787736894
474,8,0.62146205,414,2220032,55.440181732177734,0.4973459839820862,110.25712316830953,1100,0.9367587566375732,-0.004805930196986689,0.04315999348958333,0.0001,0.005571503,0.2,-5.399815944830577
537,9,0.62577575,411,2244608,183.62576293945312,-0.27600574493408203,284.86247406403226,1110,0.9345876574516296,-0.002945109916618094,0.029207356770833335,0.0001,0.0049638217,0.2,-5.4037488033374155
597,10,0.75957054,411,2269184,13.299941062927246,0.0915561318397522,150.61938826640446,1120,0.9323006272315979,-0.004039176722775058,0.03478597005208333,0.0001,0.005213117,0.2,-5.392788946628571
658,11,0.63549805,410,2293760,16.260984420776367,0.060067176818847656,187.87347241242728,1130,0.9320785999298096,-0.00412371017349263,0.029353841145833334,0.0001,0.004864136,0.2,-5.386656320095062
721,12,0.7732682,408,2318336,80.32815551757812,0.22110795974731445,130.92872497240703,1140,0.9310988783836365,-0.00345526942013142,0.027705891927083334,0.0001,0.0047949827,0.2,-5.384481802582741
784,13,0.71251136,407,2342912,20.366456985473633,0.13627517223358154,138.20257229010264,1150,0.9297621250152588,-0.006025223971422141,0.04370524088541667,0.0001,0.005591856,0.2,-5.379223334789276
849,14,0.704185,404,2367488,24.090747833251953,0.4785468578338623,127.32579811811448,1160,0.9263540506362915,-0.006579434464705021,0.04413248697916667,0.0001,0.0062870793,0.2,-5.368819564580917
919,15,0.62787133,401,2392064,101.59186553955078,0.3563981056213379,184.3163407087326,1170,0.923504114151001,-0.003817945828389687,0.036865234375,0.0001,0.0047310037,0.2,-5.356524259845416
982,16,0.6666813,400,2416640,20.71742820739746,0.539635181427002,163.9910399278005,1180,0.9242655038833618,-0.0041620659903855994,0.02989501953125,0.0001,0.0044254535,0.2,-5.352113429705302
1047,17,0.6729942,398,2441216,17.327688217163086,0.23486167192459106,147.04030589660007,1190,0.923807680606842,-0.003982017069453529,0.026554361979166666,0.0001,0.0048223413,0.2,-5.352664784590403
1109,18,0.6192299,398,2465792,13.239301681518555,0.5110338926315308,52.752650105953215,1200,0.9230974912643433,-0.005790870001267952,0.047200520833333336,0.0001,0.0060127326,0.2,-5.350451949238777
1172,19,0.6528151,398,2490368,47.72019577026367,0.5043365657329559,102.90379073619843,1210,0.9196832776069641,-0.004633324966804745,0.04137369791666667,0.0001,0.0058949,0.2,-5.339617729187012
1236,20,0.74575764,397,2514944,553.3961791992188,0.2867192029953003,569.7222112655639,1220,0.9192896485328674,-0.004016253448207862,0.024751790364583335,0.0001,0.004461528,0.2,-5.333112995823225
1305,21,0.6328307,395,2539520,15.722426414489746,0.04963219165802002,65.23690942923228,1230,0.9177494049072266,-0.004671587208576966,0.04501139322916667,0.0001,0.006478438,0.2,-5.330844342708588
1370,22,0.72749573,394,2564096,26.347925186157227,0.2638879418373108,502.2075400273005,1240,0.9190459251403809,-0.0030536018510853562,0.024605305989583333,0.0001,0.0037913385,0.2,-5.326630900303523
1436,23,0.67165166,393,2588672,19.09910774230957,0.15595579147338867,307.0848248640696,1250,0.9188083410263062,-0.0029302716633537785,0.024336751302083334,0.0001,0.004460415,0.2,-5.330846580862999
1500,24,0.65251833,393,2613248,40.611881256103516,0.2767125368118286,289.91048622926075,1260,0.9208368062973022,-0.0030437448382144793,0.02064208984375,0.0001,0.0038656788,0.2,-5.332674297690391
1565,25,0.76364225,392,2637824,139.82449340820312,0.26092714071273804,392.38985690275825,1270,0.9220856428146362,-0.0032016323190570497,0.029121907552083333,0.0001,0.004881159,0.2,-5.3406622817118965
1628,26,0.8883293,392,2662400,40.189002990722656,0.372161328792572,241.3840857744217,1280,0.9228005409240723,-0.00342346854013158,0.021187337239583333,0.0001,0.00438456,0.2,-5.345834277073542
1693,27,0.5474246,391,2686976,17.932369232177734,0.6365663707256317,43.945902911822,1290,0.9155071973800659,-0.007571592659223825,0.05748291015625,0.0001,0.0070267296,0.2,-5.328508991003036
1757,28,0.665384,391,2711552,31.87540054321289,0.1376519799232483,442.9848714351654,1300,0.9155603647232056,-0.0030842061421329464,0.03369140625,0.0001,0.005535604,0.2,-5.315647307038307
