rew_vec_envs,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/n_updates,train/explained_variance,train/std,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss
7.23948135972023,65536,1,56,1161,,,,,,,,,,,
8.259871572256088,131072,2,106,1232,0.09245786815881729,0.0060871914,10,0.09689950942993164,0.9925504922866821,-5.656768461316824,0.0561187744140625,-0.005473329357300827,0.2,0.0001,0.37466194794978946
10.362239941954613,196608,3,154,1273,0.10655965656042099,0.006938933,20,0.45160460472106934,0.9823641777038574,-5.618368662893772,0.0691864013671875,-0.0071901452636666365,0.2,0.0001,0.35654549627797677
12.697679199278355,262144,4,199,1313,0.14138081669807434,0.008458911,30,0.6445196568965912,0.9788213968276978,-5.596109434589744,0.09371795654296874,-0.009138611950220366,0.2,0.0001,0.4159321731887758
11.675801202654839,327680,5,244,1339,0.49838319420814514,0.007990669,40,0.059035420417785645,0.9734803438186646,-5.579279135912657,0.08227386474609374,-0.004572084464598447,0.2,0.0001,30.244103204831482
21.83168952167034,393216,6,290,1351,0.33837249875068665,0.009135395,50,0.5857190787792206,0.9649863243103027,-5.548891126364469,0.109320068359375,-0.008959997296187794,0.2,0.0001,1.3791217788821086
29.008222669363022,458752,7,338,1356,4.125060081481934,0.008182896,60,0.3851689100265503,0.9586358666419983,-5.5209702052175995,0.095489501953125,-0.00694971361754142,0.2,0.0001,12.240804913174362
15.967257857322693,524288,8,385,1359,3.801502227783203,0.0055610808,70,0.12246882915496826,0.953933596611023,-5.498481752350926,0.0373992919921875,-0.002291851113204757,0.2,0.0001,308.0252431936562
18.071922540664673,589824,9,435,1354,36.024131774902344,0.0067952466,80,0.13854873180389404,0.9488980770111084,-5.477245770022273,0.06237945556640625,-0.0033232604425847967,0.2,0.0001,421.4440535365604
22.77099433541298,655360,10,488,1342,2.3681488037109375,0.008407204,90,0.3251703381538391,0.943191647529602,-5.449564806744457,0.09233856201171875,-0.0054815873330881,0.2,0.0001,98.00648253569379
46.870807498693466,720896,11,542,1328,1.918954610824585,0.0070204195,100,0.33617740869522095,0.9374574422836304,-5.429096504673362,0.06815948486328124,-0.004046244830169599,0.2,0.0001,187.8134771921672
26.681255757808685,786432,12,596,1319,942.5740356445312,0.008080734,110,0.3288310170173645,0.9318096041679382,-5.405967858806252,0.07242431640625,-0.003857115630489716,0.2,0.0001,220.20521218758077
27.38660864531994,851968,13,650,1309,106.53246307373047,0.0064757513,120,0.38882750272750854,0.9278632998466492,-5.385507651045918,0.06089324951171875,-0.0028814261579100274,0.2,0.0001,394.22969965972004
50.47470140457153,917504,14,700,1309,292.96099853515625,0.0068577034,130,0.33547544479370117,0.9249906539916992,-5.370497634634376,0.0712554931640625,-0.0032046626538431155,0.2,0.0001,439.4661151524633
24.682851880788803,983040,15,750,1310,81.55741882324219,0.0080231605,140,0.40111488103866577,0.9146162867546082,-5.339523540437222,0.07552642822265625,-0.0034027149960820678,0.2,0.0001,586.6981217801571
30.830856949090958,1048576,16,801,1308,27.198448181152344,0.0070231287,150,0.41848617792129517,0.9072088003158569,-5.301923893392086,0.0771331787109375,-0.0037455866126947512,0.2,0.0001,418.4216453671455
