time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance
49,5.283515088260174,1,1323,65536,,,,,,,,,,,
91,6.739338226616383,2,1436,131072,0.2,0.006563192,0.0001,10,0.06051483154296875,0.12895381450653076,-5.6625501740723845,17.449749070522376,0.9945394992828369,-0.0038076395669122574,1.5795230865478516e-05
132,6.519643947482109,3,1480,196608,0.2,0.0073093325,0.0001,20,0.0740325927734375,0.08586471527814865,-5.634060608595609,0.28070895741693674,0.9872854948043823,-0.008346657673428126,0.39713186025619507
175,12.949403129518032,4,1496,262144,0.2,0.0081631,0.0001,30,0.09138031005859375,0.07441525906324387,-5.610074860975146,0.2668306410079822,0.9819319248199463,-0.009689778733991261,0.54433673620224
217,8.077057480812073,5,1506,327680,0.2,0.008563174,0.0001,40,0.10110015869140625,0.20107179880142212,-5.582574773207307,5.361104055889882,0.9731178283691406,-0.007736538897188438,0.19294285774230957
259,10.451176956295967,6,1513,393216,0.2,0.007508248,0.0001,50,0.08068695068359374,0.5308595299720764,-5.56042863689363,48.183688598265874,0.9704177379608154,-0.004351453308299824,0.08507496118545532
303,11.13056380301714,7,1511,458752,0.2,0.008877551,0.0001,60,0.104296875,0.24323590099811554,-5.539200452715159,1.6215623541036621,0.9650698304176331,-0.010507336312548432,0.6963714957237244
347,10.862124249339104,8,1508,524288,0.2,0.007358199,0.0001,70,0.0683349609375,9.45263385772705,-5.5224881656467915,46.553079396951944,0.9598281383514404,-0.003783006641060638,0.2237846851348877
391,12.9032664000988,9,1505,589824,0.2,0.008119994,0.0001,80,0.08262481689453124,0.5611176490783691,-5.498742453753948,21.68385627339594,0.9534965753555298,-0.005163279103544483,0.39630311727523804
437,14.497584909200668,10,1496,655360,0.2,0.00706831,0.0001,90,0.0624114990234375,33.55511474609375,-5.480386946722865,63.102328350860624,0.95098876953125,-0.0037719424678471112,0.2540826201438904
483,12.423603042960167,11,1491,720896,0.2,0.0050609307,0.0001,100,0.04392242431640625,12.032003402709961,-5.473338969796896,129.52662331499158,0.9505902528762817,-0.002675458148223697,0.2523476481437683
529,12.286751091480255,12,1485,786432,0.2,0.007738845,0.0001,110,0.0837615966796875,3.5490198135375977,-5.461837555095554,50.264033301919696,0.9457913041114807,-0.005091016355800093,0.4736696481704712
576,14.262267291545868,13,1478,851968,0.2,0.006354408,0.0001,120,0.059185791015625,24.80999183654785,-5.452317762002349,127.64437724109739,0.9467132091522217,-0.0031173034652965726,0.30776548385620117
634,20.52939248085022,14,1445,917504,0.2,0.008175546,0.0001,130,0.08630218505859374,2.657813787460327,-5.438526125997305,69.93698495961726,0.9401736855506897,-0.0049190501792509165,0.5450030863285065
687,18.44924844801426,15,1428,983040,0.2,0.0058954135,0.0001,140,0.055645751953125,17.437053680419922,-5.421805663779378,119.48590475767851,0.937897801399231,-0.0031101581413167877,0.3732282519340515
742,11.03816868364811,16,1412,1048576,0.2,0.007619008,0.0001,150,0.08690338134765625,9.559572219848633,-5.421156691387296,35.81876863185316,0.9385064244270325,-0.0059522588192521654,0.6278412044048309
