time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/entropy_loss,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance
49,13.906675636768341,1,1313,65536,,,,,,,,,,,
91,15.102158427238464,2,1426,131072,0.2,0.005610056,0.0001,10,0.0452178955078125,0.19626681506633759,-5.665950169041753,0.8820339453639463,0.9952858686447144,-0.004615736549385474,-0.1031571626663208
133,17.43035125732422,3,1470,196608,0.2,0.0060742283,0.0001,20,0.05211944580078125,0.2489846795797348,-5.642932632565499,0.6743325276533142,0.9894214868545532,-0.005589711131688091,0.5047677159309387
175,9.658228397369385,4,1489,262144,0.2,0.007281762,0.0001,30,0.07492523193359375,0.2234436571598053,-5.614648811891675,0.8081009168876335,0.982191264629364,-0.00790696262520214,0.7259210348129272
218,16.56138265132904,5,1502,327680,0.2,0.007444733,0.0001,40,0.0762847900390625,0.6125892400741577,-5.597452763468027,10.145773568563163,0.9793297052383423,-0.006621575046847283,0.3798038363456726
260,43.78355795145035,6,1510,393216,0.2,0.0067843413,0.0001,50,0.05897369384765625,0.5612355470657349,-5.577765784412622,34.82712295698002,0.9723438024520874,-0.0034455434968549527,0.2700732946395874
303,34.21859413385391,7,1509,458752,0.2,0.00796945,0.0001,60,0.08210906982421876,1.0981725454330444,-5.546970936655998,5.032331950869411,0.9653615951538086,-0.005900661216583103,0.7682110965251923
347,22.818730413913727,8,1508,524288,0.2,0.0056820936,0.0001,70,0.046014404296875,15.408368110656738,-5.527931240200997,49.78156285621226,0.9617569446563721,-0.003201966790857114,0.6104961931705475
391,29.387531369924545,9,1507,589824,0.2,0.0061086565,0.0001,80,0.05214080810546875,24.388099670410156,-5.515585819631815,74.74339726120233,0.9600443840026855,-0.0028157579846265434,0.6306373476982117
436,48.256274074316025,10,1502,655360,0.2,0.0077133933,0.0001,90,0.074774169921875,106.1082992553711,-5.503258861973881,36.46199359819293,0.9561214447021484,-0.004926109008192725,0.7328323423862457
482,33.73535665869713,11,1494,720896,0.2,0.006733082,0.0001,100,0.0564666748046875,37.90992736816406,-5.490429145470261,77.57052841037512,0.9534710049629211,-0.0035731673384361783,0.6862563788890839
529,40.58715236186981,12,1485,786432,0.2,0.006415118,0.0001,110,0.06220855712890625,79.9850082397461,-5.468354941159487,87.16532836854458,0.9465944766998291,-0.004105421403983201,0.7361475825309753
584,46.02953588962555,13,1457,851968,0.2,0.006774488,0.0001,120,0.06029052734375,10.827256202697754,-5.4450215745717285,106.05310231745243,0.9416819214820862,-0.003932346823603439,0.7245809137821198
642,29.045181453227997,14,1429,917504,0.2,0.006482861,0.0001,130,0.06212158203125,58.64985656738281,-5.423221257701516,180.62065797671676,0.9360734224319458,-0.003865096489062125,0.6862362623214722
696,38.093996942043304,15,1411,983040,0.2,0.007368963,0.0001,140,0.070062255859375,30.540563583374023,-5.392475444450975,142.12548644915222,0.9290820360183716,-0.0040698612448068164,0.6365695893764496
744,38.108833849430084,16,1408,1048576,0.2,0.006524978,0.0001,150,0.0604888916015625,10.197093963623047,-5.370729418471456,50.46027286760509,0.9240294694900513,-0.00436379594848404,0.8640426844358444
