time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rew_vec_envs,train/approx_kl,train/entropy_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/n_updates,train/std,train/explained_variance,train/value_loss
16384,1,27,597,17.858667731285095,,,,,,,,,,,
32768,2,56,582,17.913229823112488,0.005234491,-5.674841314926743,0.05128173828125,0.1819675713777542,-0.001940408844166086,0.2,0.0001,10,0.9989886283874512,0.0015512704849243164,46.21197765955003
49152,3,87,561,18.590556383132935,0.0067604184,-5.664330444484949,0.05992431640625,0.12731480598449707,-0.002861603178371297,0.2,0.0001,20,0.9955715537071228,0.03142625093460083,73.59420780063374
65536,4,119,550,19.917946696281433,0.0065058526,-5.649337385967374,0.05218505859375,0.267154335975647,-0.002941741034737788,0.2,0.0001,30,0.9916832447052002,0.5949530899524689,0.423888654471375
81920,5,149,549,20.290261387825012,0.005937503,-5.638524803891778,0.05848388671875,0.18418322503566742,-0.0028697437703158355,0.2,0.0001,40,0.9910627603530884,0.6590415835380554,0.615214960288722
98304,6,180,544,22.039061307907104,0.0075053507,-5.630065286532044,0.077001953125,0.264077752828598,-0.0041388767500393445,0.2,0.0001,50,0.9871938228607178,0.6902623474597931,0.5440304160118103
114688,7,209,546,25.09943199157715,0.006412629,-5.620378552749753,0.068402099609375,0.14284349977970123,-0.003319108898358536,0.2,0.0001,60,0.9855318665504456,0.6356823444366455,0.6490657174377702
131072,8,240,545,19.81640350818634,0.00767654,-5.598080994561315,0.087750244140625,0.20151111483573914,-0.004937986972618091,0.2,0.0001,70,0.9767386317253113,0.693670392036438,0.9195331689552404
147456,9,270,545,26.69258964061737,0.0068853013,-5.5719325367361305,0.079681396484375,0.31488698720932007,-0.003625449621813459,0.2,0.0001,80,0.9728955030441284,0.7342736721038818,0.910827842389699
163840,10,301,544,23.982790112495422,0.007881289,-5.564073153212666,0.087799072265625,0.505455732345581,-0.004215307339472929,0.2,0.0001,90,0.9719939231872559,0.7409033179283142,0.9474134363699704
180224,11,332,542,24.174736499786377,0.008403261,-5.5564252059906725,0.0924560546875,0.641394853591919,-0.003685282037986326,0.2,0.0001,100,0.9698139429092407,0.1167529821395874,84.45636342191138
196608,12,362,543,33.87659811973572,0.0077254265,-5.554144623503089,0.0960205078125,0.498124897480011,-0.003232146830850979,0.2,0.0001,110,0.9707459807395935,0.5953883230686188,1.1056714546168223
212992,13,390,544,27.710418224334717,0.007974333,-5.5551802739501,0.085113525390625,1.0281144380569458,-0.003203345788278966,0.2,0.0001,120,0.9699724912643433,0.7625642716884613,1.515097722876817
229376,14,420,545,33.31017231941223,0.008538,-5.540714644268155,0.096917724609375,0.3752996325492859,-0.003286857898820017,0.2,0.0001,130,0.9635984301567078,0.673801839351654,1.3749519845470786
245760,15,449,546,35.1666259765625,0.008042065,-5.516068234667182,0.08922119140625,1.2430918216705322,-0.0032319220414137816,0.2,0.0001,140,0.958428680896759,0.7248109877109528,1.5756876059807836
262144,16,479,547,27.808135509490967,0.008077646,-5.503642558306455,0.102215576171875,0.863947868347168,-0.0034457854414540632,0.2,0.0001,150,0.9574058651924133,0.7687287777662277,1.6946785485837608
278528,17,508,548,28.313228249549866,0.008131767,-5.497073534876108,0.097998046875,0.6386435627937317,-0.003422799017516809,0.2,0.0001,160,0.9558301568031311,0.706972599029541,1.8293575920164584
294912,18,538,547,31.78738784790039,0.008479874,-5.497789833322168,0.09512939453125,0.5880105495452881,-0.0032593102645478212,0.2,0.0001,170,0.9564253091812134,0.816388264298439,2.2538293367251754
311296,19,569,546,27.95443820953369,0.008023487,-5.492101031541824,0.1011962890625,0.7901244163513184,-0.003247366542018426,0.2,0.0001,180,0.9544013142585754,0.8339758664369583,1.6375234462553636
327680,20,600,545,31.88547933101654,0.010497216,-5.481859958171844,0.09588623046875,0.8859872817993164,-0.004617887960876033,0.2,0.0001,190,0.9511274099349976,0.34764111042022705,10.21895143170841
344064,21,632,544,61.1894748210907,0.007099001,-5.475812991335988,0.092254638671875,1.2537845373153687,-0.0010014600516115024,0.2,0.0001,200,0.9518725872039795,0.22434532642364502,69.07870176276192
360448,22,666,540,34.36457538604736,0.009106394,-5.467157866060734,0.09324951171875,0.8280416131019592,-0.0018871234864491272,0.2,0.0001,210,0.9469660520553589,0.6471265554428101,14.162605028855614
376832,23,697,540,55.049609661102295,0.007792987,-5.45090705268085,0.087603759765625,1.4657974243164062,-0.002075495333701838,0.2,0.0001,220,0.9440244436264038,0.854589194059372,2.3134350950364024
393216,24,727,540,30.974997520446777,0.008568237,-5.440693654119968,0.084954833984375,0.9146203994750977,-0.0021958772145808324,0.2,0.0001,230,0.9427940845489502,0.6157066822052002,6.620925183454529
409600,25,760,538,33.13893961906433,0.010045366,-5.436137842386961,0.083319091796875,2.4526147842407227,-0.000812771045457339,0.2,0.0001,240,0.9410101771354675,0.5311519205570221,33.73446995061822
425984,26,792,537,34.96736764907837,0.010053643,-5.41305895447731,0.112054443359375,0.5585646629333496,-0.00258709954960068,0.2,0.0001,250,0.9345642328262329,0.8770758360624313,2.872205110359937
442368,27,823,537,36.90723419189453,0.008710067,-5.389356063306332,0.1069580078125,82.61835479736328,-0.0021430742908705724,0.2,0.0001,260,0.9281971454620361,0.5485532283782959,30.307859112368895
458752,28,855,536,202.71251344680786,0.0080702305,-5.379369682073593,0.078570556640625,6.101156234741211,-0.002515257978257068,0.2,0.0001,270,0.9289882183074951,0.7786772400140762,20.83095196308568
