time/time_elapsed,rew_vec_envs,time/iterations,time/fps,time/total_timesteps,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss,train/std,train/n_updates,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss
52,-1092.3664245605469,1,313,16384,,,,,,,,,,,
108,-1082.4734802246094,2,302,32768,-0.0008749961853027344,0.034039306640625,0.2,7308.582045745849,0.9955179691314697,10,0.0001,3493.890625,-5.66531771980226,0.0051151337,-0.0033326439926895544
169,-1057.336196899414,3,290,49152,0.3558693528175354,0.049285888671875,0.2,4669.222643375397,0.9899489283561707,20,0.0001,2317.843994140625,-5.644649450480938,0.0061618267,-0.005045342242738116
222,-907.4284286499023,4,294,65536,0.4244336485862732,0.06328125,0.2,3012.404469680786,0.9838526248931885,30,0.0001,1294.1925048828125,-5.619133041054011,0.007161069,-0.004159348901339399
274,-895.9320526123047,5,298,81920,0.46295249462127686,0.067449951171875,0.2,2603.8607605934144,0.9773181080818176,40,0.0001,1578.2578125,-5.594484380632639,0.006852445,-0.0038833964445075253
324,-764.3658409118652,6,302,98304,0.4742501974105835,0.067742919921875,0.2,2454.043410015106,0.9656162261962891,50,0.0001,1507.981689453125,-5.554266983643174,0.008274717,-0.004648322450520936
372,-629.0493459701538,7,307,114688,0.4627458453178406,0.089642333984375,0.2,2366.5567603588106,0.9595378637313843,60,0.0001,1116.369384765625,-5.520872929319739,0.0084171835,-0.0061041508950438585
413,-667.0578193664551,8,316,131072,0.5369394421577454,0.08948974609375,0.2,1940.4297989368438,0.9533280730247498,70,0.0001,1055.54931640625,-5.490638026967645,0.009118374,-0.005404287514647876
456,-513.0100972652435,9,322,147456,0.6105497181415558,0.09515380859375,0.2,1554.7401235818863,0.9456179141998291,80,0.0001,794.8031005859375,-5.461715883016586,0.009523499,-0.006382736726573057
500,-507.6409854888916,10,327,163840,0.6336754858493805,0.080596923828125,0.2,1378.3718196988107,0.9371721744537354,90,0.0001,740.6370239257812,-5.427594653144479,0.007599642,-0.0053267410826265404
539,-459.53580367565155,11,334,180224,0.465859055519104,0.03973388671875,0.2,1678.9806354999541,0.9309141039848328,100,0.0001,357.040283203125,-5.395200672000646,0.005826231,-0.002656755696534674
579,-427.4127697944641,12,339,196608,0.48323023319244385,0.043487548828125,0.2,1372.9259816646577,0.92937171459198,110,0.0001,224.73306274414062,-5.376788089424371,0.005253081,-0.00451298180341837
619,-316.3119218349457,13,343,212992,0.45950233936309814,0.04251708984375,0.2,1583.0918027162552,0.930172860622406,120,0.0001,561.177734375,-5.377538460120559,0.0049329856,-0.0036287012275352027
658,-53.38328039646149,14,348,229376,0.5528901517391205,0.0528564453125,0.2,1165.8958885073662,0.9303062558174133,130,0.0001,560.9415893554688,-5.3801614757627245,0.0058398554,-0.00524423071747151
696,-183.09483933448792,15,352,245760,0.5524468123912811,0.04007568359375,0.2,747.2622801542282,0.9212130308151245,140,0.0001,244.83863830566406,-5.357064618170261,0.005545415,-0.004474419468897395
731,-11.90397846698761,16,358,262144,0.6543167531490326,0.04158935546875,0.2,866.9942086815834,0.915725588798523,150,0.0001,246.53443908691406,-5.326793548092246,0.0058978396,-0.004988681111899496
767,-242.56355094909668,17,363,278528,0.7324259579181671,0.04918212890625,0.2,360.9942959934473,0.9050566554069519,160,0.0001,78.93638610839844,-5.284707584232092,0.006573783,-0.004836218299442407
802,-112.79411911964417,18,367,294912,0.565287172794342,0.03455810546875,0.2,680.5430434703827,0.9028306007385254,170,0.0001,314.177490234375,-5.260172737762332,0.0047949688,-0.004664497277190094
837,-0.3362562656402588,19,371,311296,0.6889819502830505,0.050823974609375,0.2,260.05887645483017,0.8978234529495239,180,0.0001,56.73845672607422,-5.244512855634094,0.006080543,-0.004908544289173733
874,-154.72627067565918,20,374,327680,0.5954744219779968,0.055389404296875,0.2,614.92476978302,0.894014835357666,190,0.0001,130.29876708984375,-5.220614643394947,0.0065750466,-0.005561254318058673
913,-22.604042053222656,21,376,344064,0.7091586291790009,0.049298095703125,0.2,384.79556583166124,0.8895989656448364,200,0.0001,134.97300720214844,-5.201339641213417,0.005765316,-0.004448708761810849
950,-5.053476333618164,22,379,360448,0.7242887616157532,0.0685302734375,0.2,273.4021688386798,0.8851011991500854,210,0.0001,88.11917877197266,-5.178088933229446,0.007147329,-0.0028490461545516155
989,-39.83880949020386,23,380,376832,0.7580684274435043,0.056658935546875,0.2,115.21697263270616,0.881411075592041,220,0.0001,25.166032791137695,-5.161806108430028,0.0073386943,-0.0016832611229801841
1028,-14.318800330162048,24,382,393216,0.6925350725650787,0.053851318359375,0.2,175.40371255427598,0.8787266612052917,230,0.0001,30.6195011138916,-5.147141402587295,0.007025157,-0.001678899833405012
1066,-0.8901848793029785,25,384,409600,0.6852859258651733,0.06697998046875,0.2,246.90878536999224,0.8731095790863037,240,0.0001,34.38108444213867,-5.1236213453114035,0.007325186,-0.004027804663928691
1104,-6.466057777404785,26,385,425984,0.6902111768722534,0.069281005859375,0.2,159.15199057236313,0.8661952018737793,250,0.0001,13.725250244140625,-5.091798920184374,0.008496722,-0.002365170281609608
1137,36.15413165092468,27,388,442368,0.7328629791736603,0.052398681640625,0.2,171.30887194424866,0.8654454946517944,260,0.0001,131.80970764160156,-5.0759132716804745,0.006867648,-0.0023990236042664035
1174,24.153245210647583,28,390,458752,0.6436668336391449,0.105950927734375,0.2,125.81200559586287,0.8587095141410828,270,0.0001,9.243255615234375,-5.054993624985218,0.009927079,-0.0010904326592026336
1207,85.07866311073303,29,393,475136,0.6807936728000641,0.07174072265625,0.2,69.87252391353249,0.8552523851394653,280,0.0001,26.200275421142578,-5.030801816284656,0.0071011353,-0.002092137721410836
1241,38.46345639228821,30,395,491520,0.5266211032867432,0.0661376953125,0.2,134.40734913945198,0.8574354648590088,290,0.0001,43.66191101074219,-5.028505732491612,0.006075085,-0.0035465228606881283
1274,31.081796765327454,31,398,507904,0.529737114906311,0.090362548828125,0.2,94.82660862915218,0.855961799621582,300,0.0001,21.345518112182617,-5.03014717400074,0.01047053,-0.00029587895696749913
1308,-14.654561758041382,32,400,524288,0.6246670782566071,0.084918212890625,0.2,126.17895424924791,0.8532451391220093,310,0.0001,5.7120561599731445,-5.018932600691914,0.008123259,-0.0003335670956403192
1344,45.85891127586365,33,402,540672,0.8008690476417542,0.126483154296875,0.2,18.325374766997992,0.8477559089660645,320,0.0001,2.255519390106201,-4.991358528286218,0.009694334,-0.0009423906511074164
1378,4.731019973754883,34,403,557056,0.6153101027011871,0.104962158203125,0.2,40.40273354593664,0.8425285220146179,330,0.0001,34.96297836303711,-4.971084230020642,0.010416551,-0.000821555242237082
1413,45.33185362815857,35,405,573440,0.6112838089466095,0.1171630859375,0.2,38.40250115375966,0.8323283195495605,340,0.0001,6.5654168128967285,-4.934617033973336,0.009528062,-0.0014657829347925143
1448,47.73041915893555,36,407,589824,0.59998819231987,0.07108154296875,0.2,54.49733533579856,0.8275144100189209,350,0.0001,7.903860092163086,-4.897032793983817,0.007539304,-0.0003766097234347399
1482,30.86963129043579,37,408,606208,0.6439864933490753,0.092889404296875,0.2,22.184979898296298,0.8228336572647095,360,0.0001,10.604260444641113,-4.874531212076545,0.008066357,-0.0004899272879811178
1519,58.60940742492676,38,409,622592,0.56666100025177,0.067626953125,0.2,95.78663933798671,0.8202131390571594,370,0.0001,6.976316452026367,-4.857171937450767,0.007866396,-0.003593374777210556
1555,73.52632510662079,39,410,638976,0.6361607015132904,0.0840576171875,0.2,112.36968355327845,0.8134331107139587,380,0.0001,5.268111228942871,-4.831460762768984,0.009111833,-0.0033260776619499664
1590,43.04332613945007,40,411,655360,0.2976999282836914,0.099603271484375,0.2,101.1569887176156,0.8104681968688965,390,0.0001,4.231930732727051,-4.80639576241374,0.008824809,-0.002251772712043021
1626,48.08008313179016,41,413,671744,0.6430703997612,0.08505859375,0.2,78.83728583604098,0.805850625038147,400,0.0001,65.3216323852539,-4.791525188833475,0.0082786605,-0.0013058882322184218
1663,55.00816106796265,42,413,688128,0.38334351778030396,0.10277099609375,0.2,104.4696817200631,0.8016974925994873,410,0.0001,2.6545896530151367,-4.7685167621821165,0.009702351,-0.0027457711631541314
1700,124.61740612983704,43,414,704512,0.2781780958175659,0.1,0.2,184.8960989870131,0.8017852306365967,420,0.0001,25.37997817993164,-4.762964293733239,0.0079932865,-0.0028728922264235736
1733,51.74151134490967,44,415,720896,0.3328580856323242,0.056817626953125,0.2,192.04428656250238,0.8012096881866455,430,0.0001,65.54210662841797,-4.76326335594058,0.006728325,-0.002027267032281088
1769,67.69562435150146,45,416,737280,0.5202601552009583,0.096063232421875,0.2,101.03639264702797,0.8001430630683899,440,0.0001,117.20991516113281,-4.76316091902554,0.009233322,-0.0030233103784667037
1804,105.18743467330933,46,417,753664,0.696506530046463,0.0994873046875,0.2,34.114570973068474,0.7969692349433899,450,0.0001,6.083014488220215,-4.745527167245745,0.008134709,-0.0023012745872620145
1842,73.55255627632141,47,418,770048,0.4377956986427307,0.07515869140625,0.2,149.06809583380817,0.7967708706855774,460,0.0001,8.340947151184082,-4.741866920888424,0.006825019,-0.001577137313552157
1880,-18.356032848358154,48,418,786432,0.44597911834716797,0.083782958984375,0.2,143.07765497490763,0.7932513952255249,470,0.0001,5.33830451965332,-4.7311382874846455,0.009576432,-0.0023449814000287006
1919,60.98101091384888,49,418,802816,0.6013801693916321,0.056793212890625,0.2,177.92244538068772,0.7918030023574829,480,0.0001,15.073755264282227,-4.719825466349721,0.0070459805,-0.0025870692330499877
1956,67.14083671569824,50,418,819200,0.678638219833374,0.06744384765625,0.2,236.63943449109792,0.7893162369728088,490,0.0001,35.216552734375,-4.709723769500852,0.009158123,-0.0019664318878767515
