time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate
544,4096000,-2274.7788848876953,60,1,,,,,,,,,,,
585,4128768,-2148.232490539551,111,2,0.4168073832988739,-2.1507878843694925,7472.832718658447,0.1678924560546875,0.019177165,-0.5592911243438721,0.2,-0.008314961638461682,761.686279296875,1250,0.001
610,4161536,-2050.091781616211,161,3,0.41350042819976807,-2.124160088226199,3933.6893465042112,0.2220001220703125,0.02260756,0.21282857656478882,0.2,-0.00882231013601995,691.5025634765625,1260,0.001
625,4194304,-2291.238212585449,209,4,0.4103911817073822,-2.0952470429241656,3589.3193868637086,0.209521484375,0.02358206,0.4585552215576172,0.2,-0.009355094495913364,443.6601257324219,1270,0.001
631,4227072,-2089.532051086426,259,5,0.4074842929840088,-2.066796059533954,3186.283075141907,0.20985107421875,0.022633675,0.6311341524124146,0.2,-0.008637634144179174,324.8883361816406,1280,0.001
636,4259840,-2183.104667663574,308,6,0.40523046255111694,-2.04053222052753,3032.6446200370788,0.19736328125,0.021569807,0.6854406297206879,0.2,-0.009253282345889602,458.8034973144531,1290,0.001
641,4292608,-2136.144691467285,357,7,0.40255826711654663,-2.0156231839209795,2675.020326709747,0.2067291259765625,0.020999499,0.7389923632144928,0.2,-0.010643836519011528,466.0333557128906,1300,0.001
645,4325376,-2090.092613220215,406,8,0.4006243348121643,-1.989306346513331,2740.510532569885,0.2102081298828125,0.0239726,0.7596846222877502,0.2,-0.010525890946155414,408.5751647949219,1310,0.001
648,4358144,-2100.414993286133,455,9,0.3992256224155426,-1.9750663757324218,2453.680653476715,0.217572021484375,0.02296001,0.7659373134374619,0.2,-0.009790494781191228,400.0649108886719,1320,0.001
649,4390912,-1934.4361877441406,504,10,0.3995710015296936,-1.9718905976042151,2825.5348217964174,0.1980377197265625,0.021192491,0.747772604227066,0.2,-0.010775235758774215,494.35101318359375,1330,0.001
649,4423680,-2124.9124298095703,554,11,0.3984867036342621,-1.96343853212893,2351.466933917999,0.2217315673828125,0.027972385,0.7704763114452362,0.2,-0.010173714539632783,350.4866027832031,1340,0.001
648,4456448,-2110.294418334961,606,12,0.3942200839519501,-1.931131918169558,2909.420854473114,0.203448486328125,0.020948207,0.790845051407814,0.2,-0.01090138292638585,475.190673828125,1350,0.001
644,4489216,-2162.231285095215,660,13,0.3920246660709381,-1.9019168771803379,2901.5540455818177,0.2125213623046875,0.022367649,0.7679962664842606,0.2,-0.009591325729343226,640.9993286132812,1360,0.001
640,4521984,-2127.437702178955,716,14,0.39048367738723755,-1.8816940128803252,2965.6844967842103,0.202532958984375,0.022852283,0.7925286144018173,0.2,-0.009523536948836408,420.8179626464844,1370,0.001
639,4554752,-2002.8226470947266,769,15,0.38787370920181274,-1.8589653072878718,2528.516212463379,0.224761962890625,0.024504088,0.7845920473337173,0.2,-0.009675533042900497,597.4610595703125,1380,0.001
637,4587520,-2218.029457092285,822,16,0.38476836681365967,-1.8274488138034939,2859.123813915253,0.2145660400390625,0.021905784,0.8103931844234467,0.2,-0.010661755687942786,497.3157958984375,1390,0.001
638,4620288,-2074.7287826538086,871,17,0.3837721347808838,-1.8066216189414264,2643.122592830658,0.209375,0.024878703,0.8056071549654007,0.2,-0.010202489477887867,499.43267822265625,1400,0.001
640,4653056,-2035.8797073364258,921,18,0.3829558491706848,-1.7936737721785903,2625.587382030487,0.2087158203125,0.02500518,0.8055067956447601,0.2,-0.009297810522548388,400.5049133300781,1410,0.001
640,4685824,-2066.6891708374023,972,19,0.38042810559272766,-1.7796647613868117,2456.8781158447264,0.21151123046875,0.02136745,0.8039005696773529,0.2,-0.010271408833068563,413.9302062988281,1420,0.001
639,4718592,-1876.257225036621,1024,20,0.3805176019668579,-1.7678923387080432,2708.1364777565004,0.2027435302734375,0.02533364,0.7853983640670776,0.2,-0.009646213478845311,572.9461669921875,1430,0.001
