time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1562,0.064949684,1,3342336,62,,,,,,,,,,,
1665,0.053110495,2,3440640,118,-5.370302038391431,0.0001,340,0.5171118378639221,0.9257838726043701,0.2,-0.001967303504231192,0.09154456853866577,37.561015039744476,0.08521525065104167,0.007821042
1706,0.06472317,3,3538944,172,-5.366672219832738,0.0001,350,21.189945220947266,0.9259597659111023,0.2,-0.002118263745069271,0.05900031328201294,107.88880356401205,0.04239603678385417,0.004115864
1714,0.053013075,4,3637248,229,-5.3684515486160915,0.0001,360,2.90443754196167,0.9261478185653687,0.2,-0.002574021546873458,0.08069807291030884,42.637978951012094,0.0432098388671875,0.0053240345
1717,0.06385174,5,3735552,286,-5.368747108678023,0.0001,370,19.908546447753906,0.9258555173873901,0.2,-0.0016890508114253558,-0.42694950103759766,64.33666427657008,0.06676432291666666,0.009693469
1699,0.05604422,6,3833856,347,-5.369486325979233,0.0001,380,67.2176284790039,0.926331639289856,0.2,-0.0023294446914709018,0.22071897983551025,114.88676348403096,0.06225992838541667,0.006361987
1698,0.060452223,7,3932160,405,-5.362420817712943,0.0001,390,3.548994779586792,0.9228552579879761,0.2,-0.002649806566599485,0.3295380473136902,40.51787696679433,0.07782796223958334,0.006966421
1693,0.061238214,8,4030464,464,-5.35140663733085,0.0001,400,0.7569985389709473,0.9214062690734863,0.2,-0.00264614054018845,0.2229214310646057,39.13428417108953,0.067462158203125,0.007989613
1693,0.062402304,9,4128768,522,-5.343157350023588,0.0001,410,1.8987643718719482,0.9192066192626953,0.2,-0.002132054867979605,0.30458736419677734,59.462116576731205,0.07997233072916667,0.007826019
1688,0.06731818,10,4227072,582,-5.330947508414586,0.0001,420,6.086151123046875,0.9153938889503479,0.2,-0.0020292546100487622,0.2813683748245239,77.89862608959278,0.0504608154296875,0.006570199
1682,0.060124412,11,4325376,642,-5.322691730658213,0.0001,430,1.6056339740753174,0.915648341178894,0.2,-0.001991385814471869,0.41603392362594604,31.614064901322127,0.06584676106770833,0.007467355
