time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl
72,1,1.879087794572115,908,2162688,,,,,,,,,,,
123,2,0.9403617992356885,1064,2228224,0.9540332555770874,-0.0032759724064817418,0.001,0.19198958575725555,330,-5.491161160543561,0.518027275800705,0.2,0.39531402587890624,32.442369318334386,0.0672909
174,3,1.454996106971521,1128,2293760,0.9535226225852966,-0.00917832906879994,0.001,0.4807147681713104,340,-5.492504107952118,0.3461049795150757,0.2,0.25023956298828126,9.69281916874461,0.03070147
226,4,1.2780560262035578,1159,2359296,0.9539462924003601,-0.0014041433734746534,0.001,0.3814127743244171,350,-5.484376795217395,0.3282320499420166,0.2,0.4776458740234375,4.378691451670602,0.06659092
278,5,1.5625019433064153,1177,2424832,0.9514710903167725,-0.006071224874722248,0.001,0.31862175464630127,360,-5.486594704911113,0.6513763666152954,0.2,0.41202850341796876,2.9795197010971606,0.050705764
335,6,1.3177986199734733,1173,2490368,0.9454213380813599,-0.0051509115990484135,0.001,9.811389923095703,370,-5.458158450573682,0.16330915689468384,0.2,0.28499298095703124,112.02537753325888,0.044248335
394,7,1.75607518653851,1161,2555904,0.934368371963501,-0.006008786938218691,0.001,1.2672332525253296,380,-5.431858206540346,0.39998841285705566,0.2,0.21434326171875,104.42148095811717,0.02818088
453,8,1.8507111894432455,1154,2621440,0.9255366325378418,-0.007532649020140525,0.001,10.925576210021973,390,-5.378064465150237,0.47525131702423096,0.2,0.22512359619140626,121.76752653904259,0.03217192
513,9,1.5012233647576068,1148,2686976,0.9170114398002625,-0.007166170603159117,0.001,1.4954025745391846,400,-5.34215002283454,0.4605478048324585,0.2,0.36854248046875,39.878811141010374,0.05499232
574,10,1.7118495133763645,1140,2752512,0.9054250717163086,-0.0019331989486090606,0.001,1.616368293762207,410,-5.337904697656631,0.3185093402862549,0.2,0.38914031982421876,60.521110537368806,0.09863737
637,11,10.863138750963117,1130,2818048,0.9120326042175293,-0.0037188280572081566,0.001,1.8708171844482422,420,-5.276298638060689,0.3675975203514099,0.2,0.42910003662109375,37.70181937580928,0.08235822
699,12,11.104825755341153,1123,2883584,0.9082889556884766,-0.0048551944670180095,0.001,12.475234031677246,430,-5.296404210478068,0.3898574113845825,0.2,0.3574737548828125,44.71562175722793,0.05186992
762,13,1.7866905303671956,1117,2949120,0.9013235569000244,-0.005594202668726211,0.001,0.9275346994400024,440,-5.277368305623531,0.6539091765880585,0.2,0.45311279296875,11.345837401505559,0.06022635
826,14,2.1421213103458285,1110,3014656,0.9045093059539795,-0.0011694367163727292,0.001,0.6188541650772095,450,-5.259412981197238,0.2823660373687744,0.2,0.471697998046875,41.58842049380765,0.08709851
889,15,1.6917445617145859,1105,3080192,0.907699704170227,-0.004756298471875198,0.001,1.2657047510147095,460,-5.2812326900660995,0.40958619117736816,0.2,0.3722900390625,43.22481139311567,0.07190502
951,16,1.866137537988834,1101,3145728,0.90744948387146,-0.004846959143105778,0.001,2.7343156337738037,470,-5.288245031610131,0.4464857578277588,0.2,0.32172088623046874,54.72706840708852,0.041430224
