rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/approx_kl,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
2.7220063,,,,,,,,,,,,,,,
2.747363,,,,,,,,,,,,,,,
,721,1,45,4096000,,,,,,,,,,,
5.270982,,,,,19541.18359375,0.2,0.00037413463,0.9249271750450134,33577.66620788574,0.0,1250,0.0001,-5.363351868093014,-0.00037954169856675436,0.7994915843009949
4.2966185,,,,,,,,,,,,,,,
,842,2,77,4128768,,,,,,,,,,,
2.6502728,,,,,21542.451171875,0.2,0.0003938116,0.9246664047241211,34039.334490966794,0.0,1260,0.0001,-5.362985220551491,-0.0003575329617888201,0.8022367507219315
3.8313308,,,,,,,,,,,,,,,
,892,3,110,4161536,,,,,,,,,,,
3.0604022,,,,,9313.13671875,0.2,0.0009402773,0.9242648482322693,25035.87534484863,0.0001129150390625,1270,0.0001,-5.3615678429603575,-0.0006586410680029075,0.8232535421848297
2.7561011,,,,,,,,,,,,,,,
,916,4,143,4194304,,,,,,,,,,,
1.9607751,,,,,15237.9326171875,0.2,0.00027316913,0.9241454601287842,34294.93043823242,0.0,1280,0.0001,-5.360336673259735,-0.00028012668153678535,0.7825732082128525
3.691072,,,,,,,,,,,,,,,
,932,5,175,4227072,,,,,,,,,,,
2.2972016,,,,,8192.435546875,0.2,0.0010629295,0.9240388870239258,32990.9070892334,0.0001190185546875,1290,0.0001,-5.359843617677688,-0.0008002050752111245,0.8109709173440933
4.4957104,,,,,,,,,,,,,,,
,943,6,208,4259840,,,,,,,,,,,
3.6456285,,,,,9419.06640625,0.2,0.0008463223,0.9242595434188843,34758.80650177002,4.2724609375e-05,1300,0.0001,-5.359982295334339,-0.0005363724576454842,0.7998508214950562
4.33014,,,,,,,,,,,,,,,
,952,7,240,4292608,,,,,,,,,,,
4.6290636,,,,,12739.888671875,0.2,0.0005996766,0.9243359565734863,39119.367031860354,2.74658203125e-05,1310,0.0001,-5.360745264589786,-0.00048435766002512536,0.7890846729278564
3.8983583,,,,,,,,,,,,,,,
,960,8,273,4325376,,,,,,,,,,,
3.9811206,,,,,7696.46142578125,0.2,0.00099509,0.9241687059402466,24068.31629486084,0.000115966796875,1320,0.0001,-5.360556349158287,-0.0007015529277850874,0.8332501798868179
2.750146,,,,,,,,,,,,,,,
,967,9,304,4358144,,,,,,,,,,,
2.394945,,,,,14129.826171875,0.2,0.0003201195,0.9240289330482483,24498.048674011232,0.0,1330,0.0001,-5.359891499578953,-0.0002897107144235633,0.8283769935369492
4.2165804,,,,,,,,,,,,,,,
,971,10,337,4390912,,,,,,,,,,,
3.5897348,,,,,24082.98046875,0.2,0.0003660616,0.9239038228988647,30761.673574829103,0.0,1340,0.0001,-5.359326274693013,-0.0004374469437607331,0.8256316184997559
4.6146536,,,,,,,,,,,,,,,
,973,11,370,4423680,,,,,,,,,,,
2.8451917,,,,,13358.6748046875,0.2,0.00044360317,0.9237381219863892,33503.538201904295,3.0517578125e-06,1350,0.0001,-5.358705550432205,-0.00040779868213576266,0.8080091327428818
3.1000695,,,,,,,,,,,,,,,
,976,12,402,4456448,,,,,,,,,,,
1.5884356,,,,,9026.83984375,0.2,0.00047308614,0.9236116409301758,28341.751388549805,0.0,1360,0.0001,-5.358035606145859,-0.0004081906387000345,0.8308801054954529
3.854582,,,,,,,,,,,,,,,
,978,13,435,4489216,,,,,,,,,,,
3.534368,,,,,13494.7841796875,0.2,0.00041559534,0.9234353303909302,34894.65079040527,0.0,1370,0.0001,-5.35736635029316,-0.0003690536483190954,0.7993182986974716
3.7424648,,,,,,,,,,,,,,,
,976,14,469,4521984,,,,,,,,,,,
3.378007,,,,,18757.318359375,0.2,0.0006080851,0.9236798286437988,31588.822985839844,6.103515625e-06,1380,0.0001,-5.357419568300247,-0.0005602046450803755,0.8127305209636688
3.180314,,,,,,,,,,,,,,,
,972,15,505,4554752,,,,,,,,,,,
4.367322,,,,,14674.64453125,0.2,0.0003736717,0.9235771894454956,25075.96142272949,0.0,1390,0.0001,-5.357862669229507,-0.0003461247808445478,0.8450592458248138
3.8168151,,,,,,,,,,,,,,,
,972,16,538,4587520,,,,,,,,,,,
256.26758,,,,,17494.18359375,0.2,0.00029881822,0.9233774542808533,27416.863537597656,3.0517578125e-06,1400,0.0001,-5.357208251953125,-0.0003107269265456125,0.8298490345478058
4.502618,,,,,,,,,,,,,,,
,971,17,573,4620288,,,,,,,,,,,
3.6224957,,,,,8696.857421875,0.2,0.00069778226,0.9233670234680176,27420.7266708374,1.52587890625e-05,1410,0.0001,-5.3566323786973955,-0.0005849369037605357,0.8342993259429932
1.906892,,,,,,,,,,,,,,,
,959,18,614,4653056,,,,,,,,,,,
4.6193686,,,,,13235.0546875,0.2,0.001057742,0.9235018491744995,31355.627221679686,0.0002044677734375,1420,0.0001,-5.356902924180031,-0.0007650254359759856,0.8088265955448151
2.8842757,,,,,,,,,,,,,,,
,961,19,647,4685824,,,,,,,,,,,
3.8604228,,,,,10810.9326171875,0.2,0.00036297942,0.9234089851379395,23585.9990524292,0.0,1430,0.0001,-5.3570837214589115,-0.0003839882654574467,0.8466167747974396
5.355757,,,,,,,,,,,,,,,
,959,20,682,4718592,,,,,,,,,,,
4.6265945,,,,,7854.125,0.2,0.00033220125,0.9232118129730225,35138.05282897949,0.0,1440,0.0001,-5.356495417654514,-0.0003016396127350163,0.8093158900737762
4.056004,,,,,,,,,,,,,,,
,950,21,724,4751360,,,,,,,,,,,
3.581332,,,,,16555.23046875,0.2,0.00070320384,0.9231142997741699,30612.636041259764,3.0517578125e-05,1450,0.0001,-5.35582911670208,-0.0006021374996635131,0.8354505896568298
4.571805,,,,,,,,,,,,,,,
,942,22,765,4784128,,,,,,,,,,,
6.94433,,,,,9209.455078125,0.2,0.00077238044,0.9230308532714844,26376.81737060547,1.52587890625e-05,1460,0.0001,-5.355471040308475,-0.0006662342537310905,0.8404519110918045
5.6495695,,,,,,,,,,,,,,,
,942,23,799,4816896,,,,,,,,,,,
2.9418511,,,,,12096.14453125,0.2,0.00048638706,0.9226641654968262,35237.01475830078,0.0,1470,0.0001,-5.35454694032669,-0.0004603902387316339,0.8134818971157074
2.991697,,,,,,,,,,,,,,,
,943,24,833,4849664,,,,,,,,,,,
7.743822,,,,,23547.859375,0.2,0.00025085092,0.9226039052009583,32818.04189453125,0.0,1480,0.0001,-5.353495648503303,-0.0002891083175200038,0.8156269639730453
3.972561,,,,,,,,,,,,,,,
,944,25,866,4882432,,,,,,,,,,,
5.2556705,,,,,4957.71337890625,0.2,0.00050790736,0.9223752021789551,33386.95732421875,9.1552734375e-06,1490,0.0001,-5.352948105335235,-0.0005322901888575871,0.82735975086689
3.496799,,,,,,,,,,,,,,,
,946,26,900,4915200,,,,,,,,,,,
2.2414055,,,,,15195.3369140625,0.2,0.0005325032,0.9222772121429443,30340.606463623048,4.57763671875e-05,1500,0.0001,-5.352178256213665,-0.0004693143415352097,0.8456425666809082
2.005499,,,,,,,,,,,,,,,
,947,27,933,4947968,,,,,,,,,,,
6.137667,,,,,14551.57421875,0.2,0.00054180506,0.9224542379379272,32457.432867431642,1.52587890625e-05,1510,0.0001,-5.3522760510444645,-0.0005217817706579808,0.8199885487556458
3.7464805,,,,,,,,,,,,,,,
,949,28,965,4980736,,,,,,,,,,,
5.0061455,,,,,12479.537109375,0.2,0.00042634617,0.9224806427955627,22902.565307617188,9.1552734375e-06,1520,0.0001,-5.352828833460808,-0.0004060331055370625,0.8481252044439316
3.2268538,,,,,,,,,,,,,,,
,952,29,998,5013504,,,,,,,,,,,
2.0853748,,,,,10659.341796875,0.2,0.00032550027,0.9223675727844238,27131.8744140625,0.0,1530,0.0001,-5.3526560992002485,-0.0003148387604596792,0.8406189531087875
5.768845,,,,,,,,,,,,,,,
,953,30,1030,5046272,,,,,,,,,,,
2.758316,,,,,12710.61328125,0.2,0.00047929178,0.9219694137573242,20173.06242980957,0.0,1540,0.0001,-5.3516211465001104,-0.0005258100834907963,0.8626128435134888
3.493358,,,,,,,,,,,,,,,
,955,31,1063,5079040,,,,,,,,,,,
