rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,train/std,train/loss
0.7996311,,,,,,,,,,,,,,,
,819,24,959,11960320,,,,,,,,,,,
0.88284624,,,,,4.2724609375e-05,-0.00048638782936905045,-5.13582735657692,0.5342931151390076,0.0008048577,3650,0.0001,0.2,17410.556325531004,0.8741275072097778,2613.129150390625
0.7027924,,,,,,,,,,,,,,,
,819,25,999,11993088,,,,,,,,,,,
0.49312675,,,,,0.0,-0.0003792465438891668,-5.136510166525841,0.5061420500278473,0.0003762932,3660,0.0001,0.2,16059.579134368896,0.8741301894187927,2394.792724609375
0.7280866,,,,,,,,,,,,,,,
,819,26,1039,12025856,,,,,,,,,,,
0.643204,,,,,0.0004608154296875,-0.0006646154179179575,-5.13661722689867,0.5502267181873322,0.0011501975,3670,0.0001,0.2,15031.240425872802,0.8741908073425293,2378.97314453125
0.93783176,,,,,,,,,,,,,,,
,818,27,1081,12058624,,,,,,,,,,,
0.960179,,,,,8.23974609375e-05,-0.0006747251893102657,-5.137115223705768,0.5118148624897003,0.0007734759,3680,0.0001,0.2,13976.527916717529,0.8743805885314941,3295.61767578125
0.7554912,,,,,,,,,,,,,,,
,818,28,1120,12091392,,,,,,,,,,,
0.46981615,,,,,0.0,-0.00033906194112205413,-5.137252013385296,0.5225433111190796,0.00030881076,3690,0.0001,0.2,15521.630600738525,0.8741292953491211,2039.26953125
0.8287734,,,,,,,,,,,,,,,
,818,29,1160,12124160,,,,,,,,,,,
0.53070295,,,,,9.765625e-05,-0.0006295953804510646,-5.136275219917297,0.531711995601654,0.00092557666,3700,0.0001,0.2,14353.873515319825,0.8740137815475464,2444.386474609375
-11.388961,,,,,,,,,,,,,,,
,819,30,1199,12156928,,,,,,,,,,,
-10.833417,,,,,0.0,-0.0002513377916329773,-5.135852868854999,0.6271785199642181,0.00034638488,3710,0.0001,0.2,13064.723733520508,0.8739378452301025,1323.9307861328125
0.67240596,,,,,,,,,,,,,,,
,819,31,1239,12189696,,,,,,,,,,,
