time/iterations,rew_vec_envs,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction
1,8.562423452734947,64,1018,65536,,,,,,,,,,,
2,8.89680877327919,115,1134,131072,0.0063941944,0.30262306332588196,0.0001,0.04853367805480957,10,0.977154292515479,-5.661224351450801,0.2,-0.006334691176380147,0.994072437286377,0.06478424072265625
3,13.630737647414207,167,1172,196608,0.0074170767,0.35230112075805664,0.0001,0.1334608793258667,20,4.85544843452517,-5.641067203134298,0.2,-0.007320269923184242,0.9889083504676819,0.084661865234375
4,16.48992522060871,219,1194,262144,0.008298131,0.3374013304710388,0.0001,0.545269638299942,30,0.8798554875422269,-5.609183906763792,0.2,-0.010861715896317037,0.9804952144622803,0.09617767333984376
5,16.37147268652916,271,1207,327680,0.008229699,0.7191503643989563,0.0001,0.13620030879974365,40,16.038271340727807,-5.582797191292047,0.2,-0.0062861738446372325,0.97402024269104,0.087628173828125
6,30.59143839776516,324,1212,393216,0.008103109,35.48174285888672,0.0001,0.07016080617904663,50,263.1755658852868,-5.5584580734372135,0.2,-0.005081478883766977,0.9678565263748169,0.08876800537109375
7,27.786326095461845,376,1217,458752,0.008306425,81.16747283935547,0.0001,0.5523333847522736,60,13.096515314653516,-5.531328296661377,0.2,-0.007031141505103733,0.9622930288314819,0.0942352294921875
8,42.65376940369606,429,1219,524288,0.008230792,1.8906136751174927,0.0001,0.4680216312408447,70,45.957864528894426,-5.499731263890863,0.2,-0.0054897404821531385,0.9527276158332825,0.07856292724609375
9,56.30897876620293,483,1219,589824,0.0068795104,3.861067771911621,0.0001,0.1958417296409607,80,407.5010387985036,-5.47356767617166,0.2,-0.0028261200457563975,0.9486398696899414,0.0508087158203125
10,-5.450671941041946,536,1221,655360,0.008353773,2.543226718902588,0.0001,0.3227387070655823,90,256.4233829440549,-5.444623687118292,0.2,-0.004552672507361422,0.9399067163467407,0.08026275634765626
11,26.295889258384705,592,1216,720896,0.0075519765,352.5576477050781,0.0001,0.400141179561615,100,213.57609291858972,-5.4115912660956385,0.2,-0.004194094901140488,0.9323441386222839,0.0831024169921875
12,29.296780943870544,650,1209,786432,0.0074267164,234.81097412109375,0.0001,0.2602500915527344,110,561.7353804945946,-5.385931577906012,0.2,-0.0032103678618113918,0.9268798232078552,0.0648468017578125
13,23.605866640806198,706,1205,851968,0.006737141,153.6255340576172,0.0001,0.37074190378189087,120,352.0619048923254,-5.361664310470223,0.2,-0.00272634484754235,0.9221414923667908,0.05540618896484375
14,26.756933510303497,761,1205,917504,0.008304855,192.33505249023438,0.0001,0.49632859230041504,130,161.1778325021267,-5.335506851226091,0.2,-0.004318360241995833,0.9154530167579651,0.078472900390625
15,34.91084870696068,816,1203,983040,0.0068192696,30.12632942199707,0.0001,0.39112669229507446,140,263.4989339120686,-5.318045861274004,0.2,-0.0037025446587904296,0.9133095145225525,0.05510711669921875
16,49.3247372508049,873,1200,1048576,0.008019545,203.12010192871094,0.0001,0.48592066764831543,150,298.4911238834262,-5.298635673895478,0.2,-0.00430598196126084,0.9074723720550537,0.07906951904296874
