time/fps,rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/approx_kl,train/std,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction
524,696.2909841537476,1,62,5177344,,,,,,,,,,,
575,544.3789215087891,2,113,5210112,0.7254362106323242,0.098120406,0.3599294424057007,98.48834991455078,-0.016020655717875344,1580,0.001,0.2,-1.575571865774691,765.8066810369492,0.441473388671875
594,649.6428761482239,3,165,5242880,0.6926712989807129,0.07892969,0.35834771394729614,120.51536560058594,-0.017338845517951996,1590,0.001,0.2,-1.5675539083778858,864.1050315618515,0.441705322265625
593,630.1452960968018,4,220,5275648,0.6920486390590668,0.08843544,0.35679319500923157,110.03855895996094,-0.014902482074103319,1600,0.001,0.2,-1.5477350132539869,853.2381434202194,0.450311279296875
600,557.9589281082153,5,272,5308416,0.7203091382980347,0.08828225,0.35761481523513794,94.84915924072266,-0.014757101974100805,1610,0.001,0.2,-1.5401265187188984,816.3065750837326,0.4404876708984375
603,645.038408279419,6,325,5341184,0.7098755240440369,0.095757425,0.3579053282737732,173.833984375,-0.014253175074554748,1620,0.001,0.2,-1.5616367727518081,784.2263688802719,0.458258056640625
613,684.9927010536194,7,373,5373952,0.672697126865387,0.07184895,0.35653889179229736,92.0594482421875,-0.018958850726630772,1630,0.001,0.2,-1.5404431659728288,994.8026460409164,0.4027862548828125
615,698.7368211746216,8,425,5406720,0.6843920350074768,0.08962365,0.35388001799583435,166.76876831054688,-0.01868480626180826,1640,0.001,0.2,-1.5167870689183474,858.537454199791,0.444757080078125
618,641.5540065765381,9,477,5439488,0.6841546595096588,0.077552885,0.3528970777988434,179.54832458496094,-0.018569383025169372,1650,0.001,0.2,-1.5012804979458452,1034.0364201307298,0.410858154296875
616,490.0973119735718,10,531,5472256,0.6578913629055023,0.104101926,0.3507346510887146,135.1931610107422,-0.013960218012653059,1660,0.001,0.2,-1.4865131799131632,901.0508903741836,0.4492767333984375
605,700.2544265389442,11,595,5505024,0.6761895418167114,0.104533106,0.34783080220222473,108.85181427001953,-0.01732958699867595,1670,0.001,0.2,-1.45255533978343,902.4037770032883,0.431781005859375
604,540.0450129508972,12,650,5537792,0.7085614204406738,0.09284073,0.34613507986068726,233.3103790283203,-0.018391341609094523,1680,0.001,0.2,-1.4324580879881978,924.7173465251923,0.4175750732421875
598,378.7405581474304,13,711,5570560,0.7103254199028015,0.08742052,0.3450678288936615,130.1357879638672,-0.016247053390179643,1690,0.001,0.2,-1.4182751085609198,885.7863723516464,0.4451934814453125
598,662.031845331192,14,766,5603328,0.7017298936843872,0.0997688,0.34327611327171326,98.63439178466797,-0.01655122429947369,1700,0.001,0.2,-1.4073265468701721,906.9460999250412,0.45858154296875
598,442.76793384552,15,820,5636096,0.6461257934570312,0.09294014,0.3412899374961853,130.68312072753906,-0.01698538976997952,1710,0.001,0.2,-1.3753663506358862,924.5880202770234,0.4380645751953125
601,596.3708124160767,16,872,5668864,0.6802070736885071,0.09394358,0.3399914801120758,106.65306091308594,-0.015957293146493613,1720,0.001,0.2,-1.352455810457468,952.8530730009079,0.4505859375
601,569.2015066146851,17,925,5701632,0.657870352268219,0.10245986,0.3400695323944092,118.792724609375,-0.017470914877776522,1730,0.001,0.2,-1.3458526065573095,946.6767374515533,0.4417694091796875
601,538.4876093864441,18,980,5734400,0.6840725839138031,0.09775742,0.33924993872642517,113.55591583251953,-0.01369493968104507,1740,0.001,0.2,-1.342609860561788,872.2577112197876,0.4673004150390625
602,671.2622842788696,19,1033,5767168,0.6770241558551788,0.1005986,0.33823856711387634,103.2358627319336,-0.015714624270185596,1750,0.001,0.2,-1.3310716271400451,828.6054902553558,0.4597015380859375
603,563.3540720939636,20,1086,5799936,0.6828589141368866,0.09266336,0.33602747321128845,158.72621154785156,-0.015333646582439542,1760,0.001,0.2,-1.307862472347915,898.8457342147827,0.4559844970703125
604,487.0727906227112,21,1138,5832704,0.6978308260440826,0.096457034,0.33554381132125854,148.36944580078125,-0.014802816845622147,1770,0.001,0.2,-1.2926427826285363,866.7571258306504,0.450982666015625
602,670.6049132347107,22,1197,5865472,0.6906784176826477,0.10009345,0.3334248661994934,119.62478637695312,-0.013454995195934316,1780,0.001,0.2,-1.2797169340774417,812.5520805835724,0.4801025390625
