scenario,total_episodes,metric,mean,median,std_dev,min,max,95%_ci_low,95%_ci_high
10x5,500,exploded_target,4.478,5.0,0.8336101076781919,0,6,4.404932195056759,4.551067804943241
15x5,500,exploded_target,4.86,5.0,0.5300584155050228,2,6,4.813539185098755,4.906460814901246
5x5,500,exploded_target,3.06,3.0,1.0838586157788275,0,5,2.9649973492471724,3.1550026507528277
