rew_vec_envs,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/policy_gradient_loss
0.6115245,47,1,4259840,1378,,,,,,,,,,,
0.6001308,86,2,4325376,1512,0.2,0.1179761290550232,650,40.050838470458984,174629.27567790152,0.1208740234375,-5.307335979491472,0.001,0.013033381,0.9130196571350098,-0.002586419813451357
0.58728075,125,3,4390912,1566,0.2,0.35652410984039307,660,102.90447235107422,19452.884493094683,0.1017486572265625,-5.2964588642120365,0.001,0.0134730395,0.9097479581832886,-0.0015794815162735176
0.5708569,164,4,4456448,1596,0.2,0.31120991706848145,670,100.74126434326172,2402.904813748598,0.11075286865234375,-5.295258830487728,0.001,0.012094896,0.9081902503967285,-0.002427910658843757
0.6899669,203,5,4521984,1608,0.2,0.5805943310260773,680,20.260026931762695,66.32494938820601,0.25622711181640623,-5.29692038744688,0.001,0.02915733,0.9062819480895996,-0.006002230051308288
0.6887875,242,6,4587520,1618,0.2,0.17774808406829834,690,20.040390014648438,6958.036748099327,0.18430938720703124,-5.284227946400643,0.001,0.018435117,0.9092980623245239,-0.003437660024064826
0.8712795,283,7,4653056,1620,0.2,0.0821981430053711,700,344.2364807128906,162568.74327895045,0.11338958740234376,-5.281022492051124,0.001,0.010933998,0.9025755524635315,-0.0018887137757701566
0.58146703,323,8,4718592,1618,0.2,0.2108170986175537,710,16.10435676574707,16459.515088021755,0.21372222900390625,-5.275827044248581,0.001,0.023865182,0.9079928994178772,-0.0037303478959074708
0.6030954,364,9,4784128,1616,0.2,0.13950103521347046,720,306848.4375,133480.35999572874,0.0553863525390625,-5.2768360242247585,0.001,0.0071019595,0.904139518737793,-0.0018687524265260437
0.650064,405,10,4849664,1615,0.2,0.05325967073440552,730,23335.8984375,106510.10316031278,0.22719879150390626,-5.251786739379168,0.001,0.0256624,0.9002888202667236,-0.0019520077481502084
0.55475914,446,11,4915200,1613,0.2,0.362318754196167,740,100.81036376953125,419.22145553827283,0.09438934326171874,-5.2531864389777185,0.001,0.011254329,0.9012185335159302,-0.004466861207401962
0.61914396,487,12,4980736,1612,0.2,0.044195592403411865,750,22622.646484375,52463.271093976495,0.13465728759765624,-5.246744205802679,0.001,0.016916303,0.89839106798172,-0.002893046654025966
0.6755749,528,13,5046272,1613,0.2,0.20141631364822388,760,41.05352020263672,51346.9776720345,0.08800811767578125,-5.246742011606694,0.001,0.010864301,0.8990492820739746,-0.00245687648493913
0.5947077,569,14,5111808,1612,0.2,0.1922861933708191,770,49.84122848510742,764.2046623528004,0.105419921875,-5.243132708966732,0.001,0.009773618,0.8992604613304138,-0.002419235145498533
0.6055856,610,15,5177344,1610,0.2,-0.2484492063522339,780,15.79136848449707,74.7150293931365,0.26160736083984376,-5.2385521054267885,0.001,0.023022706,0.8943795561790466,-0.004058764684668858
0.7640016,651,16,5242880,1609,0.2,0.4140588641166687,790,37.24495315551758,15323.945326021314,0.17784423828125,-5.227485185861587,0.001,0.017440215,0.8951171636581421,-0.003941820186446421
