time/time_elapsed,time/iterations,time/total_timesteps,rew_vec_envs,time/fps,train/n_updates,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/approx_kl,train/explained_variance,train/std,train/value_loss,train/loss
46,1,32768,379.7780254483223,701,,,,,,,,,,,
84,2,65536,394.5213202238083,777,10,0.075079345703125,-5.6612327240407465,-0.003543538386657019,0.001,0.2,0.007524759,0.0014233589172363281,0.9957441091537476,451.84426443576814,28.033842086791992
120,3,98304,406.40764927864075,815,20,0.0512237548828125,-5.671538699418306,-0.005856646163738333,0.001,0.2,0.006243311,0.6763645112514496,0.9994828104972839,311.2919842362404,57.384300231933594
157,4,131072,364.27991366386414,830,30,0.0567230224609375,-5.66432837843895,-0.0054894110042368995,0.001,0.2,0.0065246653,0.8178157657384872,0.9985548853874207,318.6028037071228,129.2771759033203
197,5,163840,480.61944007873535,830,40,0.0712615966796875,-5.66246999129653,-0.005735404808001476,0.001,0.2,0.0070800697,0.8454369753599167,0.9970608353614807,373.0971906900406,133.4442596435547
233,6,196608,362.2762253880501,843,50,0.07008056640625,-5.631703294813633,-0.005878732406563359,0.001,0.2,0.0073907156,0.8691219091415405,0.988548994064331,343.7227325320244,133.134521484375
269,7,229376,378.13185131549835,851,60,0.0689971923828125,-5.643458391726017,-0.005896193295120611,0.001,0.2,0.0077790497,0.8641752898693085,0.9937325716018677,387.20401949882506,168.94808959960938
305,8,262144,371.79996848106384,856,70,0.1151947021484375,-5.634888738393784,-0.004755209236827795,0.001,0.2,0.009360802,0.8769017904996872,0.9912087917327881,408.6919162273407,187.99078369140625
343,9,294912,359.6689351797104,859,80,0.1142425537109375,-5.626289279013872,-0.007273284485199838,0.001,0.2,0.010578975,0.863005205988884,0.9883518218994141,417.66081006526946,200.02438354492188
379,10,327680,396.1043645143509,864,90,0.1060455322265625,-5.616712105274201,-0.0066176127980725145,0.001,0.2,0.009301475,0.8507228791713715,0.9871528148651123,364.39134511947634,143.72608947753906
416,11,360448,391.5194761753082,865,100,0.128265380859375,-5.622035558521747,-0.006790123078826582,0.001,0.2,0.010197608,0.8615571111440659,0.9867204427719116,346.77396285533905,132.0608367919922
454,12,393216,409.51317512989044,865,110,0.1302947998046875,-5.61379376873374,-0.0079370299627044,0.001,0.2,0.011585193,0.7987400740385056,0.9860662817955017,346.5329969167709,133.18753051757812
493,13,425984,409.1277916431427,863,120,0.1299346923828125,-5.622778469324112,-0.008100593201015726,0.001,0.2,0.0120062735,0.8312527239322662,0.9871106147766113,277.41538540124895,142.5777130126953
532,14,458752,340.5995771884918,860,130,0.128387451171875,-5.605162849277258,-0.00752266089693876,0.001,0.2,0.011571404,0.8205016851425171,0.9805178046226501,248.69055342674255,65.7406005859375
570,15,491520,458.4444223642349,861,140,0.13956298828125,-5.590296539664268,-0.008269022434251382,0.001,0.2,0.012618599,0.813400462269783,0.9777106046676636,236.27972394227982,67.4916000366211
606,16,524288,461.05219781398773,864,150,0.1329742431640625,-5.56910818964243,-0.008026995522232027,0.001,0.2,0.01244127,0.7276801764965057,0.9749040603637695,247.30134739875794,66.4403305053711
644,17,557056,420.0723898410797,864,160,0.1328460693359375,-5.559923142939806,-0.008748286611080403,0.001,0.2,0.011221096,0.7218983471393585,0.9733743667602539,230.95123764276505,51.542537689208984
680,18,589824,422.98032879829407,866,170,0.1513885498046875,-5.547456308454275,-0.008464855429338058,0.001,0.2,0.013971137,0.8186188042163849,0.9671958684921265,185.43642548322677,28.910921096801758
