time/total_timesteps,time/iterations,rew_vec_envs,time/fps,time/time_elapsed,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,train/loss,train/clip_range
31195136,1,2.1844683,1544,63,,,,,,,,,,,
31293440,2,2.4106514,1545,127,0.058636474609375,-0.0030797962404903955,0.0068649203,-1.7747362642238538,968.3761184374491,0.8609896004199982,0.0001,0.37856215238571167,8020,405.5893859863281,0.2
31391744,3,2.4936378,1551,190,0.0481689453125,-0.0029047598049752803,0.0060448744,-1.7704230029756824,1530.340756034851,0.8211852312088013,0.0001,0.37846219539642334,8030,440.074951171875,0.2
31490048,4,1.8088487,1550,253,0.05406494140625,-0.003692465141587794,0.0061966986,-1.7579183461144567,1156.2782551924388,0.8445714116096497,0.0001,0.3762483298778534,8040,220.0894317626953,0.2
31588352,5,9.716628,1547,317,0.04351806640625,-0.0029786238433492447,0.0055045113,-1.741774413920939,1398.8471580823264,0.8367313742637634,0.0001,0.37542107701301575,8050,484.6607971191406,0.2
31686656,6,2.6768055,1543,382,0.04708048502604167,-0.003087002577012754,0.0055311774,-1.7319001919279495,1348.7716170469919,0.8185628801584244,0.0001,0.3744931221008301,8060,424.630126953125,0.2
31784960,7,1.9044651,1544,445,0.0510009765625,-0.003071168253518408,0.006059783,-1.722155330888927,1383.2006484826406,0.8198926895856857,0.0001,0.3737563490867615,8070,384.28289794921875,0.2
31883264,8,1.384714,1543,509,0.05297444661458333,-0.0031097493220537823,0.0063146017,-1.7177233792841435,1291.5514998753865,0.796476885676384,0.0001,0.3735837936401367,8080,446.296875,0.2
31981568,9,1.6337095,1542,573,0.05130411783854167,-0.002732938330397398,0.0061072223,-1.7131967791666587,1195.0673566500345,0.8256302922964096,0.0001,0.3729599118232727,8090,330.885986328125,0.2
32079872,10,2.5970652,1543,637,0.05907084147135417,-0.0032010931721136635,0.006960325,-1.7067858894666037,953.5733121236166,0.8465752899646759,0.0001,0.37233051657676697,8100,355.8171081542969,0.2
32178176,11,1.9376539,1542,700,0.05927734375,-0.0036297552131751825,0.006184316,-1.696479444516202,1050.7745893160502,0.8246586173772812,0.0001,0.37125295400619507,8110,363.4317626953125,0.2
