time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/std,train/entropy_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate
502,6127616,-4756.366195678711,65,1,,,,,,,,,,,
538,6160384,-4778.911895751953,121,2,0.31431975960731506,-1.0326363308355213,4494.7705742836,0.2510894775390625,0.029152893,0.8031202405691147,0.2,-0.009204813532778643,497.8144836425781,1870,0.001
552,6193152,-4696.271102905273,177,3,0.31231600046157837,-1.0060282714664937,4262.238879108429,0.2243408203125,0.025527662,0.8493191450834274,0.2,-0.009868596838350641,727.528564453125,1880,0.001
561,6225920,-4591.119598388672,233,4,0.30888831615448,-0.9660123337060214,3761.656853866577,0.23505859375,0.024503194,0.8786333575844765,0.2,-0.011703127287546522,575.6576538085938,1890,0.001
561,6258688,-4717.214630126953,291,5,0.3073732256889343,-0.9340886073186994,3388.9241916656492,0.215106201171875,0.024092117,0.9054905325174332,0.2,-0.011624215662232018,523.2738037109375,1900,0.001
560,6291456,-4654.442581176758,350,6,0.30651068687438965,-0.9241744074970484,3867.75777759552,0.206060791015625,0.020511195,0.8968339115381241,0.2,-0.011451557682448765,672.6260986328125,1910,0.001
563,6324224,-4801.066375732422,407,7,0.3060748279094696,-0.9120196452364325,3545.9904666900634,0.2013824462890625,0.019921212,0.9158868119120598,0.2,-0.012231470431288471,665.4880981445312,1920,0.001
566,6356992,-4774.7276611328125,462,8,0.30413225293159485,-0.893719918653369,3037.606607913971,0.2344329833984375,0.026346449,0.9268020316958427,0.2,-0.01167255825312168,725.5101318359375,1930,0.001
568,6389760,-4773.743469238281,519,9,0.3026052713394165,-0.8721274923533201,3648.2442096710206,0.200579833984375,0.021474611,0.9209927543997765,0.2,-0.01081216278107604,805.4737548828125,1940,0.001
568,6422528,-4721.396057128906,576,10,0.3028380870819092,-0.8687259048223496,3334.168431091309,0.21595458984375,0.020579252,0.923090249300003,0.2,-0.010797771691795788,580.4547119140625,1950,0.001
568,6455296,-4770.896560668945,634,11,0.3022105097770691,-0.8625614874064922,3640.0904945373536,0.210101318359375,0.023056807,0.9239464029669762,0.2,-0.01099164948973339,954.3563232421875,1960,0.001
570,6488064,-4744.309783935547,689,12,0.30103570222854614,-0.851371411792934,3063.432272148132,0.237347412109375,0.027781427,0.9302345141768456,0.2,-0.010746922627004097,544.5884399414062,1970,0.001
572,6520832,-4505.948455810547,744,13,0.29826322197914124,-0.8208521293476224,3475.099355697632,0.2178955078125,0.02156972,0.9263131693005562,0.2,-0.011796412626426899,476.97821044921875,1980,0.001
573,6553600,-4728.9697265625,800,14,0.29710859060287476,-0.7988761136308312,3289.26311378479,0.2065155029296875,0.020832015,0.9289058521389961,0.2,-0.010798750719186501,537.2844848632812,1990,0.001
573,6586368,-4641.514709472656,856,15,0.29524385929107666,-0.7755653111264109,3088.465381336212,0.225927734375,0.025212646,0.9261501729488373,0.2,-0.011325421297806315,679.2659301757812,2000,0.001
574,6619136,-4683.776321411133,913,16,0.2940274178981781,-0.7537019470706582,3481.4686965942383,0.22308349609375,0.026510948,0.9317424222826958,0.2,-0.011329681540155434,553.7850952148438,2010,0.001
575,6651904,-4726.9261474609375,968,17,0.29201051592826843,-0.7328455645591021,3232.202556324005,0.217962646484375,0.020069767,0.9270310997962952,0.2,-0.012018451037147316,614.2996215820312,2020,0.001
574,6684672,-4732.064437866211,1026,18,0.2924093008041382,-0.7243713757023216,3617.5697931289674,0.204815673828125,0.02003567,0.9211889207363129,0.2,-0.0122220118810219,791.07763671875,2030,0.001
573,6717440,-4618.717620849609,1085,19,0.2917616367340088,-0.7228703217580914,3133.3792465209963,0.217138671875,0.023283388,0.9207740947604179,0.2,-0.012024286457744893,507.46661376953125,2040,0.001
574,6750208,-4666.14567565918,1141,20,0.291073203086853,-0.7111069513484836,3258.683719730377,0.2312286376953125,0.024671579,0.9259599894285202,0.2,-0.011593609971168917,637.5955810546875,2050,0.001
573,6782976,-4859.052276611328,1200,21,0.29003047943115234,-0.6989664774388075,3696.188080596924,0.2161865234375,0.023255806,0.9264298230409622,0.2,-0.010983498561108718,905.9675903320312,2060,0.001
573,6815744,-4580.105194091797,1257,22,0.2880067825317383,-0.6741052588447929,3196.833278656006,0.232989501953125,0.027251918,0.9308815598487854,0.2,-0.011669979764701566,515.35546875,2070,0.001
572,6848512,-4688.756622314453,1317,23,0.28699159622192383,-0.6585424531251192,3450.108653354645,0.2264739990234375,0.023996955,0.9235741943120956,0.2,-0.010885976527424646,676.5169677734375,2080,0.001
571,6881280,-4761.4024658203125,1376,24,0.2851344048976898,-0.6370374640449882,3418.507196044922,0.2337554931640625,0.027263796,0.913531556725502,0.2,-0.010945130049367435,687.2931518554688,2090,0.001
571,6914048,-4606.663299560547,1434,25,0.283733069896698,-0.6167228704318404,3296.6188033103945,0.22547607421875,0.024086665,0.9280743822455406,0.2,-0.010836339465458877,810.435546875,2100,0.001
569,6946816,-4819.330993652344,1496,26,0.2827188968658447,-0.5995829105377197,3511.1956655502318,0.21309814453125,0.023618255,0.9223762601613998,0.2,-0.011968632753269048,685.831787109375,2110,0.001
568,6979584,-4660.242904663086,1555,27,0.2816532254219055,-0.5819721532985568,2763.66755695343,0.251727294921875,0.026114376,0.9341007769107819,0.2,-0.01170270602669916,504.169677734375,2120,0.001
568,7012352,-4709.570159912109,1614,28,0.28269851207733154,-0.5843973465263843,2845.8525270462037,0.263739013671875,0.02829349,0.9395652413368225,0.2,-0.011602921172743664,443.462646484375,2130,0.001
568,7045120,-4714.242477416992,1671,29,0.28241539001464844,-0.5907797126099468,2950.4155386924745,0.2385650634765625,0.024790563,0.9321485087275505,0.2,-0.009799959445444983,536.1672973632812,2140,0.001
