time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
26,15.948293447494507,16384,619,1,,,,,,,,,,,
54,20.82797420024872,32768,604,2,0.2,0.18077188730239868,-5.660790921747685,10,0.066827392578125,0.9939481616020203,-0.0002593994140625,0.0067538526,84.37610326753929,-0.0023905580866994567,0.0001
81,16.57765018939972,49152,599,3,0.2,0.2093350738286972,-5.638036421686411,20,0.052020263671875,0.9870824813842773,0.013321399688720703,0.0056864927,47.17317838746821,-0.0018254319811603636,0.0001
109,16.41935396194458,65536,596,4,0.2,0.10082448273897171,-5.6138276774436235,30,0.064300537109375,0.9828640222549438,0.6312342882156372,0.006109492,0.3527945153880864,-0.0035983178440801566,0.0001
137,17.73562490940094,81920,595,5,0.2,0.24798917770385742,-5.600560662150383,40,0.05150146484375,0.9807817935943604,0.5784280002117157,0.005584747,0.49322917400859295,-0.002241405594668322,0.0001
165,26.60355019569397,98304,593,6,0.2,0.19388385117053986,-5.589785685017705,50,0.077850341796875,0.977857232093811,0.6359567642211914,0.007266535,0.5505338074988686,-0.003877473774264217,0.0001
193,24.27137053012848,114688,592,7,0.2,0.2920253276824951,-5.56788236759603,60,0.082421875,0.970163106918335,0.6905230581760406,0.007149989,0.7232498173601926,-0.003634365110883664,0.0001
221,21.30763018131256,131072,590,8,0.2,0.7034263014793396,-5.544774769991636,70,0.072344970703125,0.96592116355896,0.61399707198143,0.0070901215,1.4453960639657453,-0.0036684730637716713,0.0001
249,21.54014480113983,147456,589,9,0.2,0.5329914689064026,-5.514871240034699,80,0.08001708984375,0.9583451747894287,0.6509369611740112,0.007330952,1.0885237076086924,-0.002628407042902836,0.0001
278,22.90541672706604,163840,588,10,0.2,0.5986789464950562,-5.5060661226511005,90,0.08465576171875,0.9604828953742981,0.4195246696472168,0.008311113,5.915878083161078,-0.002350871694761736,0.0001
307,29.992426872253418,180224,586,11,0.2,0.4705197513103485,-5.506566294655204,100,0.07733154296875,0.9584648013114929,0.6890422701835632,0.0070134755,1.7941714345477522,-0.0030880372951287427,0.0001
335,-22.89190673828125,196608,585,12,0.2,1.3070158958435059,-5.4917023602873085,110,0.094903564453125,0.9535471200942993,0.6946384906768799,0.008008414,1.5847687395755201,-0.002837899207679584,0.0001
364,26.589568853378296,212992,583,13,0.2,15.486570358276367,-5.482483423128724,120,0.0896484375,0.9531869292259216,0.030510663986206055,0.008357741,56.122831306466836,-0.002402052967227064,0.0001
394,31.010650396347046,229376,581,14,0.2,0.742951512336731,-5.471902571991086,130,0.0943115234375,0.9490228891372681,0.6823903918266296,0.007275015,1.697285365103744,-0.0025695148835438884,0.0001
424,27.964669704437256,245760,579,15,0.2,2.127152919769287,-5.454783104360104,140,0.097442626953125,0.9447532296180725,0.37823402881622314,0.00842406,6.678216805402189,-0.0020095333235076395,0.0001
453,33.47713828086853,262144,577,16,0.2,1.203410267829895,-5.441419759020209,150,0.08343505859375,0.9433876276016235,0.724768728017807,0.0078580445,2.7186169243883342,-0.0019998615214717576,0.0001
487,33.0752809047699,278528,571,17,0.2,1.2633661031723022,-5.435203933715821,160,0.10579833984375,0.9417253732681274,0.6785619854927063,0.008669402,2.3593207991681995,-0.002484173691846081,0.0001
519,37.18384599685669,294912,567,18,0.2,1.2056763172149658,-5.429393971338868,170,0.106072998046875,0.9394650459289551,0.7087197303771973,0.008094316,2.2416426931042226,-0.002009560994247295,0.0001
556,37.67786359786987,311296,559,19,0.2,1.5747958421707153,-5.429731574654579,180,0.097955322265625,0.9425092935562134,0.4207766056060791,0.010497019,52.100580756086856,-0.0025871447920508216,0.0001
590,31.668620586395264,327680,555,20,0.2,0.7990709543228149,-5.444327771291137,190,0.101605224609375,0.9462110996246338,0.7683095932006836,0.009762911,2.8455122917424887,-0.002428641205005988,0.0001
622,39.6514093875885,344064,552,21,0.2,0.7982226014137268,-5.442943992838264,200,0.11695556640625,0.9426850080490112,0.7890732735395432,0.009943571,2.1773952638264746,-0.002626676103864156,0.0001
653,49.41871738433838,360448,551,22,0.2,1.2016934156417847,-5.433780478686094,210,0.106964111328125,0.9411482810974121,0.6449098289012909,0.009095561,4.500551366340369,-0.002145181188097922,0.0001
683,49.12855005264282,376832,551,23,0.2,0.8462187647819519,-5.424666985869408,220,0.09647216796875,0.938346266746521,0.828057274222374,0.008228796,2.2646884327754377,-0.0019153484611706517,0.0001
713,40.19638466835022,393216,550,24,0.2,0.7786023616790771,-5.424124337732792,230,0.10863037109375,0.9409701824188232,0.822245642542839,0.008538928,2.8980878005269917,-0.00401826953152522,0.0001
743,39.243154525756836,409600,550,25,0.2,0.7564574480056763,-5.4158352121710776,240,0.10579833984375,0.9361125230789185,0.8348045349121094,0.008834012,2.311212301068008,-0.0009110293376579648,0.0001
773,41.137932538986206,425984,550,26,0.2,0.8925290703773499,-5.403287821635604,250,0.090478515625,0.9343253374099731,0.8199624568223953,0.0089140255,2.3510957497172056,-0.0009722102306113812,0.0001
803,36.692572355270386,442368,550,27,0.2,0.6770138144493103,-5.3983552031219,260,0.10936279296875,0.933927595615387,0.8445824980735779,0.00905649,2.4101319981273264,-0.0020328684344349313,0.0001
834,36.4429497718811,458752,550,28,0.2,0.8662470579147339,-5.390293634310365,270,0.119171142578125,0.9311259388923645,0.8848109245300293,0.010213614,1.869183694338426,-0.0011458982517979165,0.0001
864,89.71405172348022,475136,549,29,0.2,0.855078399181366,-5.379950206354261,280,0.114697265625,0.9289775490760803,0.8841425776481628,0.010662267,1.757893083896488,-0.002635079267383844,0.0001
894,42.39898061752319,491520,549,30,0.2,3.8273251056671143,-5.365377208963037,290,0.1014404296875,0.9234786629676819,0.3543381690979004,0.010128863,57.086850218009204,-0.002940735532547478,0.0001
924,58.4838285446167,507904,549,31,0.2,1.2993791103363037,-5.339066694676876,300,0.102178955078125,0.9190727472305298,0.8150613456964493,0.009458402,3.352610073518008,-0.001579863185133945,0.0001
954,51.425010681152344,524288,549,32,0.2,11.080162048339844,-5.322470942512155,310,0.1156494140625,0.9159800410270691,0.7700269818305969,0.01001518,5.022081755846739,-0.0020364127532957353,0.0001
985,84.44125843048096,540672,548,33,0.2,0.719889760017395,-5.321847234666348,320,0.123626708984375,0.9181604981422424,0.8719484806060791,0.010033965,3.3390022598207,-0.0023613916097929176,0.0001
1015,50.74719262123108,557056,548,34,0.2,2.369736671447754,-5.327155856415629,330,0.098699951171875,0.9182954430580139,0.6853287220001221,0.008722633,15.176134966220706,-0.0013131165254890221,0.0001
1047,92.74001598358154,573440,547,35,0.2,5.388062953948975,-5.322203031554818,340,0.114532470703125,0.9153870344161987,0.35862255096435547,0.00894051,73.03080129027367,-0.0015169983334089921,0.0001
1078,62.592137813568115,589824,546,36,0.2,3.6915948390960693,-5.3120242390781645,350,0.1165771484375,0.9158046245574951,0.37961345911026,0.010660361,68.64988415371627,-4.578203643177403e-05,0.0001
1109,57.5732102394104,606208,546,37,0.2,2.306175947189331,-5.315410516783595,360,0.12239990234375,0.9162105917930603,0.8436398059129715,0.009237161,4.615332967042923,0.00045654260547962623,0.0001
1141,54.71405792236328,622592,545,38,0.2,1.2052983045578003,-5.319407259300351,370,0.13951416015625,0.9169319272041321,0.8712689131498337,0.010839291,3.5119058692827823,-0.0017716192232910544,0.0001
1173,61.62524938583374,638976,544,39,0.2,1.0026121139526367,-5.309518967941403,380,0.1190673828125,0.9134635329246521,0.8470907658338547,0.009696308,3.4543921943753957,-0.0011710150442922895,0.0001
1204,56.03709959983826,655360,544,40,0.2,2.2433154582977295,-5.304893718287349,390,0.097222900390625,0.9136220216751099,0.32940876483917236,0.007856436,80.40741454437375,-0.0013032142578595085,0.0001
1235,66.60873317718506,671744,543,41,0.2,10.655229568481445,-5.3115255706012245,400,0.1109375,0.9171828031539917,0.6259625852108002,0.009639261,24.447213321737944,-0.0027940824105826324,0.0001
1267,54.31239604949951,688128,542,42,0.2,1.8405917882919312,-5.311117715761066,410,0.118511962890625,0.9146016240119934,0.8369507342576981,0.010142413,6.354995991569012,-0.0011386352653062204,0.0001
1298,52.878541231155396,704512,542,43,0.2,1.0871291160583496,-5.298897992447019,420,0.130596923828125,0.9112548232078552,0.8298805058002472,0.010792005,5.283559101447463,-0.00016315943266818068,0.0001
1330,53.64312744140625,720896,541,44,0.2,1.3961585760116577,-5.2890933260321615,430,0.110369873046875,0.9099137187004089,0.779571145772934,0.0096752625,8.021246690023691,0.00010362585080656573,0.0001
1361,63.15856599807739,737280,541,45,0.2,2.1857001781463623,-5.2881835624575615,440,0.130206298828125,0.9107913970947266,0.8418309241533279,0.010781544,5.720254217553884,-0.0006382064866556902,0.0001
1393,105.7443642616272,753664,540,46,0.2,1.5305343866348267,-5.275546165555715,450,0.126025390625,0.9064865112304688,0.36460942029953003,0.010148241,57.82883933456615,-0.0006525908805087965,0.0001
1425,54.98877429962158,770048,540,47,0.2,7.264918327331543,-5.269068631529808,460,0.090673828125,0.9060314893722534,0.2817723751068115,0.010387841,108.588393962197,-0.001237186698745063,0.0001
