step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[ 1.88566147 -0.96024197  0.41028807],[-0.46324295  0.29103919  2.29232126],[ 0.28855533  0.40804924 -0.1429117 ],[-2.77561393 -6.04923155  2.94761933],[0.51972934 0.65396626 0.67258547 0.75937739],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.0380765   0.02043324 -0.04639373],[-0.46035921  0.29039853  2.29321254],[-0.10114222  0.46302125  0.16145779],[-0.0767522  -5.63841027  0.56590224],5.667257415407483,0.859042352139257
0,0,[1.87443294 0.37173745 2.2725444 ],[-0.44365725  0.29938516  2.30491183],[0.31875049 0.44099175 0.08751759],[-2.77946407 -6.04990757  2.94550855],[0.76671352 0.72626142 0.87205889 0.86451551],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.09429443 -0.2667522  -0.13681668],[-0.44194017  0.30013932  2.30695827],[-0.05264943  0.57159465  0.03724715],[-0.16200615 -5.6301535   0.65430744],5.670360892740897,0.8477207369694171
0,0,[ 1.19834648 -0.62781375  3.22258118],[-0.42423659  0.30856324  2.33132183],[0.35589757 0.47036409 0.30412277],[-2.78471281 -6.0508545   2.9451144 ],[0.46325199 0.32957166 0.40709685 0.32970516],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.23745265 -0.44852429 -0.11458122],[-0.42097978  0.3130331   2.33425542],[ 0.01619535  0.67892536 -0.0889852 ],[-0.31351429 -5.61963333  0.71697917],5.673854867365899,0.8337424998010973
0,0,[ 0.80883909 -1.69656818  2.40230466],[-0.40896318  0.30610689  2.35785961],[0.39570957 0.49635965 0.3004686 ],[-2.79040059 -6.05187893  2.94480592],[0.34989521 0.31347827 0.21871952 0.14380951],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.30977941 -0.3726973  -0.08736186],[-0.40315336  0.31383678  2.36154651],[ 0.05576084  0.73877924 -0.11775478],[-0.43156567 -5.60986869  0.75913814],5.677426037775244,0.8297654496296917
1,0,[ 0.62777313 -2.09796472  1.24225583],[-0.39723546  0.29565242  2.37729719],[0.43302064 0.52401336 0.33178882],[-2.79641966 -6.05296267  2.94441657],[0.76350736 0.73678428 0.63962565 0.72405069],[1.24940705 2.44551373 1.56442714 0.46229088],[False False False],[False False False],[False False False],[False False False],[-0.18591244 -0.14512518  0.0021478 ],[-0.38945907  0.30530455  2.38125933],[ 0.09438972  0.80715888 -0.17115631],[-0.49431547 -5.60310094  0.79681509],5.681021234962265,0.8235827123645328
1,0,[ 0.34893311 -1.70083825  0.69815699],[-0.39259969  0.2840737   2.38899204],[0.46920401 0.55273571 0.51032158],[-2.80343218 -6.05423702  2.94520565],[0.382452   0.49571092 0.52142379 0.50827687],[1.24940705 2.44551373 1.56442714 0.46229088],[False False False],[False False False],[False False False],[False False False],[0.25129484 0.38205098 0.35020368],[-0.38600607  0.29169743  2.39102398],[ 0.13998275  0.89526554 -0.26878259],[-0.51881064 -5.60328339  0.80680216],5.684793663696076,0.8097441662447845
1,0,[ 1.20972476 -1.37031943  1.3967045 ],[-0.38015884  0.27698897  2.40330764],[0.50490602 0.58262606 0.54051713],[-2.81098674 -6.05562753  2.94635937],[0.16966166 0.27714153 0.39793603 0.34030989],[1.24940705 2.44551373 1.56442714 0.46229088],[False False False],[False False False],[False False False],[False False False],[0.5281297  0.62827467 0.57095929],[-0.37762601  0.2794109   2.40063703],[ 0.14857312  0.92859196 -0.24650477],[-0.56940285 -5.5954021   0.85577476],5.689032844138179,0.8052341718633909
1,0,[ 1.68728576 -1.44378359  2.01618409],[-0.36120795  0.27166488  2.42309607],[0.54310596 0.61053452 0.49817022],[-2.81875936 -6.0570694   2.94726469],[0.09052926 0.13103018 0.24936239 0.21681764],[1.24940705 2.44551373 1.56442714 0.46229088],[False False False],[False False False],[False False False],[False False False],[0.38683783 0.45484766 0.44418921],[-0.36228412  0.26986224  2.41636705],[ 0.17324391  0.96900589 -0.25303086],[-0.65138192 -5.57835479  0.93397618],5.6933866921031955,0.8029521186757851
2,0,[ 1.51608031 -1.54182307  2.16941414],[-0.34184145  0.26589677  2.44520335],[0.58213426 0.63416991 0.42736343],[-2.82661403 -6.05853177  2.94765696],[0.18795345 0.09661733 0.11850755 0.21582614],[1.16506028 2.2728529  2.22458506 0.59402424],[False False False],[False False False],[False False False],[False False False],[0.08990622 0.12561065 0.10747922],[-0.34454645  0.26210609  2.43653136],[ 0.19336425  0.99212889 -0.22371865],[-0.74370575 -5.55749464  1.01319175],5.697841907151462,0.8025864184769413
2,0,[ 1.05546075 -1.62853656  2.02424436],[-0.32691708  0.25895082  2.46662504],[0.61981237 0.65366382 0.35165809],[-2.83452046 -6.06000762  2.94747842],[0.11368693 0.11964082 0.08407478 0.10448555],[1.16506028 2.2728529  2.22458506 0.59402424],[False False False],[False False False],[False False False],[False False False],[-0.12079618 -0.2918556  -0.43862972],[-0.32887819  0.25699036  2.46068726],[ 0.19041085  0.98129706 -0.09941353],[-0.8303541  -5.5392773   1.07170822],5.702774710475739,0.8034818484209554
