step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[-0.22893569  1.58827796 -0.35845296],[ 0.03751442 -0.47132656 -0.33393561],[-0.43322066 -0.03724335 -0.20402173],[-8.4245946  -4.05833941  7.00126561],[0.35507965 0.29424085 0.08733537 0.17893203],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.03751442 -0.47132656 -0.33393561],[ 0.44642707  0.17711067 -0.00517237],[ 5.81370975  4.46707129 -9.09367044],11.681129615673337,0.851969585524451
0,0,[-0.68049104  1.29644866 -1.24302116],[ 0.03664309 -0.45961383 -0.34287187],[-0.46732402 -0.04275348 -0.24422089],[-8.42708694 -4.05774518  6.99780462],[0.35936137 0.31253059 0.06333254 0.1198432 ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.03664309 -0.45961383 -0.34287187],[0.48990338 0.19834313 0.02276242],[ 5.88278858  4.5607977  -9.00297233],11.681677447274383,0.847097878954135
0,0,[-0.92768834  1.10606424 -2.16606632],[ 0.0370314  -0.44961622 -0.36067253],[-0.50014929 -0.05155906 -0.28928099],[-8.42970748 -4.05711747  6.99392607],[0.26802235 0.25963072 0.05344319 0.09891182],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.0370314  -0.44961622 -0.36067253],[0.53080017 0.22700046 0.05668433],[ 5.8952019   4.72402185 -8.91082203],11.682146087256967,0.8419921435002015
0,0,[-1.07456066  0.95450921 -2.80652326],[ 0.0388703  -0.44028687 -0.38493413],[-0.53143296 -0.06321334 -0.34783461],[-8.43240926 -4.05646751  6.98953888],[0.21780608 0.15678729 0.12245842 0.06468398],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.0388703  -0.44028687 -0.38493413],[0.57234418 0.26240802 0.10473778],[ 5.86747951  4.93156458 -8.81658127],11.682454803702768,0.8361716491097025
1,0,[-1.19364058  0.64479474 -3.28713068],[ 0.04133197 -0.43326629 -0.41381986],[-0.5618865  -0.0770017  -0.41330286],[-8.43515869 -4.05580359  6.9845754 ],[0.17170523 0.11549466 0.1260028  0.05348345],[ 1.          0.64758152 -0.79358345 -1.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.04133197 -0.43326629 -0.41381986],[0.61234011 0.30330112 0.15972783],[ 5.79089571  5.17186601 -8.72921461],11.682545053416307,0.8298241525922962
1,0,[-1.26373946  0.42729598 -3.74619272],[ 0.04472149 -0.42804464 -0.44694388],[-0.59163041 -0.09304332 -0.48259605],[-8.43793839 -4.0551301   6.9789999 ],[0.09787288 0.07234587 0.12716443 0.06230195],[ 1.          0.64758152 -0.79358345 -1.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.04472149 -0.42804464 -0.44694388],[0.64911745 0.34974818 0.21887281],[ 5.66913366  5.43689868 -8.6474976 ],11.682386676893563,0.8230855958355819
1,0,[-1.26792145  0.30009418 -4.19180246],[ 0.04948796 -0.42369403 -0.48411341],[-0.62041797 -0.1116971  -0.5538894 ],[-8.44073697 -4.05445005  6.97278825],[0.0653737  0.05961375 0.15990936 0.10832084],[ 1.          0.64758152 -0.79358345 -1.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.04948796 -0.42369403 -0.48411341],[0.68090016 0.40201076 0.2809813 ],[ 5.50817798  5.7190485  -8.568585  ],11.68195999734384,0.8160840796508486
1,0,[-1.24241219  0.19416925 -4.63976496],[ 0.05594336 -0.41987027 -0.52534224],[-0.64809121 -0.13347912 -0.62232934],[-8.44355926 -4.05376105  6.96595294],[0.05547196 0.05906426 0.20786342 0.17371102],[ 1.          0.64758152 -0.79358345 -1.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.05594336 -0.41987027 -0.52534224],[0.70455741 0.46033475 0.34179448],[ 5.30763708  6.01326381 -8.49245824],11.68127560897861,0.8091631852226147
2,0,[-1.21963708  0.11624632 -5.04767949],[ 0.06399648 -0.41628503 -0.57033568],[-0.67443771 -0.15862435 -0.68487509],[-8.44642123 -4.05305602  6.95853331],[0.05226876 0.06291511 0.2537362  0.22775076],[ 1.          0.81718028 -0.95979196 -1.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.06399648 -0.41628503 -0.57033568],[0.71781607 0.52423057 0.39875331],[ 5.0682759   6.31495898 -8.41812395],11.680365502758963,0.8025791702793807
2,0,[-1.21468794  0.0678104  -5.38829303],[ 0.07332055 -0.41263175 -0.6185385 ],[-0.69917092 -0.18707166 -0.74035534],[-8.44934335 -4.05232503  6.95058076],[0.0500557  0.06403155 0.28301291 0.2840784 ],[ 1.          0.81718028 -0.95979196 -1.        ],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.07332055 -0.41263175 -0.6185385 ],[0.7193533  0.59245959 0.45109232],[ 4.79290772  6.61927886 -8.34377295],11.679270699106384,0.7964644110838692
