agent_id,elapsed_time,rew_closing_distance,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,approaching,chasing,in_range,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[mission_complete],info[out_of_bounds],info[timeover]
8,0.1,0.0,0.0,0.0,0.0,6.9435875198608255,1.5706105455401311,0,1,0,0,0,0,0,0,0,0,0,0
9,0.1,0.0,0.0,0.0,0.0,0.0,1.5708866663322791,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,0.0,0.0,0.0,0.0,0.0,1.5707723908238946,0,1,0,0,0,0,0,0,0,0,0,0
11,0.1,0.0,0.0,14.55995597608521,0.0,14.55995597608521,1.571279600372802,1,0,0,0,0,0,0,0,0,0,0,0
12,0.1,0.0,0.0,13.266174133873099,0.0,26.532348267746197,1.5709721180438072,1,0,0,0,0,0,0,0,0,0,0,0
13,0.1,0.0,0.0,5.2897950441665,0.0,10.579590088333,1.5709035797483384,1,0,0,0,0,0,0,0,0,0,0,0
14,0.1,0.0019269550401226354,1.9101236179775323,12.0495441694655,0.0,27.929244000811018,1.570578978116843,1,1,0,0,0,0,0,0,0,0,0,0
15,0.1,0.0,0.0,0.0,0.0,0.0,1.5707753958646422,0,1,0,0,0,0,0,0,0,0,0,0
16,0.1,0.0,0.0,0.0,0.0,0.0,1.5712475422329646,0,0,0,0,0,0,0,0,0,0,0,0
17,0.1,0.0,0.0,0.0,0.0,0.0,1.5705482066324215,0,1,0,0,0,0,0,0,0,0,0,0
18,0.1,0.0,0.0,12.263447530667653,0.0,24.526895061335306,1.5716676799514053,1,0,0,0,0,0,0,0,0,0,0,0
19,0.1,0.0,0.0,13.311918512873387,0.0,26.623837025746774,1.5712299642894183,1,0,0,0,0,0,0,0,0,0,0,0
0,0.10833333333333334,0.0,0.0,11.513795738669943,0.0,34.54138721600983,1.5709014617416612,1,0,0,0,0,0,0,0,0,0,0,0
1,0.10833333333333334,0.0,0.0,18.768967775623768,0.0,56.30690332687131,1.571231942182733,1,0,0,0,0,0,0,0,0,0,0,0
2,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,1.5707214859590213,0,1,0,0,0,0,0,0,0,0,0,0
3,0.10833333333333334,0.0,0.0,13.28066921187274,0.0,39.84200763561822,1.5712256894326437,1,0,0,0,0,0,0,0,0,0,0,0
4,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,1.5707968084653994,0,0,0,0,0,0,0,0,0,0,0,0
5,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,1.5707041247154456,0,1,0,0,0,0,0,0,0,0,0,0
6,0.10833333333333334,0.0,0.0,5.874216648944547,0.0,11.748433297889093,1.5708759653417785,1,0,0,0,0,0,0,0,0,0,0,0
7,0.10833333333333334,0.0014499130531691051,1.9098877341436746,5.3513644536657425,0.0,21.79677020428442,1.5707729550632947,1,1,0,0,0,0,0,0,0,0,0,0
