rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/loss,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/clip_range
2.3478367,,,,,,,,,,,,,,,
2.3989534,,,,,,,,,,,,,,,
,1,55,17268736,594,,,,,,,,,,,
2.4424424,,,,,5990,132.29568481445312,0.5770798921585083,-0.0034459091893950244,477.6050726175308,0.006230117,0.0001,0.8102052360773087,-3.467482375726104,0.051251220703125,0.2
1.649227,,,,,,,,,,,,,,,
,2,103,17301504,631,,,,,,,,,,,
2.3188128,,,,,6000,193.26730346679688,0.5769749879837036,-0.0022909641826117876,670.5689454555511,0.006277973,0.0001,0.8525910526514053,-3.4639331847429276,0.0428985595703125,0.2
2.482497,,,,,,,,,,,,,,,
,3,152,17334272,645,,,,,,,,,,,
2.6083822,,,,,6010,157.58377075195312,0.5764800906181335,-0.001651700031652581,726.5166133642197,0.0044031087,0.0001,0.8650589734315872,-3.4617721516638995,0.0406463623046875,0.2
2.1051555,,,,,,,,,,,,,,,
,4,201,17367040,650,,,,,,,,,,,
2.263938,,,,,6020,830.6873168945312,0.5767794847488403,-0.0018796291780745378,1530.7271634578706,0.0054289335,0.0001,0.757446363568306,-3.4610289044678213,0.0463348388671875,0.2
2.3817673,,,,,,,,,,,,,,,
,5,249,17399808,655,,,,,,,,,,,
2.3098223,,,,,6030,546.2085571289062,0.5763581991195679,-0.002418628544182866,710.5310193777084,0.0053653466,0.0001,0.8255176246166229,-3.4609447166323664,0.0500213623046875,0.2
2.4638257,,,,,,,,,,,,,,,
,6,303,17432576,647,,,,,,,,,,,
2.2967474,,,,,6040,413.7539367675781,0.5754749178886414,-0.002039980429253774,628.0546752929688,0.0043980335,0.0001,0.8162227869033813,-3.4562918342649938,0.0388763427734375,0.2
2.8620343,,,,,,,,,,,,,,,
,7,352,17465344,650,,,,,,,,,,,
2.0288901,,,,,6050,143.74383544921875,0.5754302144050598,-0.0013155488904885715,908.9833291769028,0.0040206295,0.0001,0.8841032832860947,-3.453039236739278,0.023797607421875,0.2
1.9974618,,,,,,,,,,,,,,,
,8,401,17498112,652,,,,,,,,,,,
2.597875,,,,,6060,485.5834655761719,0.5754437446594238,-0.0013216204009950162,1112.309657239914,0.0033720105,0.0001,0.8264692723751068,-3.453213655203581,0.02974853515625,0.2
2.0548768,,,,,,,,,,,,,,,
,9,450,17530880,655,,,,,,,,,,,
2.5144486,,,,,6070,178.49684143066406,0.5754583477973938,-0.0016550415068195435,1277.222384929657,0.005286002,0.0001,0.8452174216508865,-3.4531446751207113,0.05823974609375,0.2
2.2621202,,,,,,,,,,,,,,,
,10,498,17563648,657,,,,,,,,,,,
2.3526142,,,,,6080,192.33236694335938,0.5755586624145508,-0.0015631442420271924,945.6067835807801,0.004533047,0.0001,0.8640846312046051,-3.453794826939702,0.0397125244140625,0.2
2.5008307,,,,,,,,,,,,,,,
,11,547,17596416,658,,,,,,,,,,,
2.3284965,,,,,6090,396.1837158203125,0.5754738450050354,-0.0034305936329474206,971.2186400413514,0.0068139485,0.0001,0.8085266947746277,-3.4530981123447417,0.0647125244140625,0.2
2.6199138,,,,,,,,,,,,,,,
,12,601,17629184,653,,,,,,,,,,,
2.3177986,,,,,6100,119.18973541259766,0.5750595331192017,-0.0036768664765986616,728.554289984703,0.0063354797,0.0001,0.8269646763801575,-3.451682910323143,0.05908203125,0.2
2.0055308,,,,,,,,,,,,,,,
,13,650,17661952,654,,,,,,,,,,,
2.4715831,,,,,6110,127.14376831054688,0.5738106966018677,-0.001326386065920815,518.6903255939484,0.0053468077,0.0001,0.8975244611501694,-3.4460079606622456,0.0384521484375,0.2
2.4530687,,,,,,,,,,,,,,,
,14,700,17694720,655,,,,,,,,,,,
2.4111762,,,,,6120,471.1025390625,0.5732200145721436,-0.0017881409188703402,651.9123016119004,0.0045617223,0.0001,0.8441760241985321,-3.440006770566106,0.0393310546875,0.2
2.3799772,,,,,,,,,,,,,,,
,15,749,17727488,655,,,,,,,,,,,
2.387457,,,,,6130,303.00927734375,0.5732901096343994,-0.0025588971260731342,982.6951147317886,0.005455213,0.0001,0.8112552911043167,-3.4380169078707694,0.0774932861328125,0.2
2.3704023,,,,,,,,,,,,,,,
,16,799,17760256,656,,,,,,,,,,,
2.4284887,,,,,6140,228.06346130371094,0.5734091401100159,-0.0023922999811475166,1448.0955274105072,0.004914029,0.0001,0.7247879207134247,-3.438455934822559,0.0416259765625,0.2
2.502885,,,,,,,,,,,,,,,
,17,848,17793024,656,,,,,,,,,,,
2.363768,,,,,6150,314.4329528808594,0.5732685327529907,-0.0027820522576803342,1455.9979197978973,0.003481396,0.0001,0.7941879034042358,-3.438802781328559,0.0294097900390625,0.2
2.4567962,,,,,,,,,,,,,,,
,18,907,17825792,650,,,,,,,,,,,
-41.247353,,,,,6160,297.3630676269531,0.5731282830238342,-0.002552848242703476,1397.4780513763428,0.0049676485,0.0001,0.7604921609163284,-3.4380652889609338,0.047607421875,0.2
2.4502795,,,,,,,,,,,,,,,
,19,957,17858560,650,,,,,,,,,,,
2.3838458,,,,,6170,441.5418701171875,0.5727815628051758,-0.0014989197337854422,934.6572082519531,0.0037326014,0.0001,0.8590844571590424,-3.436338397487998,0.0197662353515625,0.2
2.7119825,,,,,,,,,,,,,,,
,20,1008,17891328,650,,,,,,,,,,,
2.4591293,,,,,6180,190.87722778320312,0.5728775858879089,-0.0016348316177754896,653.9507172346115,0.0039279903,0.0001,0.8742972016334534,-3.4356298886239527,0.03714599609375,0.2
2.4447322,,,,,,,,,,,,,,,
,21,1057,17924096,650,,,,,,,,,,,
2.2753127,,,,,6190,208.17782592773438,0.5730599761009216,-0.002104428399252356,555.9117048740387,0.0061525856,0.0001,0.9025585651397705,-3.436839375272393,0.0564300537109375,0.2
2.3733501,,,,,,,,,,,,,,,
,22,1106,17956864,651,,,,,,,,,,,
2.7808685,,,,,6200,406.4790344238281,0.5729506015777588,-0.002952357281537843,1899.834447813034,0.0045119245,0.0001,0.7490257322788239,-3.4366566486656667,0.052606201171875,0.2
2.0108075,,,,,,,,,,,,,,,
,23,1155,17989632,652,,,,,,,,,,,
2.2744412,,,,,6210,1195.962890625,0.5726985335350037,-0.002297556709163473,1378.0420103549957,0.005365979,0.0001,0.8199239373207092,-3.4353938214480877,0.0438018798828125,0.2
2.7360017,,,,,,,,,,,,,,,
,24,1204,18022400,652,,,,,,,,,,,
2.131106,,,,,6220,337.50091552734375,0.5726076364517212,-0.00357543452992104,1304.1249918460846,0.0064280503,0.0001,0.8103895783424377,-3.4341887779533864,0.065185546875,0.2
2.7550116,,,,,,,,,,,,,,,
,25,1253,18055168,653,,,,,,,,,,,
2.438324,,,,,6230,220.73800659179688,0.5722882747650146,-0.002846359721297631,920.334942650795,0.005889355,0.0001,0.7993966341018677,-3.4326681762933733,0.04534912109375,0.2
2.6781726,,,,,,,,,,,,,,,
,26,1301,18087936,654,,,,,,,,,,,
2.408848,,,,,6240,121.24772644042969,0.5710828304290771,-0.001807513306994224,405.63187713623046,0.0046737706,0.0001,0.8956472873687744,-3.4281446814537047,0.052008056640625,0.2
-47.96552,,,,,,,,,,,,,,,
,27,1350,18120704,655,,,,,,,,,,,
2.4730122,,,,,6250,168.0137176513672,0.5711631774902344,-0.0011797539042163407,859.8104817867279,0.0060685826,0.0001,0.8480377644300461,-3.423408645391464,0.0452606201171875,0.2
2.617468,,,,,,,,,,,,,,,
,28,1398,18153472,656,,,,,,,,,,,
2.3304527,,,,,6260,319.9735412597656,0.5704483985900879,-0.0014118753853836097,507.95203325748446,0.0055174693,0.0001,0.8645072132349014,-3.421332531422377,0.0600982666015625,0.2
2.239946,,,,,,,,,,,,,,,
,29,1447,18186240,656,,,,,,,,,,,
