rew_vec_envs,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/std,train/n_updates,train/loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance
0.2862457,65536,1,52,1258,,,,,,,,,,,
0.31139404,131072,2,95,1379,0.005762576,0.9945077896118164,10,0.2310546636581421,11.785449636308476,-0.0039054384114933782,0.0001,-5.6604087766259905,0.0538970947265625,0.2,0.007282733917236328
0.35751584,196608,3,138,1416,0.0058012763,0.9902448654174805,20,0.3494836091995239,18.454818899207748,-0.00393716149537795,0.0001,-5.643527629226446,0.04978179931640625,0.2,0.13885140419006348
0.32019296,262144,4,182,1433,0.006008544,0.9864107966423035,30,0.5244458317756653,1.2285347134573386,-0.0056237672788483906,0.0001,-5.627792285755277,0.0545074462890625,0.2,0.7043203413486481
0.34208232,327680,5,225,1455,0.0064998707,0.9808187484741211,40,0.686168372631073,2.421030021319166,-0.005821158079925226,0.0001,-5.608675765618682,0.05930633544921875,0.2,0.7530463635921478
0.5296877,393216,6,268,1465,0.0060468493,0.9759777188301086,50,56.811336517333984,34.99052309496328,-0.0032835680243806565,0.0001,-5.589664857462049,0.05257415771484375,0.2,0.35438036918640137
0.64275,458752,7,311,1470,0.007397864,0.9721524119377136,60,4.133315563201904,5.931036502216012,-0.005358112419889949,0.0001,-5.569230553507805,0.065264892578125,0.2,0.8395864069461823
0.40999365,524288,8,357,1468,0.006917339,0.9683986902236938,70,3.9663121700286865,24.72104383567348,-0.004295716461092525,0.0001,-5.555684642493725,0.06571502685546875,0.2,0.7329554557800293
0.52917147,589824,9,402,1466,0.0068824403,0.9670640826225281,80,46.792415618896484,100.83305933363735,-0.0029887734721341986,0.0001,-5.545422338694334,0.05262298583984375,0.2,0.5458795130252838
0.7298286,655360,10,454,1443,0.0073498935,0.9621050357818604,90,11.254900932312012,96.99229466952383,-0.0037139365915209053,0.0001,-5.531552984565496,0.06692352294921874,0.2,0.5441561937332153
0.6689228,720896,11,506,1423,0.0060605947,0.9579050540924072,100,38.413978576660156,151.9165549442172,-0.0032755807320427265,0.0001,-5.51246710717678,0.0457427978515625,0.2,0.6784118413925171
0.7101774,786432,12,562,1397,0.0065691266,0.958749532699585,110,14.806303977966309,103.3398923791945,-0.003768135438895115,0.0001,-5.506649491563439,0.06024017333984375,0.2,0.7446077764034271
0.75085175,851968,13,609,1398,0.006583713,0.9575363993644714,120,15.251304626464844,79.40938501805067,-0.003477118647424504,0.0001,-5.504600332677365,0.0530120849609375,0.2,0.7882098704576492
0.85584956,917504,14,665,1378,0.0072543304,0.9553377032279968,130,6.080160617828369,55.18708782680333,-0.0046626454862234825,0.0001,-5.495110324025154,0.0763763427734375,0.2,0.7932771593332291
0.651522,983040,15,718,1367,0.0076036397,0.952162504196167,140,16.82962989807129,67.44462833032011,-0.004327424517032341,0.0001,-5.487316394969821,0.0670440673828125,0.2,0.8683032095432281
0.62459075,1048576,16,766,1367,0.0075732865,0.9451048374176025,150,24.882360458374023,101.18192388713359,-0.004675674280679232,0.0001,-5.461191668733955,0.069512939453125,0.2,0.8268325477838516
