step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
0,0,[ 1.48839802 -2.1783658   0.03302382],[-0.36507672  0.46423919  1.79181635],[ 0.44305488  0.30961902 -0.20993343],[-7.82030811  7.13127982  4.95158775],[0.14738103 0.17055692 0.14843794 0.15979195],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.22289725 -0.02687967  0.09919499],[-0.37632513  0.47233031  1.79079212],[-0.20712503  0.48479788  0.13710021],[-9.42611755  0.09041748 -8.81216032],12.904031811112754,0.8539927741464947
0,0,[ 1.38035148 -2.35569873 -0.00943513],[-0.35002061  0.44622788  1.79938246],[ 0.47449877  0.33258651 -0.27833453],[-7.82256151  7.1330216   4.94721003],[0.12072762 0.14902727 0.08365419 0.10771288],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.28335648  0.2428895   0.03285071],[-0.35976359  0.45284478  1.79772466],[-0.27324594  0.48395777  0.2484788 ],[-9.59746081 -0.01368902 -8.62816957],12.905686791933919,0.843931258768159
0,0,[ 1.30162506 -2.55538733 -0.09987796],[-0.3360557   0.42634166  1.80646774],[ 0.50232823  0.35446423 -0.35399522],[-7.82484729  7.1347871   4.94221325],[0.09881145 0.15379111 0.06216719 0.0997258 ],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.58047618  0.51645853 -0.11306019],[-0.34123285  0.42883174  1.80552105],[-0.32986649  0.48490865  0.35251018],[-9.77945513 -0.11618273 -8.42272341],12.907110857086217,0.8342736863125378
0,0,[ 1.26350028 -2.755297   -0.18922368],[-0.32282714  0.40456601  1.8129814 ],[ 0.52603623  0.37531615 -0.43315061],[-7.82715876  7.13657107  4.9365869 ],[0.07890236 0.15069002 0.05452067 0.10458231],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.48970071  0.45754113 -0.09788359],[-0.32365831  0.40297337  1.81290812],[-0.34471454  0.50988143  0.37742482],[-9.9704848  -0.22095796 -8.19573124],12.908501083140766,0.83248345397042
1,0,[ 1.23841101 -2.97248606 -0.26161793],[-0.31013063  0.3808232   1.81907929],[ 0.54509554  0.39509863 -0.51519538],[-7.82949331  7.13837124  4.93032801],[0.06657285 0.15745673 0.05037445 0.11428356],[ 3.60861492 -1.97766411 -0.34041241 -1.1903975 ],[False False False],[False False False],[False False False],[False False False],[-0.22669315  0.15284175 -0.03760086],[-0.3082481   0.37696021  1.81948402],[-0.36451093  0.52520548  0.41732935],[-10.1702317   -0.32795125  -7.94504355],12.909875366871502,0.8294321668003136
1,0,[ 1.2284969  -3.19278615 -0.32947129],[-0.29782238  0.35506919  1.824808  ],[ 0.55896677  0.41376546 -0.59914042],[-7.83185147  7.14018756  4.92344038],[0.05738948 0.16886678 0.05162614 0.13262336],[ 3.60861492 -1.97766411 -0.34041241 -1.1903975 ],[False False False],[False False False],[False False False],[False False False],[ 0.23393983 -0.16085282  0.17999063],[-0.29714778  0.35212809  1.8242203 ],[-0.41930895  0.50711534  0.55237061],[-10.37789443  -0.43787388  -7.66829335],12.911047563618682,0.8171340270400156
1,0,[ 1.21124911 -3.41898981 -0.3843242 ],[-0.28586752  0.32732238  1.83021571],[ 0.56714761  0.43128072 -0.68436732],[-7.83423592  7.14202127  4.91593329],[0.04990361 0.1828502  0.05510177 0.15948274],[ 3.60861492 -1.97766411 -0.34041241 -1.1903975 ],[False False False],[False False False],[False False False],[False False False],[ 0.3402847  -0.06269815  0.25491035],[-0.28827583  0.32530812  1.8275171 ],[-0.46497747  0.48660899  0.6864043 ],[-10.59177887  -0.55012181  -7.36409291],12.911943233823292,0.8050324443234648
1,0,[ 1.1781112  -3.62454977 -0.41985227],[-0.27437033  0.2977457   1.83539337],[ 0.56929463  0.4476678  -0.76977825],[-7.83665093  7.14387441  4.9078211 ],[0.04990913 0.19596617 0.06290262 0.18621925],[ 3.60861492 -1.97766411 -0.34041241 -1.1903975 ],[False False False],[False False False],[False False False],[False False False],[0.2556359  0.07189089 0.16190174],[-0.2790711   0.29528296  1.83115796],[-0.47114659  0.49025272  0.72400633],[-10.8087442   -0.66178842  -7.03373865],12.91279963301067,0.8029119812771024
2,0,[ 1.02425241 -3.76477358 -0.43471957],[-0.26390025  0.26673261  1.8404053 ],[ 0.56541707  0.46337897 -0.85199317],[-7.8391049   7.145751    4.89913114],[0.15249574 0.22822713 0.05740288 0.26861411],[ 3.86475968 -1.96951115 -0.35521621 -1.08103073],[False False False],[False False False],[False False False],[False False False],[ 0.13642313  0.05216744 -0.02198744],[-0.27001428  0.26373686  1.8357969 ],[-0.47592667  0.48759395  0.7633631 ],[-11.02446207  -0.76692514  -6.681016  ],12.913671546881002,0.8006771129938363
2,0,[ 0.76264064 -3.79801719 -0.4751166 ],[-0.25619207  0.23528106  1.84498024],[ 0.55633156  0.48019079 -0.9277462 ],[-7.84161686  7.14766034  4.88992355],[0.0873567  0.25531161 0.06176746 0.20610206],[ 3.86475968 -1.96951115 -0.35521621 -1.08103073],[False False False],[False False False],[False False False],[False False False],[ 0.0230331  0.1378337 -0.3159981],[-0.26282728  0.23152896  1.84247258],[-0.49935727  0.45913636  0.87880549],[-11.23085273  -0.85570216  -6.31811455],12.91444348879867,0.790828465461042
