time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rew_vec_envs,train/approx_kl,train/clip_range,train/value_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/std,train/n_updates,train/policy_gradient_loss,train/clip_fraction
1,895,24231936,36,-294.6457239985466,,,,,,,,,,,
2,952,24264704,68,-262.7796335220337,0.14457554,0.2,807.1544559001923,0.894317515194416,-1.7951454082503915,0.001,491.77874755859375,0.3811894655227661,14160,0.007659039234567899,0.3863525390625
3,969,24297472,101,-325.8524417877197,0.08953449,0.2,818.0794856548309,0.8689274787902832,-1.8230697367340327,0.001,248.09475708007812,0.38416314125061035,14170,0.007141708062408725,0.4011016845703125
4,983,24330240,133,-258.80930852890015,0.12293048,0.2,714.8478752613067,0.9027922675013542,-1.8399480637162924,0.001,357.1807861328125,0.38448989391326904,14180,0.004588412608791259,0.400927734375
5,987,24363008,165,-234.76176911592484,0.10125896,0.2,796.7597994327546,0.8871378526091576,-1.8590747928246856,0.001,225.8509521484375,0.3871813714504242,14190,0.006878668705394375,0.400897216796875
6,984,24395776,199,-274.347265958786,0.15722843,0.2,760.7689086437225,0.8965107202529907,-1.8900033274665475,0.001,313.1209411621094,0.3897113800048828,14200,0.006275590670338715,0.402783203125
7,986,24428544,232,-347.30399918556213,0.08543706,0.2,850.108040857315,0.8862448483705521,-1.90507046636194,0.001,452.607666015625,0.3909313976764679,14210,0.00012201195895613636,0.38023681640625
8,991,24461312,264,-341.83791118860245,0.10147738,0.2,818.9197947978973,0.8846592605113983,-1.9107990985736252,0.001,278.29010009765625,0.39151206612586975,14220,0.005674133091088151,0.3841094970703125
9,997,24494080,295,-311.1155614256859,0.10509876,0.2,728.5152571678161,0.897407054901123,-1.9106665652245283,0.001,281.2027893066406,0.39185380935668945,14230,0.004684395156436949,0.4035308837890625
10,998,24526848,328,-355.3819360733032,0.10251603,0.2,684.1223291635513,0.9005512222647667,-1.9245290216058493,0.001,305.3853759765625,0.39360150694847107,14240,0.006599692888994468,0.4047576904296875
11,1000,24559616,360,-334.12474250793457,0.0987574,0.2,716.6187975883483,0.8963864967226982,-1.9283089147880674,0.001,529.19921875,0.39306575059890747,14250,0.003362171161643346,0.402783203125
12,1002,24592384,392,-237.5778648853302,0.100599065,0.2,725.0322533607483,0.8911717981100082,-1.9511600658297539,0.001,262.1500244140625,0.3960934281349182,14260,0.004065911689031055,0.42108154296875
13,1001,24625152,425,-319.6585183143616,0.0945575,0.2,669.6719328641891,0.9040219932794571,-1.9725129852071404,0.001,210.16171264648438,0.39896538853645325,14270,0.0027457417785626604,0.40279541015625
14,1001,24657920,457,-244.36996860802174,0.0831155,0.2,779.9589737892151,0.8948754742741585,-1.976679104939103,0.001,599.9318237304688,0.39818283915519714,14280,-0.0023020913344225847,0.37166748046875
15,1003,24690688,489,-232.15075540542603,0.119541556,0.2,766.8070338726044,0.8873013481497765,-1.972312507033348,0.001,369.85845947265625,0.3977646827697754,14290,0.0006621844684559619,0.38680419921875
16,1006,24723456,521,-198.0567966401577,0.083918035,0.2,653.9038211345672,0.9036303833127022,-1.9882595282047988,0.001,305.05438232421875,0.399567186832428,14300,0.004833474398765247,0.40667724609375
17,1007,24756224,553,-259.52200949192047,0.082746275,0.2,672.8395107030868,0.9022243246436119,-1.990015908330679,0.001,270.9253234863281,0.3991404175758362,14310,-0.00119011311144277,0.37362060546875
18,1008,24788992,585,-234.4871464818716,0.111977935,0.2,718.7054165363312,0.9029195457696915,-1.9921210145577788,0.001,415.0539245605469,0.4000132083892822,14320,-0.0005674654141330393,0.3868743896484375
19,1007,24821760,617,-287.01643562316895,0.06924169,0.2,672.4891346216202,0.9046520292758942,-2.0016582226380706,0.001,252.1233673095703,0.4009050130844116,14330,0.0008450298810203094,0.3851043701171875
20,1007,24854528,650,-223.56777679920197,0.094002455,0.2,713.8080619812011,0.8935540989041328,-2.0097015012055635,0.001,263.00067138671875,0.4030996263027191,14340,0.002802536129092914,0.4062103271484375
21,1001,24887296,686,-227.05157470703125,34.109135,0.2,768.3804997444153,0.8900396674871445,-2.014481442794204,0.001,221.8353729248047,0.4066733717918396,14350,0.04745924117596587,0.4595062255859375
22,999,24920064,721,-359.08536863327026,0.14972687,0.2,1003.9481606960296,0.8333100825548172,-2.064185878261924,0.001,401.49298095703125,0.4077705144882202,14360,-0.0019017727190657752,0.3781829833984375
23,999,24952832,753,-342.11275351047516,0.1367428,0.2,920.0755632400512,0.8714494854211807,-2.058883920311928,0.001,633.954345703125,0.4062361717224121,14370,0.00354149924532976,0.3825225830078125
24,998,24985600,787,-293.87928879261017,0.15193367,0.2,867.2947091579438,0.9011355191469193,-2.06768859885633,0.001,281.8285217285156,0.40808767080307007,14380,0.005001687778712949,0.3853546142578125
25,998,25018368,820,-187.68833738565445,0.14442946,0.2,944.2047607898712,0.8966317474842072,-2.0934158638119698,0.001,597.6609497070312,0.41138985753059387,14390,0.004109608778890106,0.3975128173828125
26,996,25051136,854,-344.1627266407013,0.15132332,0.2,871.7654719829559,0.896653950214386,-2.099455038458109,0.001,358.9070739746094,0.41063785552978516,14400,0.004399523606480216,0.388311767578125
27,988,25083904,895,-256.66093611717224,0.12510526,0.2,917.2495998382568,0.8946172297000885,-2.1186038080602883,0.001,222.27938842773438,0.41269972920417786,14410,0.02013465852869558,0.452435302734375
28,982,25116672,933,-339.3150963783264,0.14660875,0.2,980.2398110866546,0.8839454278349876,-2.1097544454038144,0.001,455.48577880859375,0.4118345379829407,14420,0.008198216099845012,0.4045013427734375
29,976,25149440,973,-267.6392054259777,0.10741704,0.2,964.7798912525177,0.8933694660663605,-2.128639666363597,0.001,303.2948303222656,0.4142494797706604,14430,0.004081497362858499,0.391412353515625
30,971,25182208,1011,-341.4272425174713,0.1226809,0.2,941.8982694149017,0.9075272679328918,-2.137046452984214,0.001,473.3003234863281,0.4145972430706024,14440,-0.0005984182571410201,0.363232421875
31,971,25214976,1045,-217.951753616333,0.087838024,0.2,1017.0604116916656,0.8975484594702721,-2.1574789207428693,0.001,302.0244445800781,0.41724467277526855,14450,0.003425759671517881,0.3923126220703125
32,972,25247744,1078,-404.93039774894714,0.08804856,0.2,928.5892191410064,0.8467469662427902,-2.1741559665650128,0.001,424.8547058105469,0.4199734032154083,14460,0.002769882557186065,0.398065185546875
33,971,25280512,1112,-391.16683411598206,0.07750256,0.2,805.9798397064209,0.9080000966787338,-2.165026533603668,0.001,269.7328796386719,0.41749829053878784,14470,-0.007117981362534919,0.3667694091796875
34,971,25313280,1146,-379.8463089466095,0.10929927,0.2,846.2286695480346,0.9056276455521584,-2.1714110601693393,0.001,237.2356719970703,0.41838449239730835,14480,-0.0004749299838294974,0.39521484375
35,970,25346048,1181,-232.17575073242188,0.19132712,0.2,799.1092691421509,0.8993330970406532,-2.168919413909316,0.001,254.86167907714844,0.4190026521682739,14490,0.004989271017620922,0.42513427734375
36,970,25378816,1214,-310.9505477845669,0.079179406,0.2,838.3131109237671,0.9119983613491058,-2.1953943692147733,0.001,332.0755310058594,0.4218113422393799,14500,0.0014364971462782704,0.3793121337890625
37,971,25411584,1247,-378.2188358306885,0.10255332,0.2,825.8409090518951,0.9112092182040215,-2.197531022503972,0.001,347.29437255859375,0.42076191306114197,14510,0.005368774725138792,0.40201416015625
38,969,25444352,1284,-271.5697948038578,0.07601586,0.2,832.163973236084,0.9020780101418495,-2.2013614129275085,0.001,303.4456481933594,0.4226633310317993,14520,-0.0006923976608959493,0.37711181640625
39,963,25477120,1325,-341.15637461841106,0.13882244,0.2,914.069197845459,0.897832602262497,-2.2101131033152344,0.001,375.25213623046875,0.4222560226917267,14530,-0.004446597559581278,0.3651275634765625
