rew_vec_envs,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/std,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/value_loss,train/learning_rate
29.206553041934967,1081344,1,44,732,,,,,,,,,,,
36.97237774729729,1114112,2,79,828,0.7624005079269409,-4.589865604788065,0.2,-0.03414747537390213,0.08695441,0.811796098947525,0.08281376957893372,0.46580810546875,330,0.7113818414043636,0.001
35.52184247970581,1146880,3,111,880,0.7547431588172913,-4.551622124761343,0.2,-0.03338084474598872,0.087176345,0.704751580953598,0.1154143214225769,0.462200927734375,340,0.951027147891,0.001
30.542657256126404,1179648,4,142,916,0.7476949691772461,-4.521306646615267,0.2,-0.031531368046853456,0.099445194,0.7828440070152283,0.10053998231887817,0.5062713623046875,350,0.7563354900572449,0.001
30.236895620822906,1212416,5,172,948,0.7410986423492432,-4.479481728374958,0.2,-0.023494813222350787,0.07292202,0.24908608198165894,0.20323100686073303,0.4598480224609375,360,23.893310962291434,0.001
20.426998145878315,1245184,6,202,970,0.7369126081466675,-4.448301404714584,0.2,-0.02899663049611263,0.11443302,0.6996418535709381,0.1156684011220932,0.5213287353515625,370,0.8708428290206939,0.001
29.224728040397167,1277952,7,232,985,0.7278215885162354,-4.416623032093048,0.2,-0.030420114783191822,0.09440853,0.6524771749973297,0.200089231133461,0.4984405517578125,380,1.9015842288266867,0.001
28.29948580265045,1310720,8,266,985,0.7227157950401306,-4.380289090424776,0.2,-0.02858473888845765,0.14138916,0.7611084133386612,0.11133398860692978,0.5713409423828125,390,0.6961051380261779,0.001
35.14471572637558,1343488,9,296,995,0.7214018106460571,-4.350480360537768,0.2,-0.013119067880688817,0.07840314,0.10037589073181152,0.22578561305999756,0.481610107421875,400,219.44634429840372,0.001
22.73879064619541,1376256,10,326,1002,0.7129503488540649,-4.336971689760685,0.2,-0.03029032124504738,0.120380074,0.6515316069126129,0.1173461303114891,0.522540283203125,410,0.9142401723656803,0.001
27.502781987190247,1409024,11,356,1009,0.708415150642395,-4.289577425271273,0.2,-0.0204319500229758,0.07026602,0.37297189235687256,0.3060232698917389,0.45218505859375,420,4.8926520676352085,0.001
21.967422366142273,1441792,12,387,1013,0.7040386199951172,-4.279881433397532,0.2,-0.018817777403455693,0.13073114,0.47519540786743164,24.167213439941406,0.5446441650390625,430,6.567419870570302,0.001
27.60839745402336,1474560,13,419,1014,0.7016252279281616,-4.254524025321007,0.2,-0.016850572941621067,0.12019125,0.3877097964286804,0.3100370466709137,0.55643310546875,440,5.01847714385949,0.001
31.596563667058945,1507328,14,455,1006,0.7043170928955078,-4.24785939604044,0.2,-0.008336853062064619,0.09456078,0.15506744384765625,856.9877319335938,0.467950439453125,450,201.63361696945503,0.001
29.79429942369461,1540096,15,490,1001,0.7048569321632385,-4.257479495555162,0.2,-0.018641240560100414,0.09797652,0.3924109935760498,0.5438758730888367,0.497113037109375,460,71.38780276076868,0.001
24.94299554824829,1572864,16,525,998,0.7045905590057373,-4.252700312435627,0.2,-0.017106253527890657,0.09907021,0.18178951740264893,0.873620867729187,0.478021240234375,470,25.99862388931215,0.001
29.925833821296692,1605632,17,558,997,0.6986472010612488,-4.253205000609159,0.2,-0.02870077832012612,0.10855825,0.6324191689491272,0.26714712381362915,0.519085693359375,480,1.89953632093966,0.001
32.388954639434814,1638400,18,592,995,0.6983556747436523,-4.214182998239994,0.2,-0.00987617715691158,0.0790201,0.16562670469284058,2.316199541091919,0.4697235107421875,490,153.7349274141714,0.001
24.803495563566685,1671168,19,628,990,0.693623423576355,-4.2129204839468,0.2,-0.02061767235463776,0.13066614,0.3696223497390747,0.3072051405906677,0.571826171875,500,8.156508578918874,0.001
28.303371593356133,1703936,20,663,987,0.6884515285491943,-4.180877779424191,0.2,-0.017255074893910205,0.10897599,0.44430482387542725,1.264965534210205,0.5206512451171875,510,5.650709490850568,0.001
38.84467339515686,1736704,21,698,985,0.6917701959609985,-4.169688727706671,0.2,-0.0131019375519827,0.11802066,0.3711484670639038,0.7866639494895935,0.521673583984375,520,56.358608975168316,0.001
30.886598229408264,1769472,22,733,983,0.6897662281990051,-4.1815182693302635,0.2,-0.014241812582258716,0.1126522,0.24565917253494263,1.2886873483657837,0.5353851318359375,530,14.84940821044147,0.001
34.173452734947205,1802240,23,768,981,0.6880614757537842,-4.159463072568178,0.2,-0.010790253593586385,0.17524788,0.5555077493190765,0.6273669004440308,0.6185333251953125,540,2.747608516830951,0.001
34.40267729759216,1835008,24,804,977,0.6843235492706299,-4.15812770947814,0.2,-0.010042439240351086,0.11213155,0.32726311683654785,233.4657745361328,0.5535614013671875,550,113.23881169054657,0.001
36.673064947128296,1867776,25,841,973,0.6771472692489624,-4.119409871846438,0.2,-0.022382506147914684,0.15452164,0.6861784160137177,0.371737003326416,0.59256591796875,560,2.0908688310533763,0.001
37.490711867809296,1900544,26,877,970,0.6730414628982544,-4.084452177584171,0.2,-0.016607375694729854,0.09213176,0.2859368324279785,0.743075430393219,0.5205963134765625,570,19.520815713331103,0.001
29.591510772705078,1933312,27,912,969,0.6761252880096436,-4.103680710494518,0.2,-0.008405877203767887,0.16476104,0.5679053068161011,0.5036389231681824,0.6156524658203125,580,2.5266259093768895,0.001
37.91601622104645,1966080,28,948,967,0.6755114793777466,-4.091000217199325,0.2,-0.008679027738980948,0.12876488,0.15889769792556763,34.76725387573242,0.5551483154296875,590,55.28663212656975,0.001
