time/total_timesteps,time/iterations,time/time_elapsed,rew_vec_envs,time/fps,train/loss,train/clip_range,train/policy_gradient_loss,train/std,train/learning_rate,train/entropy_loss,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance
32768,1,63,4.5741757452487946,512,,,,,,,,,,,
65536,2,119,7.17182432115078,548,0.011448394507169724,0.2,-0.012950460271531484,0.9864233732223511,0.001,-5.624380840361118,0.1747833251953125,10,0.08946250707376749,0.014586501,-0.02246260643005371
98304,3,173,11.973390340805054,565,0.01928674802184105,0.2,-0.01652503424702445,0.9744836091995239,0.001,-5.574590008705854,0.214886474609375,20,0.10896291745593771,0.017261408,0.44156259298324585
131072,4,221,12.094125986099243,591,0.03827553242444992,0.2,-0.0189019055065728,0.9634975790977478,0.001,-5.529244960099459,0.22332763671875,30,0.16161640922073275,0.019644309,0.4817109704017639
163840,5,272,12.248130947351456,601,0.06648112833499908,0.2,-0.013654601798407384,0.9543341398239136,0.001,-5.496527222543955,0.2019439697265625,40,84.07114108870738,0.015795007,0.006611466407775879
196608,6,329,12.301742523908615,597,0.1509162336587906,0.2,-0.007716612846706994,0.9456456899642944,0.001,-5.460882798582316,0.1475341796875,50,21.183047419972716,0.01241155,0.02686929702758789
229376,7,379,15.841405868530273,604,0.1270551085472107,0.2,-0.011985797948000254,0.9379664063453674,0.001,-5.428132578730583,0.1914642333984375,60,47.903661183803344,0.01661474,0.04183107614517212
262144,8,436,14.137608230113983,600,0.06347933411598206,0.2,-0.014264810727036092,0.9340835809707642,0.001,-5.406032451242209,0.2316131591796875,70,0.3606669084401801,0.022901403,-0.03240489959716797
294912,9,497,14.629501700401306,593,0.4974789023399353,0.2,-0.009306683587783481,0.9294268488883972,0.001,-5.391365408152342,0.2337982177734375,80,15.155216181837023,0.020314936,0.47860199213027954
327680,10,556,13.872925341129303,588,289.7935485839844,0.2,-0.005179985047288937,0.9286704063415527,0.001,-5.386695504188538,0.1501007080078125,90,82.59570763278752,0.016189631,0.2801397442817688
360448,11,616,15.88349986076355,584,0.11029771715402603,0.2,-0.015506843439652584,0.9178460240364075,0.001,-5.347152478247881,0.267730712890625,100,0.4889304048847407,0.030395884,0.08570772409439087
393216,12,668,12.30728542804718,588,0.08669687807559967,0.2,-0.01850240990133898,0.9143404960632324,0.001,-5.318334570527076,0.29627685546875,110,0.4142189515987411,0.028378477,0.30725914239883423
425984,13,718,13.597044467926025,593,0.0694093108177185,0.2,-0.019632337663642828,0.9080580472946167,0.001,-5.300861289352179,0.2902374267578125,120,0.4501094859559089,0.028992822,0.24295300245285034
458752,14,768,15.511862218379974,596,0.09437974542379379,0.2,-0.019907331372451154,0.9060795307159424,0.001,-5.286165212094784,0.2850799560546875,130,0.478898600069806,0.029262532,0.30124640464782715
