time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rew_vec_envs,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl
82,395,2129920,1,1863.4899406433105,,,,,,,,,,,
153,425,2162688,2,1877.616060256958,-4.38895600438118,650,0.0539825439453125,0.7258981466293335,0.5712074339389801,1853.501708984375,-0.0066726390190524395,10272.780262756347,0.001,0.2,0.007074249
222,441,2195456,3,2354.050033569336,-4.360513127595186,660,0.0492645263671875,0.7191441655158997,0.561685174703598,1526.6229248046875,-0.006474772380533978,9815.078295898438,0.001,0.2,0.008089775
291,450,2228224,4,2529.4084854125977,-4.327506701648235,670,0.0495330810546875,0.7141127586364746,0.518191933631897,1543.7813720703125,-0.0068687444072565995,10510.095794677734,0.001,0.2,0.0072605973
365,448,2260992,5,2401.4724731445312,-4.305939666926861,680,0.0569488525390625,0.7122031450271606,0.5096868276596069,2418.731689453125,-0.007278885129562695,11168.025876235963,0.001,0.2,0.0076464694
435,451,2293760,6,2062.202251434326,-4.281632897257805,690,0.055059814453125,0.706053614616394,0.4820566773414612,1741.9691162109375,-0.007070756416942459,11475.679077911376,0.001,0.2,0.007134009
505,454,2326528,7,2404.6967582702637,-4.257942413538695,700,0.046783447265625,0.7032943367958069,0.515235424041748,2083.16015625,-0.006567518905649194,12200.70185661316,0.001,0.2,0.006433255
578,452,2359296,8,1845.5231494903564,-4.244163807481527,710,0.0498626708984375,0.7012481689453125,0.5210129916667938,1745.8101806640625,-0.006512888022189145,11356.282777023316,0.001,0.2,0.007554763
661,446,2392064,9,1909.7866287231445,-4.231267775595188,720,0.046514892578125,0.6989254355430603,0.5635210573673248,2113.08935546875,-0.007116446334839566,11423.403879547119,0.001,0.2,0.0069766184
738,443,2424832,10,2027.4459991455078,-4.214032647013664,730,0.051519775390625,0.6963379383087158,0.5154629647731781,2092.546630859375,-0.007173295109532773,11845.866884613037,0.001,0.2,0.0073572285
809,445,2457600,11,1880.6048393249512,-4.20269985049963,740,0.0495513916015625,0.6943005323410034,0.48176735639572144,1996.5325927734375,-0.007003605374484323,12920.535288238525,0.001,0.2,0.0070092916
886,443,2490368,12,2079.261612892151,-4.183401750028134,750,0.046875,0.6897029876708984,0.48351019620895386,2151.6728515625,-0.006514676036749734,12289.813737106324,0.001,0.2,0.007072135
962,442,2523136,13,1571.5930271148682,-4.165270357578993,760,0.0549652099609375,0.6878142356872559,0.5329062640666962,1937.575439453125,-0.008168308266613166,12032.6868019104,0.001,0.2,0.0073168995
1035,442,2555904,14,2070.1600189208984,-4.148378122597933,770,0.044354248046875,0.6846562623977661,0.5386548638343811,1966.1729736328125,-0.006801016845565755,12238.650061798096,0.001,0.2,0.0061379643
1108,443,2588672,15,1839.8859157562256,-4.130073349922895,780,0.0592254638671875,0.6820878386497498,0.4461977481842041,1795.594482421875,-0.008056811192000168,12990.17053718567,0.001,0.2,0.007503991
1180,444,2621440,16,2090.3500595092773,-4.110936016589403,790,0.0583587646484375,0.678378701210022,0.5456226468086243,2132.96826171875,-0.006929143171510077,11284.299591445922,0.001,0.2,0.007758763
1251,445,2654208,17,2260.7297859191895,-4.091693050414324,800,0.053265380859375,0.6756937503814697,0.5067707598209381,2067.19189453125,-0.007132707461641985,12471.95210647583,0.001,0.2,0.0068688104
1323,445,2686976,18,2173.885139465332,-4.076253256946802,810,0.0446014404296875,0.6732456088066101,0.501500815153122,1945.14501953125,-0.006606458210444544,11753.450550460815,0.001,0.2,0.0068173385
1399,445,2719744,19,2088.032947540283,-4.065802247077227,820,0.053704833984375,0.6721757054328918,0.5202212929725647,2204.311767578125,-0.00697887678470579,12152.54174041748,0.001,0.2,0.0072584087
1474,444,2752512,20,1780.1029815673828,-4.056687986105681,830,0.0429168701171875,0.6699787378311157,0.5384270250797272,2167.737548828125,-0.00622993637844047,12623.48013305664,0.001,0.2,0.006688358
1545,445,2785280,21,2155.2762565612793,-4.041086240112781,840,0.049298095703125,0.6667488813400269,0.5023028254508972,2268.392578125,-0.006479897152894409,13219.168492507935,0.001,0.2,0.0073206536
1617,445,2818048,22,2256.6966667175293,-4.023088158667088,850,0.0530303955078125,0.6637259125709534,0.5312359035015106,2112.31689453125,-0.007074947878209059,12055.510201644898,0.001,0.2,0.0073547205
1698,443,2850816,23,2264.745361328125,-3.9954284340143205,860,0.05958251953125,0.6582072377204895,0.5196123719215393,2077.606689453125,-0.007979103578691138,12240.21049079895,0.001,0.2,0.007736801
1781,441,2883584,24,1896.928726196289,-3.9704405192285774,870,0.0482696533203125,0.6560484170913696,0.48383885622024536,1945.8536376953125,-0.007007740285189357,13535.964097595215,0.001,0.2,0.006957831
1858,440,2916352,25,2224.3357162475586,-3.9625473473221065,880,0.0626220703125,0.6553224921226501,0.5395307838916779,2227.632568359375,-0.00755765806461568,12345.347163009643,0.001,0.2,0.007546155
1935,440,2949120,26,1913.4076232910156,-3.950704477727413,890,0.057122802734375,0.6523103713989258,0.44514816999435425,2680.399658203125,-0.007322836206367356,12899.569504165649,0.001,0.2,0.00756972
2015,438,2981888,27,1958.7193603515625,-3.9400250263512135,900,0.05894775390625,0.6516721248626709,0.4243317246437073,2061.73779296875,-0.007563940251930035,12293.120646667481,0.001,0.2,0.007761577
2104,435,3014656,28,2696.457763671875,-3.9271169561892747,910,0.0557708740234375,0.6479944586753845,0.48527151346206665,2286.023681640625,-0.00765639344608644,14092.384206008912,0.001,0.2,0.0069682966
