rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,train/std,train/loss
2.1520324,,,,,,,,,,,,,,,
,816,24,963,10944512,,,,,,,,,,,
0.9779511,,,,,0.0003631591796875,-0.0007246847017086111,-5.14294697791338,0.5302356779575348,0.00094930764,3340,0.0001,0.2,12264.302270507813,0.8754758238792419,2281.9794921875
0.6143275,,,,,,,,,,,,,,,
,817,25,1002,10977280,,,,,,,,,,,
0.8220805,,,,,3.0517578125e-06,-0.0004048398150189314,-5.142238815128803,0.569093644618988,0.00055733963,3350,0.0001,0.2,18038.632493591307,0.8752949833869934,5210.03173828125
0.59035254,,,,,,,,,,,,,,,
,817,26,1042,11010048,,,,,,,,,,,
1.62375,,,,,3.35693359375e-05,-0.00048637474101269617,-5.141490830481052,0.451118528842926,0.00075808796,3360,0.0001,0.2,19292.68251953125,0.8751498460769653,3827.23876953125
0.9910598,,,,,,,,,,,,,,,
,817,27,1081,11042816,,,,,,,,,,,
1.1932824,,,,,3.0517578125e-06,-0.0005250874324701727,-5.141108667850494,0.5720239877700806,0.0005961115,3370,0.0001,0.2,15121.994119262696,0.8751885890960693,1887.4754638671875
0.5493568,,,,,,,,,,,,,,,
,818,28,1121,11075584,,,,,,,,,,,
0.49773893,,,,,0.0001190185546875,-0.0004687562839535531,-5.140960745513439,0.5721578598022461,0.0009886438,3380,0.0001,0.2,16209.747273254394,0.875032901763916,1521.318359375
252.0025,,,,,,,,,,,,,,,
,818,29,1161,11108352,,,,,,,,,,,
0.7084809,,,,,0.0,-0.0003193272481439635,-5.139870317280293,0.5271990895271301,0.0005026129,3390,0.0001,0.2,14953.297610473634,0.8746833205223083,2346.220703125
1.7988343,,,,,,,,,,,,,,,
,818,30,1200,11141120,,,,,,,,,,,
1.1733828,,,,,3.0517578125e-06,-0.000453933466997114,-5.138805076479912,0.546036422252655,0.0005270009,3400,0.0001,0.2,16423.945649719237,0.8746262788772583,2560.182861328125
0.7171938,,,,,,,,,,,,,,,
,818,31,1240,11173888,,,,,,,,,,,
