time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rew_vec_envs,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/std
1,874,131072,149,-8.12351972173201,,,,,,,,,,,
2,1056,262144,248,-1.832559785223566,0.001,0.5857423543930054,10,-0.0012362808338366449,0.015804588794708252,3.47139945900999,-5.711326112411916,0.2,0.08969802856445312,0.007886275,1.00783371925354
3,1155,393216,340,-4.703119316138327,0.001,0.6573492288589478,20,-0.0017001290294047066,0.29775530099868774,2.9625681339297443,-5.744341064803303,0.2,0.11596908569335937,0.010794383,1.0182125568389893
4,1202,524288,435,-4.165227670688182,0.001,0.7679848670959473,30,-0.0010867124035939923,0.38548600673675537,4.2325310604413975,-5.773188562691212,0.2,0.14983139038085938,0.0128885005,1.0228400230407715
5,1228,655360,533,-3.6723900767974555,0.001,0.6359884738922119,40,-0.0018411372981063322,0.516455352306366,2.742429794347845,-5.796918491274118,0.2,0.16978912353515624,0.01261064,1.0282607078552246
6,1246,786432,630,-1.256824927404523,0.001,0.9828372001647949,50,-0.002422058953470696,0.47526389360427856,4.2950409321114424,-5.806656735017896,0.2,0.1605743408203125,0.013408309,1.0342977046966553
7,1257,917504,729,-2.051013338379562,0.001,0.6362909078598022,60,-0.001783967603569181,0.6025066375732422,2.590543045359664,-5.818004596047103,0.2,0.19683914184570311,0.014500903,1.0328166484832764
8,1264,1048576,829,-0.5921077645034529,0.001,1.0425044298171997,70,-0.0016585539370680634,0.48714035749435425,5.141191315767355,-5.797786801494658,0.2,0.18261184692382812,0.015232077,1.0353083610534668
9,1266,1179648,931,-1.5166525746462867,0.001,1.1968952417373657,80,-0.0003850371330827329,0.36996954679489136,12.478912821435369,-5.805710621923208,0.2,0.2178558349609375,0.01764952,1.0345032215118408
10,1270,1310720,1032,-3.6116615772480145,0.001,0.43624505400657654,90,-0.0008104435480618122,0.5861726105213165,3.989165809797123,-5.802179349400103,0.2,0.2151763916015625,0.01809118,1.0237642526626587
11,1270,1441792,1135,-0.9097627138253301,0.001,1.4398080110549927,100,0.00019085491385339992,0.6675229072570801,3.2962577634025365,-5.766501530818641,0.2,0.228033447265625,0.018857762,1.0270788669586182
12,1270,1572864,1238,-0.6921046107599977,0.001,2.015702486038208,110,-0.002757518424823502,0.42363202571868896,13.456263132300228,-5.776382749155164,0.2,0.1669708251953125,0.01880686,1.0299577713012695
13,1268,1703936,1343,-2.103810434258776,0.001,0.7476791739463806,120,-0.0007842490813345648,0.7227835953235626,3.190201719361357,-5.784289073199034,0.2,0.241876220703125,0.018733243,1.0335094928741455
14,1266,1835008,1448,-0.28796703391708434,0.001,2.611363649368286,130,-0.00397312415466331,0.47197842597961426,11.675698612164705,-5.793381730653346,0.2,0.146466064453125,0.016224904,1.0254755020141602
15,1266,1966080,1552,-0.24775101148406975,0.001,1.1733815670013428,140,-0.0029633207323968235,0.6425674855709076,13.280406179372221,-5.762451009824872,0.2,0.22971343994140625,0.020991877,1.027449131011963
16,1264,2097152,1659,0.36755008235923015,0.001,1.2960232496261597,150,-0.0020034540906181063,0.47945040464401245,12.72575181638822,-5.772373148798943,0.2,0.25460968017578123,0.024433948,1.0224742889404297
