time/total_timesteps,time/fps,rew_vec_envs,time/iterations,time/time_elapsed,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss
3899392,531,-4940.782562255859,119,7330,0.2,0.9536882527172565,0.4188084602355957,-1.884584587626159,0.0150213055,-0.006571846075166832,0.16929931640625,1438.2659506320954,0.001,1180,314.57147216796875
3932160,528,-5056.926025390625,120,7436,0.2,0.9345723316073418,0.4156458377838135,-1.855331782437861,0.016665824,-0.004885973855562042,0.176690673828125,1526.6979526042937,0.001,1190,246.02565002441406
3964928,525,-4939.616790771484,121,7541,0.2,0.9474436901509762,0.41305819153785706,-1.8233890330418945,0.02262846,-0.005356144474353642,0.191070556640625,1356.4909800052642,0.001,1200,275.4182434082031
3997696,522,-4717.7022705078125,122,7647,0.2,0.9487524032592773,0.41061174869537354,-1.7932429676875472,0.013650921,-0.00515274462668458,0.1708648681640625,1589.1723046302795,0.001,1210,267.9900207519531
4030464,519,-4925.755554199219,123,7752,0.2,0.9539913199841976,0.4084094166755676,-1.7704931437969207,0.019755714,-0.004651983026997186,0.1886138916015625,1246.048825263977,0.001,1220,336.48907470703125
4063232,517,-4766.105285644531,124,7856,0.2,0.9583039954304695,0.40509897470474243,-1.7374751532450319,0.018020397,-0.004486678521789145,0.1905609130859375,1236.1036483287812,0.001,1230,328.931396484375
4096000,514,-4813.61735534668,125,7963,0.2,0.953599214553833,0.40377363562583923,-1.7223010696470737,0.019394811,-0.006314550674142083,0.1782562255859375,1406.341227531433,0.001,1240,309.0632629394531
4128768,511,-5088.445770263672,126,8069,0.2,0.9517438560724258,0.4002537727355957,-1.693750211969018,0.014037967,-0.005196319512106129,0.1818328857421875,1440.3007102966308,0.001,1250,356.9295654296875
4161536,508,-4831.29133605957,127,8180,0.2,0.953227810561657,0.4002314805984497,-1.681217478774488,0.018771982,-0.00528166675758257,0.1944305419921875,1260.7303740024568,0.001,1260,252.35203552246094
4194304,505,-4892.325424194336,128,8292,0.2,0.9582520984113216,0.39957255125045776,-1.6767284469678998,0.01994156,-0.00586184223429882,0.2048614501953125,1329.3202037334443,0.001,1270,267.08172607421875
4227072,502,-5156.263763427734,129,8415,0.2,0.9264705181121826,0.39763569831848145,-1.6608571799471974,0.015591508,-0.005279980008344865,0.17935791015625,1477.2976813316345,0.001,1280,234.55284118652344
4259840,499,-4971.0880126953125,130,8532,0.2,0.951879370957613,0.3950674533843994,-1.629727986268699,0.017715763,-0.005650123109444394,0.186553955078125,1423.9075256347655,0.001,1290,298.30255126953125
4292608,496,-4868.4923095703125,131,8647,0.2,0.9403650388121605,0.39146164059638977,-1.600926954485476,0.021803737,-0.004805548321746756,0.208428955078125,1445.445924282074,0.001,1300,232.451904296875
4325376,493,-4941.875701904297,132,8764,0.2,0.9367818981409073,0.3895910382270813,-1.5743205958977342,0.020964408,-0.0034254837653861616,0.2023284912109375,1500.6230635166169,0.001,1310,253.90707397460938
4358144,490,-4904.590927124023,133,8884,0.2,0.9568384401500225,0.38824307918548584,-1.5562711078673601,0.014985839,-0.005468423003185308,0.1927398681640625,1392.1636254310608,0.001,1320,252.0055389404297
4390912,488,-4958.847473144531,134,8997,0.2,0.9622556529939175,0.3862673044204712,-1.5406182656064629,0.01783894,-0.0060361445113812804,0.20755615234375,1263.6316085338592,0.001,1330,247.76707458496094
4423680,485,-4910.677337646484,135,9112,0.2,0.9676680490374565,0.3841297924518585,-1.5187094876542688,0.02768211,-0.0045424506868585015,0.21312255859375,1612.9689715385437,0.001,1340,277.94818115234375
4456448,482,-4721.186111450195,136,9229,0.2,0.9540635906159878,0.38171035051345825,-1.4942098174244165,0.018541928,-0.0036893863361910917,0.219708251953125,1528.1081645011902,0.001,1350,451.5963439941406
4489216,479,-5194.684143066406,137,9354,0.2,0.9608641229569912,0.3809642493724823,-1.4754025310277938,0.032923657,-0.004148567004449433,0.219842529296875,1276.8128356933594,0.001,1360,318.525146484375
