rew_vec_envs,time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/policy_gradient_loss
0.5317461,55,1,65536,1178,,,,,,,,,,,
0.51496613,93,2,131072,1395,0.2,0.04175722599029541,10,0.21963661909103394,0.8202973246574402,0.10835418701171876,-5.6756629280745985,0.001,0.008439843,1.0000593662261963,0.0010799038300319808
0.5144638,131,3,196608,1491,0.2,0.53312948346138,20,0.5668490529060364,1.4525070349685847,0.0965972900390625,-5.665528021007776,0.001,0.008388688,0.9979611039161682,-0.0006988890083448496
0.5005215,170,4,262144,1540,0.2,0.0016415119171142578,30,255.14373779296875,46060.91477530841,0.0404815673828125,-5.657807840406894,0.001,0.004805971,0.993311882019043,-0.0006306918348855106
0.55541575,208,5,327680,1574,0.2,0.7816385328769684,40,0.8845153450965881,3.024267892725766,0.06432342529296875,-5.638757468014956,0.001,0.008105015,0.989090621471405,-0.0038319407838571353
0.51778245,245,6,393216,1600,0.2,0.8621950596570969,50,0.3534773886203766,1.6797313755378127,0.11018829345703125,-5.628978234529495,0.001,0.0103391,0.9902260899543762,-0.0030055057348363336
0.47120464,283,7,458752,1616,0.2,0.8244470655918121,60,0.9858426451683044,2.915153037011623,0.1076934814453125,-5.63045731857419,0.001,0.010398075,0.9876031279563904,-0.002783598988025915
0.5172037,321,8,524288,1629,0.2,0.8284654468297958,70,0.6449000239372253,1.7640659508295358,0.15438079833984375,-5.623747716844082,0.001,0.013893256,0.986923336982727,-0.00235915573539387
0.54653746,360,9,589824,1636,0.2,0.8465656340122223,80,0.8165853023529053,2.640729998424649,0.161444091796875,-5.619372823089361,0.001,0.013310161,0.9870979189872742,-0.004137628291027795
0.5530038,398,10,655360,1643,0.2,0.6684266328811646,90,23.855318069458008,3.9044923262670634,0.14480438232421874,-5.6181205928325655,0.001,0.013245679,0.9860675930976868,-0.001451909984825761
0.45861396,437,11,720896,1649,0.2,0.8587406426668167,100,0.3317858576774597,1.6173008850775659,0.23050537109375,-5.618872118741274,0.001,0.017448865,0.9862356185913086,-0.001837125675592688
0.5803212,475,12,786432,1654,0.2,0.01479262113571167,110,17495.703125,43540.02580751646,0.13474578857421876,-5.611603128165006,0.001,0.010304813,0.9834311008453369,-0.0011454859088189551
0.49884382,513,13,851968,1659,0.2,0.7989971339702606,120,1.2762610912322998,3.4155464310199024,0.15311737060546876,-5.589541649073363,0.001,0.014637049,0.9786826968193054,-0.005472170619032113
0.51231027,551,14,917504,1663,0.2,0.005580008029937744,130,6.946652412414551,175150.09018484168,0.11376495361328125,-5.579817013442517,0.001,0.010532927,0.9751046895980835,-0.0009921703782310941
0.5499295,590,15,983040,1665,0.2,0.7992181181907654,140,0.6402493715286255,2.817989483103156,0.19144744873046876,-5.567880149185657,0.001,0.017975772,0.9738750457763672,-0.0062503637138433986
0.5199226,629,16,1048576,1665,0.2,0.083740234375,150,54910.82421875,95688.47205527089,0.14945526123046876,-5.569325245171785,0.001,0.010426505,0.9745954275131226,-0.0009627523875678889
