time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rew_vec_envs,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/value_loss,train/explained_variance
28,1,16384,581,24.656978964805603,,,,,,,,,,,
56,2,32768,581,28.411918878555298,0.2,0.0001,10,-5.6683911748230456,0.9970230460166931,0.0766357421875,-0.005224299384281039,0.0075425813,0.14239656925201416,0.43818116270704194,0.024852275848388672
83,3,49152,587,29.408803701400757,0.2,0.0001,20,-5.65721462443471,0.9936579465866089,0.05362548828125,-0.0022169725416006257,0.0057546906,0.4420453608036041,128.69039687244222,0.018402814865112305
113,4,65536,576,25.759164810180664,0.2,0.0001,30,-5.64277615994215,0.9899587631225586,0.08837890625,-0.005077297621755861,0.0070981197,0.6414046287536621,1.3149473431054504,0.5798520147800446
142,5,81920,573,30.899027824401855,0.2,0.0001,40,-5.622918319702149,0.9847683310508728,0.073577880859375,-0.003019009212584933,0.00681881,0.6743789315223694,1.4096086371690035,0.5451957583427429
171,6,98304,572,32.02577090263367,0.2,0.0001,50,-5.604106829315424,0.980732262134552,0.081787109375,-0.004527591217447479,0.0072050868,0.8053112626075745,1.765692817280069,0.6672671735286713
200,7,114688,570,37.57287383079529,0.2,0.0001,60,-5.591972700878978,0.9784388542175293,0.072406005859375,-0.0031265540545064143,0.0065218857,0.8132249116897583,2.0272129840683193,0.7130714654922485
230,8,131072,569,28.067317843437195,0.2,0.0001,70,-5.571150067821145,0.9707022309303284,0.073760986328125,-0.0032123492086611805,0.0068861647,0.9775516986846924,2.6421333345584572,0.619659811258316
261,9,147456,562,23.344935297966003,0.2,0.0001,80,-5.546605292707682,0.9656241536140442,0.069866943359375,-0.002232714617457532,0.007896531,8.982311248779297,18.8149945451878,0.30184662342071533
294,10,163840,557,96.53157901763916,0.2,0.0001,90,-5.527881924062967,0.962428867816925,0.08096923828125,-0.002189014193891126,0.0067965644,1.6305474042892456,2.533259636443108,0.7090631127357483
325,11,180224,553,38.77981734275818,0.2,0.0001,100,-5.524880668520927,0.9639997482299805,0.079241943359375,-0.002683603860259609,0.007170381,1.6777174472808838,92.88629024326801,0.12631666660308838
355,12,196608,552,46.34026288986206,0.2,0.0001,110,-5.528681439906359,0.9634382128715515,0.101947021484375,-0.003933260353551305,0.007840615,1.3883644342422485,3.332594351656735,0.6999783515930176
386,13,212992,551,93.38716864585876,0.2,0.0001,120,-5.51371439807117,0.9590882062911987,0.09691162109375,-0.00330103786568543,0.008127397,1.4301408529281616,3.55116728618741,0.6917271316051483
415,14,229376,552,69.6438148021698,0.2,0.0001,130,-5.50963105224073,0.9598374366760254,0.0634521484375,-0.0018210342554993986,0.0068938145,396.3600769042969,159.09166460223497,0.11578381061553955
444,15,245760,552,39.66722750663757,0.2,0.0001,140,-5.489241333305836,0.951130747795105,0.08494873046875,-0.0015551576961115644,0.007955878,2.3955609798431396,16.935237001534553,0.5418550670146942
473,16,262144,553,45.420140743255615,0.2,0.0001,150,-5.471242125704885,0.9508060216903687,0.095758056640625,-0.0020194559583615046,0.007820357,1.14411461353302,3.5562254510819913,0.733769953250885
502,17,278528,554,53.875361919403076,0.2,0.0001,160,-5.468687908351422,0.9496034383773804,0.083660888671875,-0.0022330607502226486,0.008470567,60.39674758911133,312.0958494858816,0.13620245456695557
