rewards2,rewards1,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/std,train/policy_gradient_loss,train/loss,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance
0.48205182,1.0424567,,,,,,,,,,,,,,,
0.47222215,1.0273479,,,,,,,,,,,,,,,
0.47431022,1.0230734,,,,,,,,,,,,,,,
0.46858013,1.0322891,,,,,,,,,,,,,,,
0.4584494,0.97347045,,,,,,,,,,,,,,,
0.46141,0.9914979,,,,,,,,,,,,,,,
0.46304354,0.9847348,,,,,,,,,,,,,,,
0.46440306,0.9714826,,,,,,,,,,,,,,,
1.8262814,0.48303452,,,,,,,,,,,,,,,
1.8144046,0.45742288,,,,,,,,,,,,,,,
1.727065,0.4413035,,,,,,,,,,,,,,,
1.6703068,0.405207,,,,,,,,,,,,,,,
1.6511456,0.428988,,,,,,,,,,,,,,,
1.5744997,0.47142068,,,,,,,,,,,,,,,
1.5698308,0.46168205,,,,,,,,,,,,,,,
1.5604594,0.4559684,,,,,,,,,,,,,,,
1.605237,0.45229638,,,,,,,,,,,,,,,
1.601912,0.44443977,,,,,,,,,,,,,,,
1.6327052,0.45040074,,,,,,,,,,,,,,,
1.712495,0.44846627,,,,,,,,,,,,,,,
1.7095397,0.4507425,,,,,,,,,,,,,,,
1.7765517,0.4561817,,,,,,,,,,,,,,,
1.9515367,0.46230906,,,,,,,,,,,,,,,
2.0049288,0.46295938,,,,,,,,,,,,,,,
2.1270952,0.459188,,,,,,,,,,,,,,,
2.1267135,0.45793346,,,,,,,,,,,,,,,
2.1022425,0.4555796,,,,,,,,,,,,,,,
2.1523995,0.44231492,,,,,,,,,,,,,,,
2.2158823,0.41422674,,,,,,,,,,,,,,,
2.1933882,0.3988865,,,,,,,,,,,,,,,
2.300539,0.411552,,,,,,,,,,,,,,,
2.3432517,0.41329554,,,,,,,,,,,,,,,
2.4026244,0.43724257,,,,,,,,,,,,,,,
2.4071245,0.4380041,,,,,,,,,,,,,,,
2.3857238,0.43783543,,,,,,,,,,,,,,,
2.3739305,0.4375528,,,,,,,,,,,,,,,
2.437256,0.4448917,,,,,,,,,,,,,,,
2.3394237,0.44006956,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,,,,,,
0.4564466,0.68005544,,,,,,,,,,,,,,,
0.45297995,0.643308,,,,,,,,,,,,,,,
0.44747937,0.6337972,,,,,,,,,,,,,,,
0.42756975,0.60290045,,,,,,,,,,,,,,,
0.426032,0.5998711,,,,,,,,,,,,,,,
0.4381397,0.60644585,,,,,,,,,,,,,,,
0.4428063,0.61996317,,,,,,,,,,,,,,,
0.44046322,0.61275727,,,,,,,,,,,,,,,
0.44417733,0.5952061,,,,,,,,,,,,,,,
0.44071773,0.60909617,,,,,,,,,,,,,,,
0.4649251,0.6107501,,,,,,,,,,,,,,,
0.480043,0.5984668,,,,,,,,,,,,,,,
0.4866593,0.60657346,,,,,,,,,,,,,,,
0.47837323,0.5882545,,,,,,,,,,,,,,,
0.49804574,0.598215,,,,,,,,,,,,,,,
0.49755907,0.600375,,,,,,,,,,,,,,,
0.5157406,0.5802983,,,,,,,,,,,,,,,
0.49395913,0.61241144,,,,,,,,,,,,,,,
0.4967499,0.60270584,,,,,,,,,,,,,,,
0.48079473,0.61459404,,,,,,,,,,,,,,,
0.48390704,0.6088763,,,,,,,,,,,,,,,
0.48054653,0.6237224,,,,,,,,,,,,,,,
0.46583578,0.63337684,,,,,,,,,,,,,,,
0.4724425,0.61995625,,,,,,,,,,,,,,,
0.46712184,0.6134004,,,,,,,,,,,,,,,
0.4752503,0.63252044,,,,,,,,,,,,,,,
0.4722054,0.6243984,,,,,,,,,,,,,,,
0.4739492,0.6414636,,,,,,,,,,,,,,,
0.46761337,0.6681333,,,,,,,,,,,,,,,
0.4728762,0.6590956,,,,,,,,,,,,,,,
0.51231897,0.6880918,,,,,,,,,,,,,,,
0.5296152,0.6723054,,,,,,,,,,,,,,,
0.517708,0.62255496,,,,,,,,,,,,,,,
0.4927615,0.6353672,,,,,,,,,,,,,,,
0.48457474,0.61754084,,,,,,,,,,,,,,,
0.48559883,0.59661514,,,,,,,,,,,,,,,
0.48803294,0.5826063,,,,,,,,,,,,,,,
0.4864982,0.59353644,,,,,,,,,,,,,,,
