time/iterations,rew_vec_envs,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction
1,8.819423377513885,52,1240,65536,,,,,,,,,,,
2,9.810689315199852,98,1337,131072,0.007016278,0.3079448342323303,0.0001,0.10409796237945557,10,0.8499745329609141,-5.648589039593935,0.2,-0.006448460058891214,0.9897295832633972,0.0721588134765625
3,12.12781971693039,142,1376,196608,0.0078975465,0.17474910616874695,0.0001,0.43395668268203735,20,0.8829347596270963,-5.616417486593127,0.2,-0.007518236131909361,0.9816064834594727,0.0795806884765625
4,14.750561483204365,188,1391,262144,0.008423807,0.290211021900177,0.0001,0.6416257917881012,30,0.7164458808489144,-5.575293906405568,0.2,-0.010667548797209747,0.9713223576545715,0.098236083984375
5,14.342891559004784,233,1400,327680,0.008527832,0.519942045211792,0.0001,0.67701455950737,40,1.1889408035203815,-5.538173914328217,0.2,-0.010683625543970265,0.9634854793548584,0.0991455078125
6,18.253224715590477,283,1388,393216,0.008375921,1.009247899055481,0.0001,0.6386970281600952,50,1.8734375319443644,-5.51754756681621,0.2,-0.008898170109205239,0.9596341848373413,0.09583892822265624
7,0.49943968653678894,326,1404,458752,0.008493237,2.596973180770874,0.0001,0.09274131059646606,60,107.75854387655855,-5.497444823011756,0.2,-0.005800227824147441,0.9535561800003052,0.0949676513671875
8,22.054941654205322,372,1406,524288,0.007172726,10.125041007995605,0.0001,0.18874973058700562,70,85.09812869885937,-5.478868029266596,0.2,-0.003897827937362308,0.9505077600479126,0.06819610595703125
9,22.147966399788857,423,1391,589824,0.008186349,142.8153839111328,0.0001,0.2641640305519104,80,176.52245686240494,-5.462891814857722,0.2,-0.004321147369955725,0.9459561705589294,0.08332977294921876
10,26.858018547296524,469,1395,655360,0.007319606,50.811038970947266,0.0001,0.3045152425765991,90,286.569355013594,-5.445668325573206,0.2,-0.004400996982258221,0.9428347945213318,0.07795867919921876
11,1.2934904992580414,516,1396,720896,0.007932677,94.36219024658203,0.0001,0.2531404495239258,100,461.840568718873,-5.4234323289245365,0.2,-0.0033843638542748523,0.9356428384780884,0.06979217529296874
12,28.904960960149765,564,1392,786432,0.007820069,502.7728576660156,0.0001,0.5333840847015381,110,117.60501774791628,-5.390823343023658,0.2,-0.004502438666895614,0.9285110235214233,0.07319793701171876
13,33.33960261940956,613,1389,851968,0.007799802,19.873260498046875,0.0001,0.39814209938049316,120,177.06678694672883,-5.374606335163117,0.2,-0.004064872303479206,0.9263083934783936,0.07947845458984375
14,17.93965920805931,668,1372,917504,0.005926758,267.1184997558594,0.0001,0.4514632821083069,130,531.3799091160297,-5.354355275258422,0.2,-0.0026761507117043946,0.9206568002700806,0.04175262451171875
15,26.840477794408798,723,1359,983040,0.0071640955,14.324946403503418,0.0001,0.39824581146240234,140,457.154227187112,-5.3238882422447205,0.2,-0.004220453461948636,0.9127520322799683,0.0788665771484375
16,29.416251003742218,777,1349,1048576,0.006902315,95.82887268066406,0.0001,0.45384764671325684,150,399.2007288314402,-5.302947221323848,0.2,-0.003362878353391352,0.9102197885513306,0.0678863525390625
