step_count,agent_id,ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
3,0,[-0.0678898   1.4478806  -3.51427542],[-0.03910111 -0.49767743 -1.2712623 ],[-1.00048678  0.09912319 -1.03038984],[2.83634529 2.95508618 5.66705208],[0.07995931 0.05286033 0.09181741 0.18933188],[ 0.11061037  0.57831442 -2.56475973 -2.30978179],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.03910111 -0.49767743 -1.2712623 ],[0.83452121 0.89786577 0.75492638],[ 2.56466944  2.87793641 -3.9718453 ],5.534943754895631,0.7560381149635073
3,0,[-0.29307539  1.51825825 -3.79033741],[-0.02428231 -0.48613351 -1.30686575],[-1.02830328  0.0722535  -1.10626732],[2.83586037 2.9583269  5.65504081],[0.07376723 0.05180189 0.12675635 0.19151831],[ 0.11061037  0.57831442 -2.56475973 -2.30978179],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.02428231 -0.48613351 -1.30686575],[0.81571222 0.95364499 0.84358189],[ 2.53212839  2.96411595 -3.92503551],5.532048558613854,0.7487896964135422
3,0,[-0.45922055  1.53444128 -4.07428437],[-0.01028069 -0.47394396 -1.34475047],[-1.05333756  0.04292047 -1.18133454],[2.835369   2.96160507 5.64242148],[0.06900724 0.05109237 0.16331518 0.22184982],[ 0.11061037  0.57831442 -2.56475973 -2.30978179],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[-0.01028069 -0.47394396 -1.34475047],[0.78643618 1.00736546 0.93469055],[ 2.49007347  3.06110984 -3.8727792 ],5.528949087744322,0.7416676445988064
3,0,[-0.63903764  1.56686045 -4.32907638],[ 0.00273016 -0.46107194 -1.38464751],[-1.07531887  0.01155813 -1.25405738],[2.83486924 2.96493201 5.62921833],[0.06094155 0.05103379 0.19771874 0.24826661],[ 0.11061037  0.57831442 -2.56475973 -2.30978179],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.00273016 -0.46107194 -1.38464751],[0.74634634 1.05740962 1.02662369],[ 2.43823591  3.16764391 -3.81497545],5.525667378234428,0.7347999951988198
4,0,[-0.81403246  1.60024667 -4.53732707],[ 0.01449499 -0.44745414 -1.42615153],[-1.09393398 -0.0211862  -1.3240983 ],[2.83435921 2.96832039 5.6154597 ],[0.0548624  0.04913644 0.22734752 0.26201799],[ 0.22951148  0.56390828 -2.69273949 -2.35625529],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.01449499 -0.44745414 -1.42615153],[0.69615615 1.10189527 1.11873596],[ 2.37699179  3.28216708 -3.7513052 ],5.522227935015761,0.7282333937529779
4,0,[-0.93412985  1.57095327 -4.72731804],[ 0.02516353 -0.43346628 -1.46899706],[-1.10945539 -0.05518471 -1.39222357],[2.83383802 2.97178013 5.60116997],[0.05114457 0.05214486 0.26609251 0.26932209],[ 0.22951148  0.56390828 -2.69273949 -2.35625529],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.02516353 -0.43346628 -1.46899706],[0.6372581  1.14014706 1.21086328],[ 2.30493204  3.40211764 -3.68353041],5.518651321973832,0.7218926428241716
4,0,[-0.97873638  1.46427374 -4.84449676],[ 0.03522664 -0.41985989 -1.51274292],[-1.12285212 -0.09074457 -1.45582546],[2.83330496 2.9753229  5.58637899],[0.05218073 0.05825523 0.2999012  0.30245897],[ 0.22951148  0.56390828 -2.69273949 -2.35625529],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.03522664 -0.41985989 -1.51274292],[0.5702087  1.17271213 1.29925653],[ 2.22027923  3.52309308 -3.61565656],5.514961204308341,0.7159223199696436
4,0,[-0.95208418  1.30745969 -4.87125709],[ 0.04468581 -0.4069098  -1.55651391],[-1.13463064 -0.12735685 -1.51416664],[2.83275908 2.97896495 5.57112844],[0.05080175 0.06577737 0.31408838 0.30296263],[ 0.22951148  0.56390828 -2.69273949 -2.35625529],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.04468581 -0.4069098  -1.55651391],[0.49720235 1.19928075 1.38232506],[ 2.12502992  3.64127918 -3.54944177],5.5111889031755945,0.7103606828265321
5,0,[-0.94253015  1.20111272 -4.83368792],[ 0.05378872 -0.3947783  -1.59988963],[-1.14516956 -0.16503961 -1.56911498],[2.83220136 2.98271296 5.55544048],[0.04972736 0.06968582 0.33498636 0.3372001 ],[ 0.29492307  0.46840078 -2.81317115 -2.48604369],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.05378872 -0.3947783  -1.59988963],[0.42045683 1.22020663 1.46119302],[ 2.02058658  3.75396433 -3.48653007],5.507350562751491,0.7050442814671638
5,0,[-0.9903447   1.18396871 -4.70605462],[ 0.0615843  -0.38266989 -1.64184539],[-1.15344376 -0.20172236 -1.62156814],[2.83163251 2.98657706 5.53934595],[0.04798735 0.07375323 0.33164861 0.33254261],[ 0.29492307  0.46840078 -2.81317115 -2.48604369],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.0615843  -0.38266989 -1.64184539],[0.34287166 1.23314704 1.53700847],[ 1.91399645  3.86115209 -3.42290551],5.503467994857304,0.6999848093225396
5,0,[-1.03017121  1.16284572 -4.5597726 ],[ 0.06799442 -0.37050658 -1.682252  ],[-1.15935535 -0.23688617 -1.67544635],[2.83105503 2.99055283 5.52284209],[0.04908723 0.06658273 0.3227323  0.33140836],[ 0.29492307  0.46840078 -2.81317115 -2.48604369],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.06799442 -0.37050658 -1.682252  ],[0.26701715 1.23828542 1.6132859 ],[ 1.80681669  3.96287736 -3.35796826],5.499539465746923,0.6948819768971943
5,0,[-1.11575323  1.16890603 -4.39309065],[ 0.07269436 -0.35821867 -1.72095333],[-1.1628273  -0.26955663 -1.73124627],[2.83047146 2.99463423 5.50592199],[0.05044278 0.06124944 0.30521724 0.32043893],[ 0.29492307  0.46840078 -2.81317115 -2.48604369],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.07269436 -0.35821867 -1.72095333],[0.1944716  1.23546465 1.69051757],[ 1.70067174  4.06000864 -3.29017215],5.495560690122129,0.6897134869464739
6,0,[-1.24088456  1.20716159 -4.24226291],[ 0.07542055 -0.34564959 -1.75806825],[-1.1635704  -0.2989121  -1.79042644],[2.82988438 2.99881223 5.48857077],[0.05180788 0.08092293 0.30630111 0.30786549],[ 0.33078757  0.37569574 -2.68490076 -2.51856351],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.07542055 -0.34564959 -1.75806825],[0.12647468 1.22443916 1.77020458],[ 1.59629239  4.15397148 -3.21763756],5.491522550736607,0.6843875844165426
6,0,[-1.17251512  1.0268126  -4.08977009],[ 0.07714886 -0.3338009  -1.79370522],[-1.16343772 -0.32626383 -1.85020401],[2.82929605 3.0030813  5.47078229],[0.08120873 0.06081989 0.33521563 0.26393705],[ 0.33078757  0.37569574 -2.68490076 -2.51856351],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.07714886 -0.3338009  -1.79370522],[0.06256383 1.20862394 1.84894679],[ 1.49103851  4.24199412 -3.1454872 ],5.487421953698635,0.6790183197612972
6,0,[-0.91932902  0.59473331 -3.94389205],[ 0.080093   -0.32539882 -1.82813613],[-1.16782919 -0.35543636 -1.9075485 ],[2.82870863 3.007435   5.45254763],[0.07342209 0.05177208 0.30960684 0.25133358],[ 0.33078757  0.37569574 -2.68490076 -2.51856351],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.080093   -0.32539882 -1.82813613],[0.00249821 1.19658392 1.92277975],[ 1.37709795  4.31792649 -3.08629075],5.483254378612705,0.6735292228246612
6,0,[-0.83332969  0.42518862 -3.84998608],[ 0.08382491 -0.31918902 -1.86170704],[-1.17491982 -0.38601642 -1.96567648],[2.82812389 3.0118619  5.43384154],[0.05792444 0.08289311 0.25261718 0.27632814],[ 0.33078757  0.37569574 -2.68490076 -2.51856351],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.08382491 -0.31918902 -1.86170704],[-0.05427066  1.18610745  1.99587903],[ 1.25756471  4.38463575 -3.03529437],5.479006441691122,0.6677645748336039
7,0,[-0.9854405   0.62722472 -3.75897359],[ 0.08617411 -0.31185401 -1.89441928],[-1.1784151  -0.41406953 -2.02603792],[2.8275431  3.01635653 5.41465265],[0.05523248 0.10282    0.24657594 0.3087976 ],[ 0.43187547  0.24022025 -2.51626444 -2.51141882],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.08617411 -0.31185401 -1.89441928],[-0.10866819  1.16813844  2.07089091],[ 1.14183824  4.44936899 -2.97848642],5.47467444594239,0.6619885430068051
7,0,[-1.19487914  0.86988218 -3.62642865],[ 0.08599081 -0.30228808 -1.92567984],[-1.17594203 -0.43675162 -2.08942349],[2.82696756 3.02092228 5.3949949 ],[0.06980445 0.06816385 0.28311589 0.26662722],[ 0.43187547  0.24022025 -2.51626444 -2.51141882],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.08599081 -0.30228808 -1.92567984],[-0.15902462  1.13962115  2.14831491],[ 1.03546237  4.51451242 -2.91047208],5.470269867759894,0.656293575265001
7,0,[-1.14118948  0.68592135 -3.47293313],[ 0.08505775 -0.29354085 -1.95560351],[-1.17369788 -0.45708243 -2.15331329],[2.82639844 3.02555451 5.37486017],[0.09556798 0.05856752 0.31302669 0.23644116],[ 0.43187547  0.24022025 -2.51626444 -2.51141882],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.08505775 -0.29354085 -1.95560351],[-0.204225    1.10932824  2.22506903],[ 0.93040839  4.5749543  -2.84235914],5.46579107601002,0.6505355896128694
7,0,[-0.91167174  0.27042858 -3.29846183],[ 0.08518278 -0.28809161 -1.98424232],[-1.17746015 -0.4786627  -2.21328609],[2.82583712 3.03025131 5.35424932],[0.08539114 0.05088662 0.27980102 0.21745923],[ 0.43187547  0.24022025 -2.51626444 -2.51141882],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.08518278 -0.28809161 -1.98424232],[-0.24499037  1.08530286  2.29701178],[ 0.82106479  4.62596677 -2.78414138],5.461241543500785,0.644771362942733
8,0,[-0.85001061  0.14322486 -3.15787825],[ 0.08596759 -0.28471869 -2.01182504],[-1.18507761 -0.50098944 -2.2731184 ],[2.82528419 3.03500433 5.33314097],[0.06384536 0.11388736 0.24567773 0.29348666],[ 0.57443047  0.1800717  -2.20010996 -2.51798606],[False False False],[False False False],[False False False],[False False False],[0. 0. 0.],[ 0.08596759 -0.28471869 -2.01182504],[-0.28182917  1.06509906  2.36824891],[ 0.71011256  4.66979572 -2.73191806],5.45661324928828,0.6388014815884964
