time/iterations,time/time_elapsed,time/fps,rew_vec_envs,time/total_timesteps,train/entropy_loss,train/loss,train/clip_range,train/std,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate
1,41,798,9.581812471151352,32768,,,,,,,,,,,
2,71,920,9.88752794265747,65536,-5.64290484637022,39.886356353759766,0.2,0.9926902055740356,10,0.009749547,0.107672119140625,29.54188395522069,-0.004133050355449086,-0.004348039627075195,0.001
3,101,967,9.407131642103195,98304,-5.62195595279336,3.364767551422119,0.2,0.9833884239196777,20,0.012516506,0.151055908203125,0.5452320571464953,-0.005832826626283349,0.2548642158508301,0.001
4,133,985,15.746710896492004,131072,-5.578126796334982,0.03510187566280365,0.2,0.9730044603347778,30,0.01654438,0.1842803955078125,0.18603660964872687,-0.009003548194959876,0.5738615989685059,0.001
5,163,1002,11.475043714046478,163840,-5.5586530841887,2.4380300045013428,0.2,0.9673954248428345,40,0.012880376,0.1563629150390625,26.25882923163008,-0.005768401433306281,0.13465267419815063,0.001
6,193,1013,13.544601902365685,196608,-5.510970594733953,0.07345639169216156,0.2,0.9576420783996582,50,0.018043514,0.1941497802734375,19.607818289892748,-0.008431369627942331,0.33072465658187866,0.001
7,224,1020,-12.88533166050911,229376,-5.482670500874519,0.04566853865981102,0.2,0.949847400188446,60,0.021811843,0.23543701171875,0.2804864707053639,-0.015831237144811893,0.7683365792036057,0.001
8,257,1017,20.380353450775146,262144,-5.458690726011992,0.5342707633972168,0.2,0.9458817839622498,70,0.012212514,0.1366546630859375,30.817671050829812,-0.0039019508851197314,0.22822105884552002,0.001
9,290,1016,12.35776624083519,294912,-5.431208565831184,0.3582615256309509,0.2,0.9403495192527771,80,0.016855361,0.1592742919921875,7.029649601411075,-0.009459855658496963,0.6992970407009125,0.001
10,322,1015,15.28588593006134,327680,-5.4317118935287,0.08955439925193787,0.2,0.9415503144264221,90,0.027272929,0.2609619140625,0.6023241665214301,-0.015494759060675278,0.8374846577644348,0.001
11,355,1014,12.468150168657303,360448,-5.43495941311121,2.3387091159820557,0.2,0.9401806592941284,100,0.017882243,0.1897857666015625,27.96770226145163,-0.006737692905517179,0.3021005392074585,0.001
12,388,1012,16.028207063674927,393216,-5.397099416702986,0.09318411350250244,0.2,0.9304461479187012,110,0.03341326,0.3146759033203125,2.7362631558207795,-0.01966170566302026,0.647968202829361,0.001
13,420,1012,21.71990191936493,425984,-5.360487131774425,0.09070324897766113,0.2,0.92094886302948,120,0.03278429,0.3212310791015625,0.5395080911228434,-0.020440504988800966,0.7309814691543579,0.001
14,454,1010,19.041952550411224,458752,-5.315410747379064,0.13439282774925232,0.2,0.9116541147232056,130,0.031845707,0.310113525390625,0.6226336743682623,-0.02220207358986954,0.7895510345697403,0.001
15,488,1006,18.467200130224228,491520,-5.277456533908844,1.1264801025390625,0.2,0.9000006914138794,140,0.021114811,0.2155303955078125,9.460438042366878,-0.008918428041943116,0.2558988928794861,0.001
16,523,1000,18.530436784029007,524288,-5.228236482292414,0.1758652627468109,0.2,0.8925862312316895,150,0.036861576,0.323175048828125,1.1814621523488313,-0.014716029741975944,0.46203213930130005,0.001
17,559,995,17.64314579963684,557056,-5.200463083386421,0.8739804625511169,0.2,0.8862685561180115,160,0.022094307,0.1754852294921875,22.060719885583968,-0.008832343474932714,0.36696332693099976,0.001
18,595,990,21.133122831583023,589824,-5.177456302940845,0.3582662045955658,0.2,0.8787055015563965,170,0.03288349,0.2727264404296875,8.862398848868906,-0.011662836141113075,0.6521117091178894,0.001
19,631,986,21.102596133947372,622592,-5.134728264808655,0.43840450048446655,0.2,0.8723326921463013,180,0.038666554,0.2911834716796875,4.62105846432969,-0.011344902465498307,0.6501302719116211,0.001
20,668,981,21.455683708190918,655360,-5.122174153476953,0.42826929688453674,0.2,0.8682414293289185,190,0.038344085,0.2948333740234375,2.6765431351959705,-0.015384504961548372,0.6735895276069641,0.001
21,704,976,32.059090822935104,688128,-5.122228591144085,0.41713008284568787,0.2,0.8681670427322388,200,0.0490845,0.3655426025390625,2.3116503288038075,-0.012046164317871444,0.7706580609083176,0.001
22,741,972,18.18129226565361,720896,-5.0842595711350445,1.0073158740997314,0.2,0.8621841669082642,210,0.033962306,0.2821258544921875,15.589061946235597,-0.011537343064992456,0.5516987442970276,0.001
23,778,968,18.949973344802856,753664,-5.049456242471933,0.5743985772132874,0.2,0.8543015718460083,220,0.04892201,0.3803802490234375,9.629002130031585,-0.009715940662863432,0.6450112760066986,0.001
24,814,965,18.24608451128006,786432,-5.03640271499753,1.744550347328186,0.2,0.851567804813385,230,0.04840988,0.34210205078125,6.594975815806538,-0.010587542169741938,0.7993053942918777,0.001
25,851,962,27.695412635803223,819200,-4.996565010398626,1.126439094543457,0.2,0.8395991325378418,240,0.032339998,0.2552581787109375,12.546093580313027,-0.013263629254652187,0.6145070195198059,0.001
26,888,958,21.681574285030365,851968,-4.943227351456881,1.947363257408142,0.2,0.8328269720077515,250,0.05114411,0.2928619384765625,12.240782141312957,-0.010797437591463677,0.6096400022506714,0.001
27,931,949,35.430090606212616,884736,-4.924791143089533,0.8682473301887512,0.2,0.825191080570221,260,0.046638504,0.3521484375,6.041124422475695,-0.013363182057946687,0.8024750053882599,0.001
28,971,944,42.7948676943779,917504,-4.869681169092655,1.1081370115280151,0.2,0.8138241767883301,270,0.04253257,0.297271728515625,17.48581563998014,-0.013932307509094244,0.6767488718032837,0.001
29,1010,940,22.11588144302368,950272,-4.810514228045941,2.0429494380950928,0.2,0.8017846345901489,280,0.032234445,0.263531494140625,24.081448505073787,-0.015620615024090512,0.7047999203205109,0.001
30,1049,936,38.0888649225235,983040,-4.771093744039535,1.5888477563858032,0.2,0.7979851961135864,290,0.061342604,0.37408447265625,17.12717830874026,-0.013200968075761921,0.6941231489181519,0.001
31,1088,933,33.52688309550285,1015808,-4.761976909637451,4.179172515869141,0.2,0.7961382865905762,300,0.0453874,0.31451416015625,21.50347209982574,-0.013255311450484442,0.6163427829742432,0.001
32,1126,930,43.87616801261902,1048576,-4.732780733704567,1.8809927701950073,0.2,0.784762978553772,310,0.059233703,0.382220458984375,20.765988747403025,-0.012934878363739698,0.7164248824119568,0.001
33,1165,927,30.986226797103882,1081344,-4.672917734086513,2.481069564819336,0.2,0.775888979434967,320,0.05122187,0.3268035888671875,23.12857678979635,-0.014018164181106841,0.6452609002590179,0.001
