time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/std
575,16384,-50.78714466094971,28,1,,,,,,,,,,,
642,32768,-55.256752252578735,50,2,0.00035514118,10,-5.675584799051284,232.7700979590416,66.69446563720703,0.0065642595291137695,0.2,1e-05,0.0,-0.0004689721157774329,0.9998944997787476
673,49152,-52.73863661289215,72,3,0.0008757559,20,-5.674804866313934,11.25371373295784,4.227105617523193,0.024569034576416016,0.2,1e-05,0.0,-0.0008063283494266216,0.9996196031570435
687,65536,-55.79236054420471,95,4,0.0010889054,30,-5.6738609910011295,9.76235597729683,3.5678062438964844,0.26435619592666626,0.2,1e-05,4.8828125e-05,-0.0009658705486799591,0.9994270205497742
694,81920,-46.29059314727783,117,5,0.0012490378,40,-5.6733353048563,8.37304025888443,2.992098093032837,0.2223382592201233,0.2,1e-05,8.544921875e-05,-0.001082870964455651,0.9993629455566406
705,98304,-53.627970457077026,139,6,0.00042397558,50,-5.6730501532554625,12.79345554113388,7.130600452423096,0.14496266841888428,0.2,1e-05,0.0,-0.000614082787069492,0.9992769956588745
712,114688,-57.02280330657959,160,7,0.000541434,60,-5.672674295306206,55.78046178519726,20.21391487121582,0.04253244400024414,0.2,1e-05,0.0,-0.0007099238857335877,0.999212384223938
719,131072,-47.55337333679199,182,8,0.0013205274,70,-5.672372305393219,6.639733228087425,2.5651278495788574,0.2086992859840393,0.2,1e-05,6.103515625e-05,-0.0011146281907713274,0.9990837574005127
725,147456,-56.75455379486084,203,9,0.0021678186,80,-5.67212678194046,6.035905408859253,2.56831693649292,0.2661179304122925,0.2,1e-05,0.000762939453125,-0.0013426443227217532,0.999100923538208
730,163840,-52.985358238220215,224,10,0.0016036138,90,-5.672038862109185,5.623398637771606,2.4338724613189697,0.2296251654624939,0.2,1e-05,0.000299072265625,-0.0012267643549421336,0.9990102052688599
736,180224,-53.481932163238525,244,11,0.0022917443,100,-5.671345382928848,5.46766020655632,2.4816839694976807,0.23624026775360107,0.2,1e-05,0.000970458984375,-0.0014284932149166707,0.9987517595291138
740,196608,-51.05826425552368,265,12,0.0016711722,110,-5.670194759964943,5.184241598844528,2.693983316421509,0.1207309365272522,0.2,1e-05,0.00040283203125,-0.001041413966595428,0.9984486699104309
745,212992,-49.32058620452881,285,13,0.00087248825,120,-5.669345632195473,6.113740420341491,2.6766347885131836,0.1602073311805725,0.2,1e-05,1.8310546875e-05,-0.0006908708157425281,0.9984102249145508
