time/iterations,time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/std,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/learning_rate
1,528,5046272,88.27135995030403,62,,,,,,,,,,,
2,580,5079040,97.37358283996582,112,5111.520397186279,-0.002317070960998535,-2.210199823230505,1106.91357421875,0.4246886670589447,0.156884765625,1540,-0.009619508846662938,0.2,0.017124943,0.001
3,601,5111808,224.95853757858276,163,1784.2537981987,0.3837723135948181,-2.235379933565855,282.1893005371094,0.42672136425971985,0.294873046875,1550,-0.009039265999308554,0.2,0.036492944,0.001
4,614,5144576,195.5271577835083,213,874.1002889394761,0.4595741033554077,-2.24396297223866,143.4868621826172,0.4278985261917114,0.381817626953125,1560,-0.005530678767900099,0.2,0.05117819,0.001
5,622,5177344,132.24254804849625,263,524.319572854042,0.610345870256424,-2.23156398832798,129.89405822753906,0.4252725839614868,0.43060302734375,1570,-0.0038756548408855453,0.2,0.07075904,0.001
6,626,5210112,193.17168962955475,313,449.9046270608902,0.5816748440265656,-2.220554966852069,92.76004791259766,0.4247802495956421,0.41512451171875,1580,-0.006291079912261921,0.2,0.065943226,0.001
7,630,5242880,112.92060983181,363,395.34153443574905,0.5747714042663574,-2.2219575092196466,73.91166687011719,0.42540639638900757,0.4092926025390625,1590,-0.008696613127904129,0.2,0.06235364,0.001
8,630,5275648,149.02105462551117,416,350.2405306816101,0.5931733846664429,-2.2308830875903367,90.59168243408203,0.4255951941013336,0.42247314453125,1600,-0.006385640358712408,0.2,0.066902414,0.001
9,633,5308416,191.58631721138954,465,337.3327372074127,0.591241180896759,-2.228157164156437,62.743385314941406,0.4253111481666565,0.40933837890625,1610,-0.008318491827230901,0.2,0.063121006,0.001
10,636,5341184,118.91973912715912,514,307.3314828157425,0.46312928199768066,-2.23454956561327,70.65167999267578,0.4250602722167969,0.4348114013671875,1620,-0.0036675932577054484,0.2,0.06725311,0.001
11,636,5373952,72.07177472114563,566,297.7331674337387,0.6617695689201355,-2.2415402214974165,49.49055862426758,0.4269558787345886,0.4078948974609375,1630,-0.008288214774802327,0.2,0.063312866,0.001
12,636,5406720,30.110419899225235,617,380.85590678453445,0.6056945025920868,-2.250575117394328,65.2613296508789,0.4277207851409912,0.4168243408203125,1640,-0.006440497202856932,0.2,0.07045979,0.001
13,635,5439488,136.55212697386742,670,298.8716400623322,0.6575701832771301,-2.2641783103346826,71.42635345458984,0.4294513761997223,0.4328460693359375,1650,-0.005062623211779282,0.2,0.059827674,0.001
14,639,5472256,64.45824894309044,717,288.4951642751694,0.686225563287735,-2.2512958075851204,55.585845947265625,0.42751166224479675,0.4290740966796875,1660,-0.008181031095773506,0.2,0.06544925,0.001
15,645,5505024,119.83519154787064,761,258.19955604076387,0.6858382225036621,-2.258552074059844,76.94700622558594,0.4278413653373718,0.4319915771484375,1670,-0.008790808813864714,0.2,0.07160134,0.001
