time/iterations,time/time_elapsed,time/fps,rew_vec_envs,time/total_timesteps,train/std,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/clip_range,train/value_loss
1,36,907,-10.354447511956096,32768,,,,,,,,,,,
2,58,1113,-9.813707873225212,65536,1.0055471658706665,-0.002722500402160222,0.001,0.006619594,31.144611358642578,-5.701296773552895,10,-0.008192777633666992,0.0743408203125,0.2,70.62001383900642
3,81,1204,-11.433740362524986,98304,0.9956696629524231,-0.002759595777024515,0.001,0.007070361,19.80257797241211,-5.676578694581986,20,0.20282632112503052,0.07369384765625,0.2,23.583989726006983
4,105,1247,-3.2949174344539642,131072,0.9830071330070496,-0.00643655466119526,0.001,0.008663052,1.2417328357696533,-5.627597060799599,30,0.6142480373382568,0.07999267578125,0.2,4.309283053874969
5,128,1272,-12.591874409466982,163840,0.9753491282463074,-0.005067374094505794,0.001,0.0067535304,2.827753782272339,-5.593277570605278,40,0.3967433571815491,0.068450927734375,0.2,14.75393654704094
6,152,1287,-13.621071368455887,196608,0.9694619178771973,-0.00762779879005393,0.001,0.007349736,1.16240394115448,-5.564425483345985,50,0.7044609785079956,0.0878021240234375,0.2,4.455600467324257
7,176,1298,-6.039067503064871,229376,0.9677383899688721,-0.005246397979499306,0.001,0.009266945,1.6722813844680786,-5.54639368057251,60,0.4601339101791382,0.0999298095703125,0.2,21.285471598803998
8,200,1307,-0.18675929680466652,262144,0.9608418941497803,-0.008145606300968212,0.001,0.010081309,1.3530243635177612,-5.527288180589676,70,0.7805376052856445,0.1190643310546875,0.2,4.2060449600219725
9,225,1309,-1.9914976805448532,294912,0.9528797268867493,-0.01030022228078451,0.001,0.0080109835,1.6102250814437866,-5.495533010363578,80,0.7348034679889679,0.09971923828125,0.2,4.808766548335552
10,249,1311,1.0762349478900433,327680,0.9462319612503052,-0.01051530029362766,0.001,0.00941843,1.9601430892944336,-5.463577750325203,90,0.7562778145074844,0.121990966796875,0.2,6.619522847235203
11,275,1308,11.546092003583908,360448,0.9382461905479431,-0.0068846447669784535,0.001,0.0090273665,3.7589187622070312,-5.434238436818123,100,0.6146454513072968,0.1113983154296875,0.2,21.655004796385764
12,300,1306,18.446731720119715,393216,0.9338517189025879,-0.011423687849310226,0.001,0.008290226,1.7176483869552612,-5.40726178586483,110,0.8505166918039322,0.1121978759765625,0.2,5.565900398790836
13,326,1304,29.74282430112362,425984,0.9268107414245605,-0.007677644384966697,0.001,0.010679377,6.864419460296631,-5.384043145179748,120,0.5552772879600525,0.12467041015625,0.2,34.97114512622356
14,352,1301,45.072079330682755,458752,0.917997419834137,-0.005983359043602832,0.001,0.007639176,18.836030960083008,-5.346594572067261,130,0.5970974266529083,0.0975982666015625,0.2,51.07689067721367
15,378,1297,10.846089872531593,491520,0.9087239503860474,-0.007066423434298486,0.001,0.009035677,21.622949600219727,-5.305019688606262,140,0.6961269974708557,0.11561279296875,0.2,41.895029199123385
16,404,1295,85.76957731693983,524288,0.9013546705245972,-0.008164296218456001,0.001,0.010436322,15.035406112670898,-5.270450714230537,150,0.7855661809444427,0.1180572509765625,0.2,28.349583068490027
17,431,1291,51.15935090184212,557056,0.8954837918281555,-0.006015184671559837,0.001,0.009586093,27.473365783691406,-5.244060078263283,160,0.6476911306381226,0.103131103515625,0.2,60.653921163082124
18,457,1287,61.10808075964451,589824,0.8881944417953491,-0.009261348616564646,0.001,0.010345874,3.898247480392456,-5.2071946382522585,170,0.8469718396663666,0.112664794921875,0.2,15.918027958273887
19,485,1282,43.100456699728966,622592,0.8774263262748718,-0.005699981890211347,0.001,0.010224158,40.184967041015625,-5.176085481047631,180,0.6631482243537903,0.1226409912109375,0.2,64.75948926210404
20,512,1278,83.48082312941551,655360,0.8705655336380005,-0.006509277217264753,0.001,0.0103704,17.381412506103516,-5.1296420156955715,190,0.7677072584629059,0.1105926513671875,0.2,58.77810524702072
21,539,1275,50.64093816280365,688128,0.8652608394622803,-0.005140394291083794,0.001,0.00822334,41.58880615234375,-5.105273935198784,200,0.6750952005386353,0.096368408203125,0.2,122.14338154792786
22,566,1272,54.52621544152498,720896,0.8611968755722046,-0.006866528413229389,0.001,0.009724446,31.921865463256836,-5.0827671736478806,210,0.7639764100313187,0.09595947265625,0.2,74.41956729888916
23,594,1268,58.83732522279024,753664,0.8579959869384766,-0.005889949243282899,0.001,0.008886645,33.17695236206055,-5.066741770505905,220,0.6287702322006226,0.103436279296875,0.2,122.11920409202575
24,621,1265,58.895083559677005,786432,0.8518049716949463,-0.006296953734272392,0.001,0.008090096,21.31012535095215,-5.042061039805413,230,0.7371587455272675,0.0787567138671875,0.2,117.90835676193237
25,648,1262,98.13033753633499,819200,0.846477746963501,-0.006488857785006985,0.001,0.0073715444,41.68662643432617,-5.017314037680626,240,0.735756903886795,0.085980224609375,0.2,87.04955127239228
26,676,1259,87.51192301884294,851968,0.8423497676849365,-0.006437861234007869,0.001,0.0074601714,37.2004280090332,-4.993611055612564,250,0.7269784212112427,0.0748748779296875,0.2,144.83654584884644
27,704,1256,106.9409356713295,884736,0.8378803730010986,-0.005410344371921383,0.001,0.00755952,53.722625732421875,-4.973198562860489,260,0.6828061938285828,0.07327880859375,0.2,181.65114278793334
28,731,1253,115.2498190999031,917504,0.8344025611877441,-0.0059510994513402695,0.001,0.0074828533,67.08759307861328,-4.954392755031586,270,0.7123293578624725,0.072247314453125,0.2,167.20489115715026
29,760,1249,161.45048213005066,950272,0.8286421298980713,-0.006508551105798688,0.001,0.009607316,63.31917953491211,-4.9300329953432085,280,0.7218425571918488,0.086822509765625,0.2,167.4489498615265
30,788,1246,153.39924371242523,983040,0.8222435712814331,-0.005368292718776502,0.001,0.006520251,85.10150146484375,-4.901782003045082,290,0.7093710005283356,0.061102294921875,0.2,228.75476446151734
31,818,1240,94.02212008833885,1015808,0.8170225620269775,-0.005920823159976862,0.001,0.008078934,78.26317596435547,-4.872282966971397,300,0.7221685647964478,0.064862060546875,0.2,187.10800833702086
32,849,1234,106.44719696044922,1048576,0.8109602332115173,-0.006621258045197464,0.001,0.008877516,62.85797882080078,-4.844612210988998,310,0.7674951106309891,0.0759063720703125,0.2,176.67906866073608
33,879,1228,132.58139657974243,1081344,0.8075070977210999,-0.006094621193915373,0.001,0.0069203414,87.46800994873047,-4.821658501029015,320,0.6946744322776794,0.06806640625,0.2,269.35366983413695
34,910,1223,141.46931791305542,1114112,0.8029536008834839,-0.006847983253828715,0.001,0.007833749,148.63172912597656,-4.800380522012711,330,0.7114076018333435,0.074200439453125,0.2,261.8137048721313
35,941,1218,185.03594386577606,1146880,0.7955186367034912,-0.006435530238377396,0.001,0.009112132,84.71080780029297,-4.771043226122856,340,0.6458351314067841,0.0688568115234375,0.2,262.86530818939207
36,971,1213,110.79057982563972,1179648,0.7927878499031067,-0.006026115422719159,0.001,0.006282149,119.44685363769531,-4.745621344447136,350,0.697464644908905,0.0588165283203125,0.2,254.4287410736084
37,1002,1209,161.33955311775208,1212416,0.7897340059280396,-0.006162188049347606,0.001,0.007746553,97.11849212646484,-4.730967050790786,360,0.7206598520278931,0.0777557373046875,0.2,246.31508588790894
38,1033,1204,146.78044818341732,1245184,0.7863024473190308,-0.0066021312602970285,0.001,0.008245134,80.77125549316406,-4.715348562598228,370,0.6442062556743622,0.0741119384765625,0.2,293.20708441734314
39,1064,1200,198.42870184779167,1277952,0.7810471057891846,-0.006802296529349406,0.001,0.0071802326,69.5368423461914,-4.6894755333662035,380,0.7233825623989105,0.067333984375,0.2,260.08536968231203
40,1095,1196,143.01013815402985,1310720,0.7775707244873047,-0.006908266698883381,0.001,0.008073246,115.41259002685547,-4.669752785563469,390,0.6640612185001373,0.06907958984375,0.2,310.0153613090515
