time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/std,train/policy_gradient_loss,train/learning_rate,train/loss,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl
75,1,0.16291014054240804,864,65536,,,,,,,,,,,
136,2,0.28586776869130404,960,131072,0.9970757365226746,-0.008224352151046332,0.001,-0.006819126196205616,10,-5.671502483263612,0.791736826300621,0.2,0.14202423095703126,0.017794371192576364,0.012174796
195,3,0.2513737858116656,1003,196608,0.9893965721130371,-0.007903632688066865,0.001,-0.009379703551530838,20,-5.643773753941059,0.7419240772724152,0.2,0.163623046875,0.015014875830092932,0.013777836
247,4,0.9706389304483309,1058,262144,0.981918215751648,-0.006489562170827412,0.001,-0.009452181868255138,30,-5.616095760464669,0.10375338792800903,0.2,0.17880096435546874,0.5565438737357908,0.015576803
303,5,0.4050165480293799,1079,327680,0.9703220129013062,-0.010395671835249231,0.001,-0.01832672581076622,40,-5.572495456412435,0.7129169404506683,0.2,0.20478057861328125,0.017410256696894066,0.016724065
361,6,0.4084617138832982,1088,393216,0.9651848673820496,-0.006869022323735407,0.001,2.3370609283447266,50,-5.529045981541276,0.08012646436691284,0.2,0.219305419921875,0.7384310814937635,0.019432034
420,7,-21.547568837646395,1092,458752,0.9580812454223633,-0.0047762405643879905,0.001,11.730238914489746,60,-5.506085041165352,0.009432494640350342,0.2,0.23125762939453126,10.252832603311981,0.019460673
472,8,0.5379030952208268,1108,524288,0.9565639495849609,-0.0007366515912508476,0.001,0.28586670756340027,70,-5.499582033231855,0.14382237195968628,0.2,0.14494171142578124,26.936028389941203,0.01406018
534,9,0.558751676871907,1103,589824,0.9602311849594116,-0.001474860354028351,0.001,0.013155464082956314,80,-5.50335454903543,0.09417867660522461,0.2,0.26033782958984375,8.288240040474921,0.021915004
594,10,0.5477580573642626,1101,655360,0.958904504776001,-0.001354363452992402,0.001,0.08010698854923248,90,-5.51398544870317,0.14700239896774292,0.2,0.2129791259765625,6.528230152613832,0.027228642
651,11,0.4243476702249609,1106,720896,0.9532635807991028,-0.010506742286088411,0.001,-0.011098412796854973,100,-5.497465689480305,0.7402917444705963,0.2,0.27386474609375,0.04522875478141941,0.022056367
708,12,0.5109447347058449,1110,786432,0.9521621465682983,-0.004304375675201299,0.001,0.10067472606897354,110,-5.476899554207921,-0.010048747062683105,0.2,0.22493133544921876,2.8027839583315655,0.020331237
765,13,0.4551150985789718,1112,851968,0.9522188901901245,-0.000496063972968841,0.001,0.7651945352554321,120,-5.474869856983423,0.05788499116897583,0.2,0.1952484130859375,13.737348580057732,0.029542487
825,14,0.8332173944693568,1111,917504,0.9496752023696899,-0.002796164904430043,0.001,0.015767283737659454,130,-5.470362709835172,-0.044219136238098145,0.2,0.30238037109375,2.8247139512808643,0.025093138
886,15,0.7670935305068269,1109,983040,0.9412510991096497,-0.002553809139317309,0.001,0.02982405573129654,140,-5.451734894886613,0.4166351556777954,0.2,0.2541717529296875,9.743692572769941,0.0244768
948,16,0.9928985444785212,1105,1048576,0.94325852394104,-0.000519147527666064,0.001,0.037885937839746475,150,-5.434702809900045,0.13825839757919312,0.2,0.276080322265625,4.650741670196294,0.026761482
