time/time_elapsed,time/iterations,rew_vec_envs,time/fps,time/total_timesteps,train/loss,train/explained_variance,train/value_loss,train/n_updates,train/std,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss
59,1,0.62334216,412,4063232,,,,,,,,,,,
115,2,0.6891079,427,4087808,13.014752388000488,0.5056891143321991,42.11945562760035,1860,0.8538897633552551,-0.007604022596691114,0.06877034505208333,0.0001,0.007197331,0.2,-5.035046382745107
194,3,0.6472445,378,4112384,12.965622901916504,0.3688274025917053,125.95053742726644,1870,0.8494702577590942,-0.005823710034504378,0.05452880859375,0.0001,0.006835301,0.2,-5.018644162019094
277,4,0.74954057,354,4136960,54.44662094116211,0.32033592462539673,187.14884408315024,1880,0.8478399515151978,-0.004708900904612771,0.05062255859375,0.0001,0.0062790723,0.2,-5.00423634648323
372,5,0.8311383,329,4161536,214.58859252929688,-0.2034543752670288,244.40994853973388,1890,0.8457132577896118,-0.0037530111842594732,0.045515950520833334,0.0001,0.0055177696,0.2,-4.995914446314176
470,6,0.7173068,313,4186112,17.70275115966797,0.22699958086013794,76.5230265378952,1900,0.8454717993736267,-0.006834217372428005,0.06624755859375,0.0001,0.0075392853,0.2,-4.990962867935498
544,7,0.8142856,315,4210688,27.669376373291016,0.5112818777561188,52.97649858792623,1910,0.8417239189147949,-0.006712051375749676,0.056534830729166666,0.0001,0.007470244,0.2,-4.979958658417066
622,8,0.6100025,315,4235264,32.445281982421875,0.14791572093963623,200.97028149763744,1920,0.841511607170105,-0.004255355183947055,0.04168294270833333,0.0001,0.0057807826,0.2,-4.970861074328423
711,9,0.6846004,310,4259840,39.82834243774414,0.2876039147377014,218.3244375626246,1930,0.8415740728378296,-0.0039751639128856675,0.04047037760416667,0.0001,0.00655619,0.2,-4.968963876366615
789,10,0.69719976,311,4284416,155.23690795898438,0.41164207458496094,238.41520791053773,1940,0.8400779962539673,-0.003776378537683437,0.03899739583333333,0.0001,0.004975615,0.2,-4.9659993519385655
860,11,0.6945234,314,4308992,23.32640838623047,0.33225488662719727,82.20561864376069,1950,0.8403360843658447,-0.005101986926941512,0.037430826822916666,0.0001,0.006283898,0.2,-4.962610699733099
957,12,0.6715994,308,4333568,74.02259826660156,0.17133688926696777,113.54428042968114,1960,0.8396584987640381,-0.004482212154349933,0.05710042317708333,0.0001,0.0071386322,0.2,-4.962333012620608
1066,13,0.71437865,299,4358144,133.02699279785156,0.43841707706451416,238.31892029444376,1970,0.8401831388473511,-0.00492989768050999,0.034200032552083336,0.0001,0.005472973,0.2,-4.961916474501292
1165,14,0.5973709,295,4382720,139.191650390625,0.3708030581474304,355.8258223295212,1980,0.8405522704124451,-0.005180019048566464,0.026713053385416668,0.0001,0.0043813344,0.2,-4.964421614011129
1276,15,0.77064675,288,4407296,14.166888236999512,0.027119100093841553,62.48126961787542,1990,0.8360681533813477,-0.005501266419984555,0.06368408203125,0.0001,0.008523565,0.2,-4.9547588934501015
1372,16,0.6736774,286,4431872,55.30449676513672,0.4458038806915283,281.5530314207077,2000,0.8357977867126465,-0.00445361981789271,0.03194986979166667,0.0001,0.0045626345,0.2,-4.942369625965754
1471,17,0.57114124,283,4456448,10.498870849609375,0.4449426531791687,53.54747915665309,2010,0.8310705423355103,-0.008002476435891973,0.07514241536458334,0.0001,0.007970553,0.2,-4.929716403285663
1572,18,0.8109054,281,4481024,18.36524200439453,0.2062506079673767,149.81917278766633,2020,0.8310744166374207,-0.0046374506908856954,0.0479248046875,0.0001,0.0065375096,0.2,-4.9204363316297535
1678,19,0.6127716,278,4505600,19.335159301757812,0.5129164159297943,50.04354356527328,2030,0.8303451538085938,-0.006940423864580225,0.06551106770833333,0.0001,0.007525964,0.2,-4.91821914712588
1770,20,0.6193288,277,4530176,69.81324005126953,0.3344762921333313,186.554469871521,2040,0.8297002911567688,-0.0030912531108090962,0.025248209635416668,0.0001,0.004774935,0.2,-4.9162243445714315
1879,21,0.7044163,274,4554752,14.059866905212402,0.23555415868759155,119.76927434206009,2050,0.8295210599899292,-0.005986891678670266,0.04989827473958333,0.0001,0.00630044,0.2,-4.913716913263003
1973,22,0.6783611,273,4579328,9.21528434753418,0.5204388797283173,41.02501884301503,2060,0.8314626216888428,-0.008429932943545281,0.071337890625,0.0001,0.007097619,0.2,-4.917787518103918
2079,23,0.97034115,271,4603904,15.645089149475098,0.5083408951759338,61.401985164483385,2070,0.8298306465148926,-0.006565204295717801,0.058455403645833334,0.0001,0.0065969024,0.2,-4.9188831100861234
2177,24,0.6400628,270,4628480,77.72437286376953,0.4908413290977478,145.48547862768174,2080,0.8295121788978577,-0.0038325373357414112,0.034590657552083334,0.0001,0.006001471,0.2,-4.9143098324537275
2267,25,0.65756077,271,4653056,137.7885284423828,0.46764814853668213,308.7653324286143,2090,0.8298112750053406,-0.003192238798753048,0.028031412760416666,0.0001,0.0049199597,0.2,-4.913348880410195
2354,26,0.7049413,271,4677632,26.398113250732422,0.34677428007125854,407.64969691435493,2100,0.8295722007751465,-0.003035102868549681,0.03130696614583333,0.0001,0.0059645586,0.2,-4.914502482612928
2448,27,0.65801746,271,4702208,18.60987091064453,0.4660399556159973,83.80555150906245,2110,0.8286862373352051,-0.005127204386129355,0.044816080729166666,0.0001,0.006381082,0.2,-4.910854658484459
2547,28,0.8122862,270,4726784,53.11231994628906,0.5864401757717133,141.8704730431239,2120,0.8258769512176514,-0.0064147896865809646,0.048055013020833336,0.0001,0.00635462,0.2,-4.901794923345248
2639,29,0.86913943,270,4751360,21.90403938293457,0.2814842462539673,215.84126285711923,2130,0.8228577375411987,-0.004242117186853041,0.03783772786458333,0.0001,0.005430574,0.2,-4.889617721239726
2723,30,0.74520165,270,4775936,30.653867721557617,0.4515787363052368,174.9192863980929,2140,0.8224039077758789,-0.005609548619637887,0.04661865234375,0.0001,0.005817709,0.2,-4.880116466681162
2814,31,0.6095006,270,4800512,497.6794128417969,0.08158600330352783,411.6493769963582,2150,0.8221729397773743,-0.0031651836053545896,0.024637858072916668,0.0001,0.005144307,0.2,-4.878371744354566
2902,32,0.7267099,270,4825088,18.26285743713379,0.503796249628067,140.3868758837382,2160,0.8251319527626038,-0.004493690742431985,0.04479166666666667,0.0001,0.006494572,0.2,-4.883775451779366
2991,33,0.83873576,271,4849664,139.47254943847656,0.34243667125701904,231.7660777171453,2170,0.8224965333938599,-0.005183682620311932,0.04072265625,0.0001,0.0052570067,0.2,-4.886845228075981
3083,34,0.62274474,270,4874240,175.85475158691406,0.04112881422042847,311.556430653731,2180,0.8206337094306946,-0.0035047213993190476,0.05846354166666667,0.0001,0.0069419923,0.2,-4.873962530493737
3174,35,0.66771287,270,4898816,382.0225830078125,0.2768099904060364,497.00064573287966,2190,0.820886492729187,-0.0033604498326894826,0.029691569010416665,0.0001,0.005151289,0.2,-4.8698088785012565
3275,36,0.58446234,270,4923392,25.010705947875977,0.5130153894424438,138.15006634791692,2200,0.8189675211906433,-0.004011621581351695,0.055558268229166666,0.0001,0.007720889,0.2,-4.866129451990128
3377,37,0.74615556,269,4947968,18.01243782043457,0.3934693932533264,116.59417930046718,2210,0.8151631951332092,-0.005342054173039893,0.065771484375,0.0001,0.007201171,0.2,-4.851191598176956
3478,38,0.57406133,268,4972544,19.591718673706055,0.5791573226451874,116.40992539723715,2220,0.8111274242401123,-0.004536316756275483,0.04965006510416667,0.0001,0.006616713,0.2,-4.832279852032661
3580,39,0.6714792,267,4997120,18.161693572998047,0.2792873978614807,109.41029448111853,2230,0.8082568645477295,-0.006136732660525013,0.06653238932291666,0.0001,0.0069025974,0.2,-4.815238111217817
3687,40,0.62545055,266,5021696,42.41765594482422,0.3907355070114136,152.59304433663686,2240,0.8093353509902954,-0.006026012758472158,0.05203450520833333,0.0001,0.0067469147,0.2,-4.81079315841198
3791,41,0.61140454,265,5046272,134.80088806152344,0.5205589532852173,181.1987702846527,2250,0.8079812526702881,-0.005388282671143922,0.03616943359375,0.0001,0.005796906,0.2,-4.8097831805547075
