time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,time/fps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction
2031616,32,-2648.509963989258,1,498,,,,,,,,,,,
2048000,57,-3254.6718139648438,2,565,0.2,5016.258666229248,878.029052734375,-5.290032023191452,0.00874266,0.001,0.15396356582641602,-0.006497344921081094,0.919492244720459,1240,0.1345458984375
2064384,82,-2655.8893432617188,3,593,0.2,3335.0219524383547,919.516845703125,-5.271784409880638,0.009568031,0.001,0.3691038489341736,-0.008059471237356775,0.9160523414611816,1250,0.123114013671875
2080768,107,-3077.8094482421875,4,606,0.2,5010.3345760345455,2293.448974609375,-5.241026963293552,0.009891769,0.001,0.572751373052597,-0.008328500611241907,0.9088989496231079,1260,0.1217041015625
2097152,136,-2393.8138275146484,5,602,0.2,3573.924757385254,1135.502685546875,-5.219556069374084,0.008318678,0.001,0.5610212683677673,-0.009040374516189331,0.904529333114624,1270,0.09051513671875
2113536,164,-3144.6996154785156,6,598,0.2,3497.4677764892576,1294.06298828125,-5.182580158114433,0.009003771,0.001,0.5838953852653503,-0.00766061732720118,0.8937914371490479,1280,0.104473876953125
2129920,189,-2494.8073120117188,7,604,0.2,4418.4939037323,1203.6624755859375,-5.145735615491867,0.008122346,0.001,0.5887386798858643,-0.008346808884380153,0.8871724605560303,1290,0.102520751953125
2146304,215,-2598.357666015625,8,608,0.2,4329.208085632325,1934.887939453125,-5.112980970740319,0.00822058,0.001,0.6434389054775238,-0.008212928140710573,0.8797156810760498,1300,0.096002197265625
2162688,240,-2683.4979705810547,9,612,0.2,3075.7762897491457,950.7777099609375,-5.09330947548151,0.008303134,0.001,0.6547686755657196,-0.008097273779276293,0.8768311142921448,1310,0.09510498046875
2179072,267,-2681.9085540771484,10,613,0.2,1880.7084789276123,508.0835876464844,-5.089387507736683,0.008983249,0.001,0.6906383037567139,-0.009069561334035825,0.8777538537979126,1320,0.10648193359375
2195456,292,-2787.1961059570312,11,615,0.2,3293.1336894989013,999.52392578125,-5.080764597654342,0.006704207,0.001,0.74623042345047,-0.0076544251911400355,0.8751637935638428,1330,0.0821533203125
2211840,319,-2239.39013671875,12,615,0.2,2649.8204120635987,543.08935546875,-5.075000801682473,0.008645576,0.001,0.6874684691429138,-0.00839154724526452,0.8743195533752441,1340,0.1006103515625
2228224,345,-2587.72900390625,13,617,0.2,2391.325831794739,526.9837036132812,-5.0602431267499925,0.009157131,0.001,0.69272181391716,-0.008882619393989443,0.8700908422470093,1350,0.0982177734375
2244608,371,-2478.5955200195312,14,617,0.2,2327.1557828903196,854.9270629882812,-5.037560488283634,0.009333484,0.001,0.7435410022735596,-0.0076854244376590945,0.8630753755569458,1360,0.102081298828125
2260992,397,-2314.523712158203,15,618,0.2,2200.4436002731322,775.7825927734375,-5.0090283557772635,0.00871901,0.001,0.8120216429233551,-0.007993705262197181,0.8585776090621948,1370,0.1000732421875
2277376,424,-2164.9693603515625,16,617,0.2,2156.1712255477905,622.1004028320312,-4.9790778934955595,0.009610729,0.001,0.7543150037527084,-0.008072478695248719,0.8503574132919312,1380,0.109429931640625
2293760,451,-2553.6838989257812,17,617,0.2,1815.2811714172362,420.6672668457031,-4.944851069152355,0.008546096,0.001,0.8123300522565842,-0.0067951865625218485,0.8435579538345337,1390,0.097821044921875
2310144,478,-2201.9405670166016,18,616,0.2,2704.4136032104493,1102.1951904296875,-4.919678054749966,0.008305866,0.001,0.7518157064914703,-0.007834190172434318,0.8404923677444458,1400,0.0982666015625
2326528,505,-2195.702606201172,19,616,0.2,1701.17023601532,631.002197265625,-4.911273576319218,0.00951572,0.001,0.7894191145896912,-0.006942421786516206,0.8385090827941895,1410,0.1057373046875
2342912,532,-2201.382308959961,20,615,0.2,1785.5181413650512,460.498291015625,-4.8947122424840925,0.008492267,0.001,0.8044367134571075,-0.007588715849851724,0.8345614671707153,1420,0.094610595703125
2359296,558,-2283.784439086914,21,615,0.2,2112.0973949432373,560.4468994140625,-4.869562742114067,0.007902648,0.001,0.8114710301160812,-0.005885587686498184,0.8273601531982422,1430,0.08079833984375
2375680,585,-2250.1127166748047,22,615,0.2,2015.074995803833,491.92730712890625,-4.849148078262806,0.008374991,0.001,0.7689490467309952,-0.00739320542634232,0.8238918781280518,1440,0.0993408203125
2392064,612,-2297.4407958984375,23,614,0.2,1556.3762193679809,451.96258544921875,-4.835381287336349,0.009063491,0.001,0.7509671598672867,-0.00712518660366186,0.8214846253395081,1450,0.0953125
2408448,640,-2248.815673828125,24,614,0.2,1689.5332591056824,511.53533935546875,-4.819537614285946,0.008850258,0.001,0.8573595285415649,-0.007371859021804994,0.8177379369735718,1460,0.108856201171875
2424832,667,-2101.351104736328,25,613,0.2,1612.0802185058594,518.1047973632812,-4.801768717169762,0.008947109,0.001,0.8453542292118073,-0.00608912175957812,0.8145914077758789,1470,0.09405517578125
2441216,694,-2212.0941467285156,26,612,0.2,1555.5122819900512,631.3935546875,-4.786878870427609,0.009259179,0.001,0.8121043294668198,-0.006568821736436803,0.809415340423584,1480,0.1052734375
2457600,722,-2212.9783935546875,27,611,0.2,1248.1620748519897,172.9136962890625,-4.761614011228085,0.0106142135,0.001,0.8148340284824371,-0.006755754154437454,0.8054858446121216,1490,0.12618408203125
2473984,750,-2124.1844024658203,28,611,0.2,1693.3753787994385,374.7370910644531,-4.745585022866726,0.008509387,0.001,0.8069895803928375,-0.0076712263529771,0.8013607263565063,1500,0.107696533203125
2490368,778,-2156.521041870117,29,610,0.2,1254.4042534828186,167.62989807128906,-4.723983451724052,0.009720731,0.001,0.81570865213871,-0.005671092486591078,0.797379732131958,1510,0.121923828125
2506752,805,-2201.584457397461,30,609,0.2,1607.7910624504088,410.3902282714844,-4.707749350368976,0.008734854,0.001,0.6589970290660858,-0.006417593627702445,0.7955386638641357,1520,0.11007080078125
2523136,833,-2424.236602783203,31,609,0.2,1248.7051840782165,383.41961669921875,-4.686852049827576,0.009712303,0.001,0.8489246964454651,-0.006540252382546896,0.7914543747901917,1530,0.10804443359375
2539520,861,-2121.897705078125,32,608,0.2,1531.7429613113404,363.431396484375,-4.671452248096466,0.009754163,0.001,0.8044413328170776,-0.007366260840353789,0.7890905141830444,1540,0.10924072265625
2555904,888,-2445.9390869140625,33,608,0.2,1194.259077644348,372.5830078125,-4.656677238643169,0.0092323795,0.001,0.8319406360387802,-0.006088724287110381,0.7846271395683289,1550,0.111639404296875
2572288,915,-1927.145248413086,34,608,0.2,1276.8025212287903,383.2793273925781,-4.621339023113251,0.009866007,0.001,0.8227594196796417,-0.005644495171145536,0.7786629796028137,1560,0.111810302734375
2588672,943,-2008.660873413086,35,607,0.2,837.6019923210144,188.19842529296875,-4.610026422142982,0.010747739,0.001,0.8547126054763794,-0.004318399732437683,0.7791996598243713,1570,0.118194580078125
2605056,970,-2070.6476287841797,36,607,0.2,1028.042608165741,314.810302734375,-4.601488700509071,0.009294556,0.001,0.8408390432596207,-0.006254327249189373,0.7763829827308655,1580,0.117620849609375
2621440,998,-1957.2401733398438,37,607,0.2,1021.0655761241912,225.759521484375,-4.583000685274601,0.009512707,0.001,0.8507274240255356,-0.006329481635475531,0.7730717062950134,1590,0.119329833984375
2637824,1025,-2433.173095703125,38,606,0.2,934.7274108886719,243.68017578125,-4.555290079116821,0.01091301,0.001,0.8222177773714066,-0.0050656210878514685,0.7670964002609253,1600,0.130926513671875
2654208,1054,-1902.9730987548828,39,605,0.2,1315.4046844482423,663.70849609375,-4.531673838198185,0.009946427,0.001,0.855535551905632,-0.006299111728731077,0.763649046421051,1610,0.129052734375
2670592,1082,-2262.245880126953,40,605,0.2,1072.4622626304626,227.32736206054688,-4.509013402462005,0.010699878,0.001,0.8227531611919403,-0.006787157781946007,0.759177565574646,1620,0.142779541015625
2686976,1109,-2022.1602783203125,41,605,0.2,892.5916595458984,142.5702362060547,-4.490733969211578,0.010318281,0.001,0.8728363960981369,-0.007167958126228768,0.757756233215332,1630,0.119232177734375
2703360,1136,-2201.6605072021484,42,605,0.2,937.6498873710632,327.50177001953125,-4.473712146282196,0.01031287,0.001,0.8661904036998749,-0.006901300403114874,0.754120945930481,1640,0.135284423828125
2719744,1163,-1752.9542388916016,43,605,0.2,882.7666637420655,307.76873779296875,-4.4426290661096575,0.011290148,0.001,0.7998214364051819,-0.005680235307227122,0.7477299571037292,1650,0.14410400390625
2736128,1190,-1935.3856048583984,44,605,0.2,1011.8721409797669,425.8225402832031,-4.41275799870491,0.011441305,0.001,0.8175831884145737,-0.007597223548509646,0.7429521679878235,1660,0.1361083984375
2752512,1218,-1703.4102478027344,45,605,0.2,858.6692092895507,147.92083740234375,-4.39262618124485,0.009595011,0.001,0.8638282865285873,-0.004691332592483377,0.7398617267608643,1670,0.120941162109375
2768896,1245,-2106.152359008789,46,604,0.2,887.7932185173034,153.42445373535156,-4.365744486451149,0.0109535,0.001,0.823840856552124,-0.004634269038797356,0.7352311611175537,1680,0.137225341796875
2785280,1273,-1929.4266357421875,47,604,0.2,699.1621255397797,178.8924102783203,-4.3450877457857136,0.013332197,0.001,0.875000610947609,-0.0045747585296339825,0.7320824265480042,1690,0.1546875
2801664,1301,-1820.002700805664,48,604,0.2,1007.1160397529602,358.9435729980469,-4.336172434687614,0.012041239,0.001,0.8096433281898499,-0.0061216544316266665,0.7310813665390015,1700,0.14508056640625
2818048,1329,-2062.942901611328,49,603,0.2,827.204011631012,269.14141845703125,-4.307737319171428,0.011859201,0.001,0.8582978397607803,-0.005889884989301208,0.7248284220695496,1710,0.1407958984375
2834432,1357,-1835.0147705078125,50,603,0.2,834.0015542984008,239.65472412109375,-4.288742381334305,0.014117554,0.001,0.8543391972780228,-0.004786276513186749,0.7229398488998413,1720,0.16806640625
2850816,1384,-2034.2017211914062,51,603,0.2,831.2504293441773,161.7274627685547,-4.254017387330532,0.01477309,0.001,0.8440502882003784,-0.0046394286240683865,0.7151278853416443,1730,0.157403564453125
2867200,1412,-1861.6279296875,52,603,0.2,780.0158702850342,132.2580108642578,-4.218626792728901,0.012818843,0.001,0.8747668713331223,-0.00680371790076606,0.7105675339698792,1740,0.161590576171875
2883584,1439,-1851.5409545898438,53,603,0.2,902.7450563907623,266.5502624511719,-4.2097371309995655,0.014514474,0.001,0.8318885862827301,-0.006167865345923928,0.7096045017242432,1750,0.15906982421875
2899968,1467,-1873.619369506836,54,602,0.2,833.9250628948212,206.08743286132812,-4.18696539402008,0.012589076,0.001,0.8191295564174652,-0.0047539927996695045,0.7052745819091797,1760,0.16591796875
2916352,1495,-1921.2383728027344,55,602,0.2,742.4574499607086,168.0303955078125,-4.182763068377971,0.012143763,0.001,0.861694261431694,-0.00461162321807933,0.706845760345459,1770,0.169097900390625
2932736,1522,-1618.9226837158203,56,602,0.2,813.599761390686,137.09942626953125,-4.169659850001335,0.01377408,0.001,0.8756417855620384,-0.005455009217985207,0.7042237520217896,1780,0.16126708984375
2949120,1549,-1716.9999542236328,57,602,0.2,896.8385676383972,260.63238525390625,-4.15242022126913,0.010419915,0.001,0.8625643104314804,-0.006987254687555833,0.7005521059036255,1790,0.148248291015625
2965504,1577,-1760.7904510498047,58,602,0.2,674.9131862163543,190.81356811523438,-4.132917973399162,0.012140434,0.001,0.8093523383140564,-0.003997288278333145,0.69623863697052,1800,0.1615234375
