time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1659,0.11157533,1,35127296,236,,,,,,,,,,,
1577,0.075186454,2,35520512,498,-3.5383044479414822,0.0001,1910,77.1559066772461,0.5866037607192993,0.2,-0.002175636054592663,0.08877402544021606,292.9921069880327,0.06832300821940104,0.0069300435
1551,0.07608917,3,35913728,760,-3.5359799542774755,0.0001,1920,186.026123046875,0.5859822034835815,0.2,-0.0024534364124519925,0.1331617832183838,369.01806363662087,0.05414301554361979,0.0059116036
