rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
1.3097588,,,,,,,,,,,,,,,
0.5474032,,,,,,,,,,,,,,,
,1003520,195,10,1,,,,,,,,,,,
0.37461197,,,,,0.0001,1320.1019287109375,0.20141035318374634,0.0017525731353089213,1.0150959491729736,0.0018092743,0.002001953125,4900,-5.735555863380432,0.2,3723.213739013672
0.44475558,,,,,,,,,,,,,,,
,1005568,194,21,2,,,,,,,,,,,
0.40022534,,,,,0.0001,33351.4453125,0.06514286994934082,-0.00020418872591108084,1.0150997638702393,8.167623e-05,0.0,4910,-5.735597944259643,0.2,58216.8142578125
0.50912064,,,,,,,,,,,,,,,
,1007616,193,31,3,,,,,,,,,,,
0.9417746,,,,,0.0001,89.98149108886719,0.7562694549560547,-0.0014124732930213212,1.0151036977767944,0.0009156436,9.765625e-05,4920,-5.735600161552429,0.2,202.08243713378906
1.2471517,,,,,,,,,,,,,,,
,1009664,195,42,4,,,,,,,,,,,
0.40365303,,,,,0.0001,16787.1015625,0.08174699544906616,-0.002368225727695972,1.0151116847991943,0.001494615,0.000537109375,4930,-5.73563027381897,0.2,33604.63525390625
0.94766784,,,,,,,,,,,,,,,
,1011712,194,52,5,,,,,,,,,,,
1.003134,,,,,0.0001,61.02007293701172,0.7050380110740662,-0.0023467128863558172,1.0151431560516357,0.001859017,0.001806640625,4940,-5.735689425468445,0.2,139.82138290405274
0.50549626,,,,,,,,,,,,,,,
,1013760,194,63,6,,,,,,,,,,,
0.6077977,,,,,0.0001,124.47432708740234,0.5949468612670898,-0.000534154090564698,1.0151642560958862,0.00059415214,0.0,4950,-5.735798668861389,0.2,341.92798004150393
0.2766494,,,,,,,,,,,,,,,
,1015808,194,73,7,,,,,,,,,,,
1.8053054,,,,,0.0001,8083.296875,0.0649074912071228,-0.0003023301251232624,1.0151846408843994,7.9055986e-05,0.0,4960,-5.735905504226684,0.2,15634.270947265624
0.34215614,,,,,,,,,,,,,,,
,1017856,194,84,8,,,,,,,,,,,
0.27477512,,,,,0.0001,103.65882110595703,0.8510931432247162,-0.0016214252216741442,1.0151854753494263,0.0017448498,0.001708984375,4970,-5.735963773727417,0.2,237.9078285217285
0.6722081,,,,,,,,,,,,,,,
,1019904,194,94,9,,,,,,,,,,,
0.6278762,,,,,0.0001,16657.06640625,0.08985263109207153,-0.0009191230637952685,1.0151605606079102,0.00044679706,0.0,4980,-5.735886430740356,0.2,34539.54208984375
0.41168705,,,,,,,,,,,,,,,
,1021952,194,105,10,,,,,,,,,,,
0.7803594,,,,,0.0001,11.467544555664062,0.8436611443758011,-0.004406084364745766,1.0150277614593506,0.009316359,0.036767578125,4990,-5.735657167434693,0.2,43.28485627174378
1.100294,,,,,,,,,,,,,,,
,1024000,194,115,11,,,,,,,,,,,
0.66661376,,,,,0.0001,1536.5501708984375,0.27293431758880615,-0.0019057958852499723,1.0150244235992432,0.0014258702,0.00048828125,5000,-5.735254549980164,0.2,4177.511730957031
0.48483908,,,,,,,,,,,,,,,
,1026048,194,126,12,,,,,,,,,,,
0.38760415,,,,,0.0001,41.27277374267578,0.7374736666679382,-0.00018429365009069442,1.0150402784347534,0.00015883791,0.0,5010,-5.735349869728088,0.2,141.43048706054688
0.46420023,,,,,,,,,,,,,,,
,1028096,194,136,13,,,,,,,,,,,
0.7842672,,,,,0.0001,13.816927909851074,0.8647812902927399,-0.0028747676173225046,1.0149168968200684,0.0023622136,0.0013671875,5020,-5.735247540473938,0.2,37.81165132522583
0.37743837,,,,,,,,,,,,,,,
,1030144,194,147,14,,,,,,,,,,,
0.4865386,,,,,0.0001,12.418159484863281,0.7697067260742188,-0.002746899891644716,1.0149986743927002,0.006186722,0.017578125,5030,-5.734834027290344,0.2,23.602113032341002
0.7853807,,,,,,,,,,,,,,,
,1032192,194,157,15,,,,,,,,,,,
