time/fps,rew_vec_envs,time/time_elapsed,time/total_timesteps,time/iterations,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/entropy_loss,train/loss,train/std,train/clip_range,train/value_loss
800,36.02040048968047,81,2162688,1,,,,,,,,,,,
883,30.785124752670527,148,2228224,2,0.040327735,0.31306304931640627,0.001,0.8700398951768875,-0.010395367833189085,330,-4.707387829199433,3.051670551300049,0.7866335511207581,0.2,30.591197623685
911,41.1474032998085,215,2293760,3,0.051785275,0.35807647705078127,0.001,0.8142010271549225,-0.009990531428229588,340,-4.6481252435594795,3.9267027378082275,0.778243899345398,0.2,24.813048100471498
926,28.709447889588773,282,2359296,4,0.040502,0.30145416259765623,0.001,0.8421787768602371,-0.012049060317804106,350,-4.622288018092513,8.147527694702148,0.7733237743377686,0.2,33.660885247588155
933,41.33221311122179,351,2424832,5,0.03840228,0.291912841796875,0.001,0.8642055541276932,-0.01170503987941629,360,-4.5914921928197145,6.2276482582092285,0.7705996036529541,0.2,38.75062614865601
936,24.495519306510687,419,2490368,6,0.044857144,0.3100738525390625,0.001,0.8396031260490417,-0.012500059298145062,370,-4.56281898804009,6.447895526885986,0.7654029726982117,0.2,52.822061245143416
941,39.01819025725126,487,2555904,7,0.045808747,0.31570281982421877,0.001,0.8330744355916977,-0.012002662362647243,380,-4.540751076862216,6.049986839294434,0.760482907295227,0.2,51.03630302324891
943,25.135434109717607,555,2621440,8,0.040056467,0.29919586181640623,0.001,0.8499161303043365,-0.012135394391407317,390,-4.510695879161358,13.339849472045898,0.7542085647583008,0.2,53.48932523354888
943,38.39205740392208,625,2686976,9,0.038977847,0.29103851318359375,0.001,0.8463282883167267,-0.012288728307066777,400,-4.485043103992939,9.800975799560547,0.7492623329162598,0.2,67.02137380316853
944,53.57523222267628,693,2752512,10,0.03803572,0.27402496337890625,0.001,0.8586035668849945,-0.013243300863359763,410,-4.4611360624432566,11.048452377319336,0.7461225986480713,0.2,72.42681590914727
945,38.70879174396396,762,2818048,11,0.03738808,0.282489013671875,0.001,0.8417670428752899,-0.013439086650942044,420,-4.442200120538473,22.01839828491211,0.7426837682723999,0.2,85.03951193392277
946,29.650444217026234,831,2883584,12,0.039613,0.290264892578125,0.001,0.8208008259534836,-0.011801834507241437,430,-4.422672699019313,17.591508865356445,0.7376772165298462,0.2,80.67833033055066
946,53.36317052692175,900,2949120,13,0.047185913,0.3319976806640625,0.001,0.8324093371629715,-0.012226809281673922,440,-4.388699158653617,10.541950225830078,0.7314692139625549,0.2,68.03120221123099
947,28.935475887730718,968,3014656,14,0.038656265,0.288262939453125,0.001,0.8365467339754105,-0.013056115826657333,450,-4.354019815474748,10.323945045471191,0.726876437664032,0.2,80.48313530087471
946,53.95484209060669,1039,3080192,15,0.039371822,0.3076019287109375,0.001,0.8560398668050766,-0.013294172421956319,460,-4.321835070475936,10.689605712890625,0.7213493585586548,0.2,76.10774696022273
944,89.56147535145283,1109,3145728,16,0.0364309,0.28417510986328126,0.001,0.8444255441427231,-0.014797038619690284,470,-4.28515336252749,30.519086837768555,0.7140135169029236,0.2,119.56368740200996
944,40.32295177876949,1179,3211264,17,0.0399254,0.311083984375,0.001,0.8638841956853867,-0.01372071990990662,480,-4.2454199906438586,11.49645709991455,0.7103499174118042,0.2,93.626579131186
944,48.575152173638344,1248,3276800,18,0.039767385,0.298724365234375,0.001,0.8444240093231201,-0.014633493253495545,490,-4.227975421398878,26.13774299621582,0.7053850889205933,0.2,102.53695244193077
944,36.31471565365791,1319,3342336,19,0.03812773,0.29619903564453126,0.001,0.8583847284317017,-0.01381820493588748,500,-4.192770540714264,16.781234741210938,0.6998099684715271,0.2,107.21708128750325
942,69.11221309006214,1390,3407872,20,0.04633071,0.3270233154296875,0.001,0.8510286957025528,-0.012400308430733276,510,-4.181123903393745,9.460599899291992,0.7012686729431152,0.2,91.76859150230885
942,70.58487993478775,1460,3473408,21,0.03926578,0.2960968017578125,0.001,0.8457978814840317,-0.0148774678218615,520,-4.168845804035664,19.44416046142578,0.6943339705467224,0.2,121.83662091642618
941,84.27995830774307,1531,3538944,22,0.040310867,0.3023681640625,0.001,0.8523992002010345,-0.014153226703456312,530,-4.148730231076479,25.176387786865234,0.6889606714248657,0.2,118.48381807655096
940,69.33522634208202,1602,3604480,23,0.04256447,0.3087066650390625,0.001,0.8346664756536484,-0.014201324972964358,540,-4.12124190852046,13.014158248901367,0.6872726678848267,0.2,122.74581630676985
940,35.954370172694325,1672,3670016,24,0.043830227,0.3226531982421875,0.001,0.8513597548007965,-0.013886462869413663,550,-4.0884776130318645,20.80621337890625,0.6809343099594116,0.2,115.64989959746599
939,86.37104992568493,1744,3735552,25,0.042098656,0.3183990478515625,0.001,0.8428851962089539,-0.014121442257237504,560,-4.050976385176182,19.952421188354492,0.6755639314651489,0.2,123.58690897673368
938,73.74777323240414,1814,3801088,26,0.0453777,0.32598876953125,0.001,0.847658321261406,-0.013329734385479242,570,-4.018461705371737,28.728303909301758,0.6711227893829346,0.2,116.98062443584203
937,51.40704579651356,1888,3866624,27,0.051732436,0.3464447021484375,0.001,0.8599756062030792,-0.012415255479572807,580,-3.9930549927055834,27.85430145263672,0.6663286685943604,0.2,125.65042433142662
936,109.3008616194129,1959,3932160,28,0.042163163,0.310272216796875,0.001,0.8603387922048569,-0.0136140301658088,590,-3.980714645422995,28.188459396362305,0.6651279926300049,0.2,133.73048547804356
935,77.69979824498296,2032,3997696,29,0.045332003,0.31634521484375,0.001,0.8475754112005234,-0.013282921587415331,600,-3.9605161286890507,21.219879150390625,0.6616998910903931,0.2,137.51169959008695
934,52.92773751914501,2104,4063232,30,0.047675624,0.330078125,0.001,0.8700293749570847,-0.013447304881628952,610,-3.9428228065371513,27.494657516479492,0.6600043773651123,0.2,119.83598664849997
933,60.73844902217388,2176,4128768,31,0.049707152,0.34079132080078123,0.001,0.8615466058254242,-0.013081278905701765,620,-3.9174124581739305,18.45937156677246,0.6531236171722412,0.2,114.19603022187948
933,65.3174113035202,2247,4194304,32,0.04709056,0.3250335693359375,0.001,0.8702505826950073,-0.01411540607441566,630,-3.8772735061123966,19.57176399230957,0.6491988897323608,0.2,126.71857351660728
