time/total_timesteps,time/iterations,rew_vec_envs,time/fps,time/time_elapsed,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,train/loss,train/clip_range
34439168,1,4.793862,1501,65,,,,,,,,,,,
34537472,2,2.0406725,1514,129,0.05864359537760417,-0.0033337051679457846,0.006876142,-1.4550078245500724,1118.9384202639262,0.833738699555397,0.0001,0.35008156299591064,8350,369.43023681640625,0.2
34635776,3,2.8543708,1506,195,0.0531524658203125,-0.0029888970819835475,0.0059832833,-1.4501509837806226,1450.755410861969,0.8087098300457001,0.0001,0.34977206587791443,8360,412.2823486328125,0.2
34734080,4,1.4331356,1495,262,0.06353963216145833,-0.002824776665511308,0.006817401,-1.446352480414013,1202.7331456343334,0.8214014172554016,0.0001,0.3495427966117859,8370,289.265380859375,0.2
34832384,5,4.3137975,1496,328,0.06314798990885416,-0.003624773919849152,0.0068402127,-1.4414437346160411,1131.692991701762,0.8329517692327499,0.0001,0.3489128053188324,8380,403.02508544921875,0.2
34930688,6,2.166501,1497,393,0.06281636555989584,-0.0033424618775219034,0.0069212676,-1.4286481375495592,1229.7843719800314,0.8192572444677353,0.0001,0.34733110666275024,8390,384.14642333984375,0.2
35028992,7,1.1714287,1497,459,0.05843912760416667,-0.003411960945535005,0.006672127,-1.4165202716365457,1281.302052116394,0.8236449211835861,0.0001,0.3467676043510437,8400,338.42926025390625,0.2
35127296,8,1.5123707,1496,525,0.05749715169270833,-0.003348813027575185,0.00645618,-1.4064383953809738,1360.3088844299316,0.7985629290342331,0.0001,0.3454953134059906,8410,306.10528564453125,0.2
35225600,9,1.790243,1498,590,0.05666910807291667,-0.0028187572164218486,0.006493135,-1.3915946817025542,1355.9788729031882,0.8269574642181396,0.0001,0.3441200852394104,8420,473.1266174316406,0.2
35323904,10,3.1665242,1500,654,0.06389363606770833,-0.00326175815462193,0.0068123173,-1.3767712558309237,1097.4374710718791,0.8035759925842285,0.0001,0.3430231213569641,8430,417.0873718261719,0.2
35422208,11,2.429048,1498,721,0.06015828450520833,-0.00328516028021113,0.0069488673,-1.3648548357188701,1316.5386431852976,0.8208872824907303,0.0001,0.34229061007499695,8440,365.0198059082031,0.2
