rew_vec_envs,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/value_loss,train/loss
0.47966143,727,33,1,1040384,,,,,,,,,,,
0.454788,828,59,2,1064960,-0.00285709058662178,0.0046092183,0.019547526041666666,0.3666608929634094,0.971043586730957,630,-5.555691398183504,0.2,0.0001,193.2460473994414,98.0759048461914
0.48947397,876,84,3,1089536,-0.0023110236341987427,0.0046095154,0.02559814453125,0.4271218180656433,0.9701353311538696,640,-5.553651075561842,0.2,0.0001,165.53239819407463,28.504165649414062
0.4329668,897,109,4,1114112,-0.0026144246774492787,0.004199454,0.020328776041666666,0.38493239879608154,0.968502402305603,650,-5.549548302094141,0.2,0.0001,213.67050569852194,76.01971435546875
0.52130514,912,134,5,1138688,-0.002079420266575956,0.0038860452,0.017333984375,0.3592528700828552,0.9658445119857788,660,-5.538923148314158,0.2,0.0001,199.4090420047442,31.798904418945312
0.57576936,921,160,6,1163264,-0.0024651045707287265,0.0039360686,0.015409342447916667,0.3916885256767273,0.9678277969360352,670,-5.535926777124405,0.2,0.0001,231.37286817232768,157.0227508544922
1.3081594,926,185,7,1187840,-0.0028132631521051127,0.0031758714,0.01990966796875,0.5320982336997986,0.9674631357192993,680,-5.541284011801084,0.2,0.0001,153.76925338506697,26.000133514404297
0.7197818,933,210,8,1212416,-0.0027389399241656066,0.0034442309,0.01240234375,0.39149606227874756,0.9652165174484253,690,-5.536408017079036,0.2,0.0001,360.9111395597458,31.194904327392578
0.5379637,938,235,9,1236992,-0.002726272433452929,0.003990371,0.017740885416666668,0.4851202964782715,0.9667657017707825,700,-5.533055328329405,0.2,0.0001,252.8378350933393,59.777305603027344
0.7688466,943,260,10,1261568,-0.0021983933896990494,0.0038084846,0.020674641927083334,0.25432151556015015,0.9680994749069214,710,-5.538926936189333,0.2,0.0001,360.1816749016444,20.836959838867188
0.52729064,947,285,11,1286144,-0.0031905682806003216,0.004602505,0.02325439453125,0.43325507640838623,0.9680389165878296,720,-5.544490828116735,0.2,0.0001,153.75727924108506,21.295642852783203
0.52887875,952,309,12,1310720,-0.0037929325165653913,0.005220263,0.03307291666666667,0.37470394372940063,0.9655656814575195,730,-5.538749784231186,0.2,0.0001,172.84176567792892,61.49467849731445
1.0971644,954,334,13,1335296,-0.002747764013474807,0.003928682,0.015665690104166668,0.32134199142456055,0.9610421657562256,740,-5.523795538147291,0.2,0.0001,288.402764471372,228.6569366455078
0.5506022,957,359,14,1359872,-0.0037761366736958736,0.005242706,0.036027018229166666,0.34750896692276,0.9612212777137756,750,-5.512384218970935,0.2,0.0001,79.02544330755869,9.250367164611816
0.625924,960,383,15,1384448,-0.002378213905224887,0.0037920028,0.012089029947916666,0.19615119695663452,0.9604180455207825,760,-5.514265439907709,0.2,0.0001,188.77070921460788,60.775062561035156
0.536201,961,408,16,1409024,-0.0026581596005902006,0.0037371907,0.0201904296875,0.4456615447998047,0.9596320986747742,770,-5.509359129269918,0.2,0.0001,221.10144140720368,181.912353515625
1.334107,964,433,17,1433600,-0.0020128041457307213,0.0031583242,0.011714680989583334,0.38187968730926514,0.956993579864502,780,-5.502402391036352,0.2,0.0001,153.18415701389313,58.38554000854492
0.5539258,967,457,18,1458176,-0.0030063486012901802,0.0039310404,0.018570963541666666,0.19796228408813477,0.9565615653991699,790,-5.495145447055498,0.2,0.0001,531.4640139261882,146.20071411132812
0.4774696,970,481,19,1482752,-0.0031081539438067313,0.0041551623,0.028971354166666668,0.14499330520629883,0.9572287201881409,800,-5.496254865328471,0.2,0.0001,198.01549400488537,19.020750045776367
0.85852367,973,505,20,1507328,-0.0034420204254274724,0.004678965,0.02669677734375,0.4159966707229614,0.9568876028060913,810,-5.49654024541378,0.2,0.0001,275.734360174338,16.471179962158203
0.4604572,975,529,21,1531904,-0.0029606272607149244,0.003194481,0.018269856770833332,0.1445731520652771,0.954124927520752,820,-5.492294710874558,0.2,0.0001,167.652201072375,100.33020782470703
0.56412894,977,553,22,1556480,-0.002457612218374076,0.003936898,0.018192545572916666,0.12392693758010864,0.952799379825592,830,-5.482554765542348,0.2,0.0001,308.4885891437531,214.72108459472656
0.4354622,978,577,23,1581056,-0.0028552477679719837,0.0046112374,0.024540201822916666,0.48906320333480835,0.9523853063583374,840,-5.478994529445966,0.2,0.0001,183.750291510423,27.61970329284668
0.5380797,979,601,24,1605632,-0.004062791596030972,0.004996549,0.036421712239583334,0.7172353565692902,0.9492645859718323,850,-5.4706885268290835,0.2,0.0001,92.63001618186632,26.733610153198242
0.54749864,980,626,25,1630208,-0.003156990630183524,0.004952548,0.032430013020833336,0.4764063358306885,0.9506201148033142,860,-5.465594512224198,0.2,0.0001,336.2943717559179,50.13654327392578
0.6167359,980,651,26,1654784,-0.002400462280396217,0.003958486,0.0131591796875,0.4774603247642517,0.9504173994064331,870,-5.469050959746043,0.2,0.0001,256.58160953919094,37.34366989135742
0.40221465,981,675,27,1679360,-0.0025399959524899413,0.003781039,0.015889485677083332,0.2975526452064514,0.9512103199958801,880,-5.470803279678027,0.2,0.0001,376.7207331498464,183.26901245117188
0.4111375,982,700,28,1703936,-0.0026151176726367945,0.004256147,0.014554850260416667,0.3872942328453064,0.9507354497909546,890,-5.47089046438535,0.2,0.0001,316.9042098522186,88.92251586914062
