time/fps,rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/learning_rate,train/n_updates,train/loss,train/std,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl
1882,0.14391308,1,13205504,104,,,,,,,,,,,
1838,0.061465967,2,13402112,213,-4.826095236589511,0.0001,1080,62.64558029174805,0.8079074621200562,0.2,-0.0023970494017703458,0.237265944480896,210.6944980899493,0.04882354736328125,0.005566173
1812,0.07859081,3,13598720,325,-4.819353365153074,0.0001,1090,62.1243896484375,0.8066968321800232,0.2,-0.0026511437753166927,0.244584858417511,209.935044670105,0.035813395182291666,0.0052639586
1790,0.07249176,4,13795328,439,-4.804309692233801,0.0001,1100,60.40010070800781,0.8022208213806152,0.2,-0.002530367437126794,0.22085446119308472,232.0310940384865,0.050738016764322914,0.006224142
1769,0.09453207,5,13991936,555,-4.78339435433348,0.0001,1110,105.62352752685547,0.7988488674163818,0.2,-0.0022854275878065283,0.016459941864013672,291.3296544690927,0.04035542805989583,0.0051068068
1749,0.07818767,6,14188544,674,-4.771581002573172,0.0001,1120,92.28214263916016,0.7954329252243042,0.2,-0.0022399767227398114,0.2655792236328125,295.829220332702,0.0335784912109375,0.004854784
