rew_vec_envs,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/approx_kl,train/std,train/value_loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance
0.38423485,,,,,,,,,,,,,,,
0.43609878,,,,,,,,,,,,,,,
,788,1,41,1048576,,,,,,,,,,,
0.9473559,,,,,7.3259053230285645,0.2,0.004762631,0.9749962687492371,16.583754850924016,0.0360504150390625,320,0.0001,-5.568974816799164,-0.0029368358129431725,0.9588394351303577
1.1234114,,,,,,,,,,,,,,,
,937,2,69,1081344,,,,,,,,,,,
1.143281,,,,,2131.89892578125,0.2,0.005504055,0.9739554524421692,2112.059563982487,0.0428253173828125,330,0.0001,-5.5730560451745985,-0.0021521535942156333,0.471008837223053
1.0274508,,,,,,,,,,,,,,,
,1000,3,98,1114112,,,,,,,,,,,
1.1401768,,,,,11.449262619018555,0.2,0.005063665,0.973243236541748,29.326189363002776,0.0378173828125,340,0.0001,-5.5687156483531,-0.0024595231778221207,0.9531586989760399
0.9950275,,,,,,,,,,,,,,,
,1033,4,126,1146880,,,,,,,,,,,
0.67761946,,,,,86.74980926513672,0.2,0.004307864,0.9734073877334595,1271.7630672216414,0.0280670166015625,350,0.0001,-5.567276588082313,-0.0023913625424029305,0.7059780061244965
0.7833247,,,,,,,,,,,,,,,
,1051,5,155,1179648,,,,,,,,,,,
0.9727131,,,,,4348.3076171875,0.2,0.0044810893,0.9719816446304321,8618.838894557954,0.0234222412109375,360,0.0001,-5.565700343251228,-0.0015148003287322354,0.3144795894622803
1.1538817,,,,,,,,,,,,,,,
,1063,6,184,1212416,,,,,,,,,,,
1.290532,,,,,16.706214904785156,0.2,0.0039077383,0.9718658924102783,64.94584137797355,0.017584228515625,370,0.0001,-5.561634811758995,-0.0020061827199242543,0.9338003844022751
1.4789171,,,,,,,,,,,,,,,
,1072,7,213,1245184,,,,,,,,,,,
0.5151576,,,,,50.51318359375,0.2,0.005039879,0.9728515148162842,3474.7468948543074,0.0326416015625,380,0.0001,-5.56426028907299,-0.0017056889995728853,0.44076406955718994
0.76339287,,,,,,,,,,,,,,,
,1074,8,244,1277952,,,,,,,,,,,
