time/total_timesteps,rew_vec_envs,time/time_elapsed,time/fps,time/iterations,train/clip_fraction,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range
2064384,2557.145749807358,74,437,1,,,,,,,,,,,
2097152,3132.458074092865,133,490,2,0.037261962890625,0.001,582215.7917922974,0.007449597,0.5227905511856079,-3.0871274758130314,630,0.09126085042953491,-0.00399373208238103,137796.984375,0.2
2129920,155.0019387677312,191,514,3,0.0479736328125,0.001,442226.1787612915,0.00772537,0.5185854434967041,-3.059853022918105,640,0.06206250190734863,-0.003495305356045719,461320.125,0.2
2162688,1513.4318877458572,253,516,4,0.0287109375,0.001,489475.65223464963,0.005000579,0.5147490501403809,-3.028580744937062,650,0.037669479846954346,-0.0032244454851024784,565364.0,0.2
2195456,1244.9161372333765,317,516,5,0.03876953125,0.001,439734.2770881653,0.0060057337,0.5123357176780701,-3.0034902703016995,660,0.10732030868530273,-0.003972113805139088,160391.21875,0.2
2228224,163.75477361679077,381,515,6,0.0537139892578125,0.001,491811.2907295227,0.007899465,0.5096244812011719,-2.9841993644833567,670,0.028759002685546875,-0.003592279874283122,130656.3828125,0.2
2260992,1480.9280442595482,443,517,7,0.040997314453125,0.001,473762.20236968994,0.006241346,0.5063677430152893,-2.960568204894662,680,0.06947553157806396,-0.0038800368438387522,10620.671875,0.2
2293760,1119.927551984787,506,517,8,0.0453155517578125,0.001,235374.80660438538,0.006889358,0.5039253830909729,-2.9363401759415866,690,-0.06671404838562012,-0.003815602131362539,154809.53125,0.2
2326528,936.823308289051,567,519,9,0.038861083984375,0.001,339600.8123325348,0.0059836125,0.502330482006073,-2.9188818324357273,700,0.0696038007736206,-0.0031283598396839806,37874.66015625,0.2
2359296,198.1220873594284,626,522,10,0.0492584228515625,0.001,360712.7367637634,0.0075687943,0.4966013729572296,-2.8937500517815353,710,0.02639007568359375,-0.004113515327844652,73790.6171875,0.2
2392064,793.7082645893097,686,524,11,0.0520111083984375,0.001,200003.14243202208,0.007720351,0.4922957420349121,-2.8497735600918532,720,-0.0196000337600708,-0.004138207782307291,128427.015625,0.2
2424832,1942.356141090393,749,524,12,0.061395263671875,0.001,178522.4425819397,0.008400242,0.4908393919467926,-2.824537694081664,730,0.13884657621383667,-0.004394485744705889,227860.921875,0.2
2457600,2364.290274620056,807,527,13,0.0800750732421875,0.001,256169.7488609314,0.009740169,0.4871792793273926,-2.8036259677261115,740,-0.004054665565490723,-0.003417675489981775,17924.666015625,0.2
2490368,887.7972786426544,864,530,14,0.05919189453125,0.001,509231.0897544861,0.006808518,0.48537948727607727,-2.7808847524225713,750,-0.021483540534973145,-0.0032766519565484487,100242.625,0.2
2523136,330.17950838804245,915,536,15,0.0315216064453125,0.001,400302.6644470215,0.0055324193,0.48316699266433716,-2.7633286610245706,760,0.08771908283233643,-0.003199562016015989,258465.25,0.2
2555904,141.33896791934967,970,540,16,0.05357666015625,0.001,275873.1468025207,0.0072962297,0.4813257157802582,-2.7452272389084102,770,-0.0005273818969726562,-0.003952583451973623,2034.9351806640625,0.2
2588672,2208.0195636749268,1025,543,17,0.0851287841796875,0.001,142840.6835100174,0.010982988,0.4800189137458801,-2.7297522645443677,780,-0.07171511650085449,-0.004438608906275477,1131.329345703125,0.2
2621440,42.005883038043976,1080,545,18,0.0295257568359375,0.001,496544.2632736206,0.004905236,0.4791069030761719,-2.7238252338021995,790,5.364418029785156e-06,-0.002434584232105408,166851.859375,0.2
2654208,251.56306278705597,1133,549,19,0.035369873046875,0.001,444828.43530540465,0.006680535,0.47788944840431213,-2.713058020174503,800,0.12346988916397095,-0.003924021199418348,134383.640625,0.2
2686976,2262.981448173523,1193,549,20,0.0445648193359375,0.001,324883.87178268435,0.007046113,0.4746318459510803,-2.6969322856515645,810,-0.0323253870010376,-0.0037030091993074167,94537.1328125,0.2
2719744,1266.7906279563904,1247,551,21,0.03330078125,0.001,432052.6841812134,0.006645123,0.4720113277435303,-2.6707229990512134,820,0.007030010223388672,-0.0033302642361377364,43319.66796875,0.2
2752512,4386.703901410103,1298,555,22,0.0437713623046875,0.001,208562.10520820617,0.006070054,0.4700208902359009,-2.650013272836804,830,0.1222800612449646,-0.004142282310203882,87534.34375,0.2
2785280,1813.765905380249,1348,558,23,0.0681549072265625,0.001,327957.8321846008,0.009120754,0.46811413764953613,-2.6341753233224154,840,0.04477524757385254,-0.004061956592340721,74091.8671875,0.2
2818048,-46.55604064464569,1403,560,24,0.02738037109375,0.001,357230.3534324646,0.0050061704,0.46713900566101074,-2.621309245750308,850,-0.0004475116729736328,-0.0034372303820418893,49145.16015625,0.2
2850816,717.2435304224491,1460,560,25,0.0829620361328125,0.001,115596.90904865265,0.010569653,0.4665592908859253,-2.6122725166380407,860,-0.07855546474456787,-0.005100213966943557,7859.78173828125,0.2
2883584,366.7240011841059,1523,559,26,0.0572296142578125,0.001,234046.0781955719,0.0073648742,0.4646954834461212,-2.602534446492791,870,-0.010702848434448242,-0.003611595352413133,526309.625,0.2
2916352,927.093453168869,1595,554,27,0.0913116455078125,0.001,75218.94988594056,0.009224081,0.4609260559082031,-2.5751307532191277,880,-0.08068883419036865,-0.005890735676075565,993.0167846679688,0.2
2949120,1177.15307700634,1647,556,28,0.0705841064453125,0.001,164322.6953907013,0.00854338,0.45874619483947754,-2.5513739958405495,890,0.001497030258178711,-0.0037946272666886218,5915.7802734375,0.2
