rew_vec_envs,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
-91.19226431846619,16384,1,558,29,,,,,,,,,,,
-57.29391670227051,32768,2,625,52,0.2,56.10948155969381,-5.674262413382531,0.005276739597320557,0.9996622800827026,-0.0035593785672972445,13.158480644226074,10,0.009064355,0.001,0.114892578125
-49.62715172767639,49152,3,651,75,0.2,1.8107551792636514,-5.649806515872479,0.49610626697540283,0.9911335706710815,-0.009971573917209754,0.5366388559341431,20,0.013705039,0.001,0.152056884765625
-52.92026376724243,65536,4,655,100,0.2,4.371621288359165,-5.609476909041405,0.45012563467025757,0.9809459447860718,-0.010618709965638119,0.9653233289718628,30,0.011918428,0.001,0.150482177734375
-42.978806495666504,81920,5,663,123,0.2,2.659206075593829,-5.538478244841099,0.6758995056152344,0.9615092873573303,-0.013920062933539156,1.1429795026779175,40,0.015553363,0.001,0.164141845703125
-44.11693978309631,98304,6,672,146,0.2,2.9567370254546406,-5.490549154579639,0.7056570649147034,0.9502968788146973,-0.014979470564139775,0.9616353511810303,50,0.014443732,0.001,0.182781982421875
-45.340961933135986,114688,7,674,169,0.2,33.41913036443293,-5.442989026010037,0.2840996980667114,0.939174234867096,-0.011229175301923532,0.7381592988967896,60,0.014310466,0.001,0.166943359375
-43.05921411514282,131072,8,676,193,0.2,34.92193687185645,-5.400097931921482,0.2929052710533142,0.929234504699707,-0.00896866352231882,6.101104736328125,70,0.014755815,0.001,0.164385986328125
-40.333150029182434,147456,9,680,216,0.2,48.5711218778044,-5.3554852396249775,0.4118438959121704,0.9186827540397644,-0.008620685195637634,97.8343734741211,80,0.01413928,0.001,0.15286865234375
-32.27073377370834,163840,10,685,238,0.2,76.03060411512851,-5.318573406338691,0.459420382976532,0.9122685194015503,-0.009112242212722776,2.4166908264160156,90,0.016019847,0.001,0.157281494140625
-32.83566105365753,180224,11,690,260,0.2,3.0934850253164767,-5.275988268852234,0.8643749505281448,0.9031987190246582,-0.020815123219654195,1.135528802871704,100,0.022301894,0.001,0.221478271484375
-32.641751289367676,196608,12,692,283,0.2,42.63087283596396,-5.251976887881756,0.5967160165309906,0.8972980976104736,-0.012139652283804026,1.9907065629959106,110,0.015415311,0.001,0.157745361328125
26.35582745075226,212992,13,695,306,0.2,3.6274358216673135,-5.210034304857254,0.8390077948570251,0.8895629644393921,-0.019398891705350252,0.6424888372421265,120,0.025133587,0.001,0.257440185546875
-38.38094615936279,229376,14,697,328,0.2,35.87756175100803,-5.187232552468776,0.5514751076698303,0.8816263675689697,-0.00928523778275121,53.88982009887695,130,0.023293793,0.001,0.213818359375
-20.748350977897644,245760,15,699,351,0.2,54.05170118547976,-5.137625154852867,0.4348292946815491,0.8709014654159546,-0.011169532562416862,13.582839012145996,140,0.020567887,0.001,0.227764892578125
-25.76050478219986,262144,16,700,374,0.2,35.99853751547634,-5.089886927604676,0.4742494225502014,0.8629428148269653,-0.010521532116217713,7.115584373474121,150,0.028951775,0.001,0.241754150390625
7.409152507781982,278528,17,701,396,0.2,95.39366041272879,-5.0599595054984094,0.5652171969413757,0.8541633486747742,-0.01035357336368179,4.684148788452148,160,0.024174374,0.001,0.178399658203125
-26.358484983444214,294912,18,703,419,0.2,52.93483883142471,-5.025241528451443,0.7324988543987274,0.8477822542190552,-0.01111780350402114,2.565652370452881,170,0.026828447,0.001,0.202886962890625
-23.23655724339187,311296,19,703,442,0.2,41.15433129370213,-4.9875680804252625,0.8049524277448654,0.842126190662384,-0.013518138749350327,2.231768846511841,180,0.016298637,0.001,0.179010009765625
33.957754999399185,327680,20,703,465,0.2,28.60031375512481,-4.96886287778616,0.8310756683349609,0.8388795852661133,-0.015033994551049545,8.907150268554688,190,0.021556806,0.001,0.17735595703125
-8.024973452091217,344064,21,703,489,0.2,28.16733459606767,-4.956653517484665,0.8218285143375397,0.8364231586456299,-0.015292438839969691,8.456771850585938,200,0.024547435,0.001,0.21651611328125
64.24815160036087,360448,22,702,513,0.2,4.375032873824239,-4.9649205893278126,0.8017275929450989,0.8384802937507629,-0.02058056764799403,0.6556086540222168,210,0.048216313,0.001,0.362091064453125
-10.755031898617744,376832,23,701,537,0.2,54.946317478269336,-4.937078957259655,0.7118238508701324,0.8331888318061829,-0.013393052094761515,1.7037692070007324,220,0.021939224,0.001,0.246295166015625
1.6645202040672302,393216,24,698,562,0.2,12.917538711056114,-4.928281067311763,0.8486507833003998,0.8286624550819397,-0.019467888301005588,0.9994386434555054,230,0.04296694,0.001,0.316046142578125
-5.58639070391655,409600,25,696,587,0.2,49.17700375467539,-4.886103528738022,0.7095208466053009,0.8214528560638428,-0.01392935052717803,3.622652769088745,240,0.023065196,0.001,0.2210693359375
17.268835306167603,425984,26,696,611,0.2,65.55128778219223,-4.85188502073288,0.654635101556778,0.8154289126396179,-0.014965313341963337,29.805692672729492,250,0.026093973,0.001,0.24833984375
75.935029566288,442368,27,696,635,0.2,54.65652970671654,-4.820932151377201,0.7482019066810608,0.8080556392669678,-0.01718229804537259,18.00175666809082,260,0.024855826,0.001,0.192462158203125
14.335812494158745,458752,28,696,659,0.2,94.23472439199686,-4.7686956346035005,0.6977286636829376,0.7958755493164062,-0.015672048016131156,6.822255611419678,270,0.0238822,0.001,0.21209716796875
