time/iterations,time/total_timesteps,rew_vec_envs,time/fps,time/time_elapsed,train/explained_variance,train/value_loss,train/std,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/loss,train/n_updates
1,16384,18.230062127113342,579,28,,,,,,,,,,,
2,32768,23.461788058280945,682,48,0.0026006698608398438,89.98598394989968,0.9998748302459717,-5.675480744242668,0.2,0.00067834515,1.220703125e-05,1e-05,-0.0005992352911562193,73.67713928222656,10
3,49152,19.71025037765503,723,67,0.1383705735206604,1.3925776153802871,0.9996230006217957,-5.67485411465168,0.2,0.00059424713,0.0,1e-05,-0.0005067903235612903,0.3848024606704712,20
4,65536,19.675736665725708,747,87,-0.006994724273681641,1.1832230366766452,0.99956214427948,-5.674175035953522,0.2,0.0034069815,0.002960205078125,1e-05,-0.0014811344124609604,0.3871503174304962,30
5,81920,25.19508183002472,763,107,0.04692775011062622,21.475077990442514,0.999550461769104,-5.673929256200791,0.2,0.00014347714,0.0,1e-05,-0.00030043542828934734,19.027114868164062,40
6,98304,19.960756421089172,770,127,0.13392865657806396,1.7925436705350877,0.9996219873428345,-5.6740319430828094,0.2,0.00037363006,0.0,1e-05,-0.0003288093001174275,0.7054901123046875,50
7,114688,27.405250787734985,778,147,0.31348955631256104,1.1223874803632499,0.9991644620895386,-5.673574131727219,0.2,0.0028739013,0.0017822265625,1e-05,-0.0011453029052063356,0.4170275926589966,60
8,131072,15.126926124095917,781,167,0.015669822692871094,134.5594398587942,0.9991483092308044,-5.672312271595001,0.2,1.7238974e-05,0.0,1e-05,-7.393076593871228e-05,28.861602783203125,70
9,147456,23.459521055221558,783,188,0.44336193799972534,0.9747818872332573,0.999164342880249,-5.672391015291214,0.2,0.001530499,0.000140380859375,1e-05,-0.0006864080558443674,0.4300330877304077,80
10,163840,21.74964451789856,785,208,0.05779123306274414,46.28959757499397,0.9990903735160828,-5.672293934226036,0.2,0.00020819379,0.0,1e-05,-0.00011907842181244633,37.77241134643555,90
11,180224,21.66046702861786,786,229,0.47685980796813965,1.240636332705617,0.9992232918739319,-5.672287553548813,0.2,0.0014863566,0.0001220703125,1e-05,-0.0007978326924785506,0.5770003199577332,100
12,196608,22.0903537273407,784,250,0.028676867485046387,86.05131500288844,0.9992110729217529,-5.672645315527916,0.2,0.00013615993,0.0,1e-05,-0.00015505264309467748,6.537778377532959,110
13,212992,25.0319082736969,782,272,0.053899407386779785,48.95068969130516,0.9992846250534058,-5.672719737887382,0.2,0.00015085361,0.0,1e-05,-0.00014909451820130926,18.303382873535156,120
14,229376,21.44933593273163,780,293,0.672332763671875,1.4186654381453991,0.9993008375167847,-5.6729935020208355,0.2,0.0022528651,0.001092529296875,1e-05,-0.0012411907488058204,0.5884568691253662,130
15,245760,20.011967420578003,777,316,0.06407874822616577,49.27302908450365,0.9993046522140503,-5.672951117157936,0.2,0.00020386609,0.0,1e-05,-0.0002007845067055314,1.0181773900985718,140
16,262144,26.645524978637695,776,337,0.631683737039566,1.2559178434312344,0.9995967745780945,-5.673532584309578,0.2,0.0024475683,0.00181884765625,1e-05,-0.001164809044712456,0.5061038732528687,150
17,278528,27.158164739608765,775,359,0.3578351140022278,7.008776704967022,0.9996147155761719,-5.6741583228111265,0.2,9.9194105e-05,0.0,1e-05,-0.00025247647608921396,3.6401522159576416,160
18,294912,22.30723738670349,774,380,0.6723707318305969,1.4963815085589887,0.9992801547050476,-5.673584884405136,0.2,0.002398705,0.00087890625,1e-05,-0.0009366782625875203,0.7270030379295349,170
19,311296,30.042946338653564,773,402,0.7314417958259583,1.4285335585474968,0.9994900226593018,-5.673226630687713,0.2,0.0009871649,6.103515625e-05,1e-05,-0.0006437619515054394,0.6123080253601074,180
20,327680,19.974781036376953,772,424,0.7175709009170532,1.4760615602135658,0.9999082088470459,-5.674462410807609,0.2,0.0008650932,0.0,1e-05,-0.000612501209252514,0.9095926284790039,190
21,344064,21.574654698371887,772,445,0.2514980435371399,11.03477590829134,1.0000097751617432,-5.675583064556122,0.2,0.0009202451,1.220703125e-05,1e-05,-0.0006307418312644586,0.8804031610488892,200
22,360448,24.09258210659027,770,467,0.7264888286590576,1.1749445781111718,0.9997434616088867,-5.67531430721283,0.2,0.0022306321,0.00162353515625,1e-05,-0.0012124032989959232,0.682411253452301,210
23,376832,19.812102377414703,769,489,0.20391464233398438,27.730379523336886,0.9996861219406128,-5.674569725990295,0.2,2.7291619e-05,0.0,1e-05,-5.0518285752332305e-05,12.069982528686523,220
24,393216,21.48656928539276,767,512,0.05656611919403076,106.35030706077814,0.9996749758720398,-5.6744734197855,0.2,5.9836682e-05,0.0,1e-05,-0.00014062483605812304,79.61749267578125,230
25,409600,21.94001877307892,766,534,0.7644398808479309,1.59394219070673,0.9996705055236816,-5.674470040202141,0.2,0.0020268573,0.00054931640625,1e-05,-0.000988525371212745,0.8539437055587769,240
26,425984,21.960532784461975,765,556,0.276664674282074,22.162862892448903,0.9996645450592041,-5.674404221773147,0.2,7.492128e-05,0.0,1e-05,-0.000185360881005181,19.26280403137207,250
27,442368,22.709810256958008,764,578,0.7727279812097549,1.333539877459407,0.9999191761016846,-5.674860596656799,0.2,0.0005250048,1.8310546875e-05,1e-05,-0.0008336042053997516,0.7818223237991333,260
