ang_vel,ang_pos,lin_vel,lin_pos,agent_aux_state,past_actions,ally_ang_vel,ally_delta_ang_pos,ally_delta_lin_vel,ally_delta_lin_pos,target_ang_vel,target_delta_ang_pos,target_delta_lin_vel,target_delta_lin_pos,target_distance,hit_probability
[ 0.75612525  1.57886552 -0.02967828],[-0.11856599 -0.47753865  1.23700416],[-0.44046682  0.1173215  -0.2142643 ],[-2.7615491  -3.90415036 14.01744052],[0.2436649  0.15209452 0.11980193 0.20711514],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[-0.06476219 -0.01741295 -0.06709488],[-0.11662175 -0.47451583  1.23854259],[ 0.04479842 -0.45144206 -0.03441907],[  2.78829492   2.91670139 -11.45008068],11.640267011411302,0.8496328935938656
[ 0.34641716  1.39600813 -0.13100096],[-0.11405044 -0.4658274   1.23442072],[-0.47497557  0.12454215 -0.27588512],[-2.76308037 -3.90620658 14.01366548],[0.1214876  0.12175452 0.07902664 0.10632467],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.1119709  -0.14112263  0.25417207],[-0.11313235 -0.46209364  1.23451102],[ 0.11569117 -0.50065513  0.09217628],[  2.92513508   2.8802203  -11.42447989],11.639638585954255,0.8436772566957621
[ 0.32200708  1.32816816 -0.18054653],[-0.11005569 -0.45488147  1.23145066],[-0.50804004  0.13115489 -0.34825051],[-2.76462808 -3.90828834 14.00926698],[0.07598576 0.10822207 0.06578238 0.07803185],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[ 0.08634129 -0.08781931  0.25665828],[-0.10983223 -0.45029033  1.22920834],[ 0.1805531  -0.54657303  0.21283252],[  3.05262996   2.85290008 -11.39619695],11.637993801804177,0.8370250279245919
[ 0.34486791  1.27999206 -0.20965415],[-0.10583924 -0.44435416  1.22828644],[-0.53966644  0.13704227 -0.4235653 ],[-2.7661844  -3.91038398 14.00421949],[0.06055699 0.08870755 0.05362325 0.07546511],[0. 0. 0. 0.],[False False False],[False False False],[False False False],[False False False],[0.02778474 0.00825141 0.15705984],[-0.10593795 -0.43967623  1.2245276 ],[ 0.19388584 -0.57893917  0.23227703],[  3.17462753   2.8247889  -11.36780492],11.63609002071994,0.8300408683082966
[ 0.29892854  1.24409085 -0.21860848],[-0.10178719 -0.43417168  1.22509593],[-0.56989211  0.14238879 -0.49944409],[-2.76774749 -3.91249088 13.99851765],[0.1096044  0.07653553 0.04943348 0.13411903],[-0.02883047  0.90960413 -0.22186428 -2.05923629],[False False False],[False False False],[False False False],[False False False],[-0.0408543   0.07192071  0.0007993 ],[-0.10174577 -0.42990473  1.22089961],[ 0.20799247 -0.60989711  0.25396897],[  3.29215436   2.79900019 -11.33855687],11.634065861655934,0.8228964345067064
[ 0.14677114  1.2318533  -0.20789728],[-0.09904825 -0.42411691  1.22204103],[-0.59867068  0.14794867 -0.5742706 ],[-2.76932055 -3.91461404 13.99217459],[0.07879176 0.07640262 0.05043356 0.11342913],[-0.02883047  0.90960413 -0.22186428 -2.05923629],[False False False],[False False False],[False False False],[False False False],[-0.22141157 -0.00380327 -0.18078323],[-0.09762902 -0.4199349   1.21897461],[ 0.25350431 -0.64679212  0.34676362],[  3.40820307   2.78714989 -11.30441289],11.631521066617392,0.8157336296790131
[ 0.06686394  1.22208799 -0.19334331],[-0.09717324 -0.41411894  1.21915747],[-0.62594687  0.15373506 -0.65088049],[-2.77090127 -3.91675008 13.98518278],[0.06772248 0.07728748 0.05036873 0.10145021],[-0.02883047  0.90960413 -0.22186428 -2.05923629],[False False False],[False False False],[False False False],[False False False],[-0.34016432  0.07344243 -0.21408193],[-0.09311266 -0.41032317  1.21801984],[ 0.30002108 -0.68308963  0.448149  ],[  3.52378393   2.78372609 -11.26616288],11.628174226553009,0.8083981788504386
[ 0.01992707  1.20844511 -0.18331045],[-0.09583034 -0.40421634  1.2164153 ],[-0.65175324  0.15969282 -0.72844076],[-2.7724882  -3.9188969  13.97753768],[0.05836638 0.07782713 0.05196392 0.09341968],[-0.02883047  0.90960413 -0.22186428 -2.05923629],[False False False],[False False False],[False False False],[False False False],[-0.30402946  0.05926767 -0.14685219],[-0.08907569 -0.40097466  1.21667517],[ 0.30808071 -0.70985948  0.4659425 ],[  3.63807221   2.78523005 -11.22557114],11.624624666258082,0.8009590985510019
[ 0.06323382  1.10941728 -0.18362254],[-0.09451888 -0.39477852  1.21378777],[-0.67642729  0.16550836 -0.80430285],[-2.77408266 -3.92105647 13.96924557],[0.14104244 0.13782194 0.18436825 0.06688908],[-0.23802727  0.98840415 -0.17540465 -2.07505965],[False False False],[False False False],[False False False],[False False False],[-0.05148835 -0.04263153 -0.01962889],[-0.08654338 -0.39149416  1.21460269],[ 0.32106151 -0.73657883  0.49621324],[  3.74678394   2.78635085 -11.18549213],11.620947779313846,0.7936115627449338
[ 0.24911477  0.89457813 -0.20325677],[-0.09176162 -0.38731913  1.21127652],[-0.7014766   0.16979647 -0.87478015],[-2.77569499 -3.92324402 13.96034981],[0.09251369 0.14401792 0.09599796 0.09710303],[-0.23802727  0.98840415 -0.17540465 -2.07505965],[False False False],[False False False],[False False False],[False False False],[ 0.63382936 -0.30611308  0.13166193],[-0.08770463 -0.38185431  1.21114295],[ 0.37571081 -0.77116525  0.62460532],[  3.83309391   2.77108422 -11.15526345],11.616576217843516,0.7865918620639495
[ 0.31977306  0.95814147 -0.25621397],[-0.08808847 -0.37970778  1.20834505],[-0.72528143  0.17268804 -0.94914724],[-2.77732019 -3.92545225 13.95083148],[0.08842081 0.13852787 0.06678502 0.1057528 ],[-0.23802727  0.98840415 -0.17540465 -2.07505965],[False False False],[False False False],[False False False],[False False False],[0.94204131 0.01593135 0.23484766],[-0.0916852  -0.3735269   1.20632102],[ 0.42759616 -0.8023038   0.74937967],[  3.92057212   2.74886144 -11.1245429 ],11.61125838731793,0.779304731645201
[ 0.32710543  1.05071216 -0.30523929],[-0.08406438 -0.3713723   1.20492031],[-0.74722259  0.17455205 -1.0251392 ],[-2.77895617 -3.92767825 13.94068345],[0.09430432 0.12100546 0.05532814 0.11542597],[-0.23802727  0.98840415 -0.17540465 -2.07505965],[False False False],[False False False],[False False False],[False False False],[0.66986373 0.20473952 0.20316524],[-0.09390083 -0.36666817  1.20103689],[ 0.43780998 -0.82209021  0.77650237],[  4.01511552   2.72650233 -11.09021709],11.605696293015647,0.7719484326961011
[ 0.22728992  1.1170102  -0.32822012],[-0.08051235 -0.36244348  1.20121035],[-0.76725548  0.17626149 -1.10179373],[-2.78060235 -3.92992139 13.92990509],[0.11670425 0.09552121 0.05075181 0.14828342],[-0.22971201  0.49354583 -0.38984883 -2.28733635],[False False False],[False False False],[False False False],[False False False],[0.28015608 0.17464752 0.05102885],[-0.09367477 -0.35933954  1.19641237],[ 0.44778283 -0.84081957  0.80739217],[  4.11539031   2.71161334 -11.05084428],11.600018332454816,0.7645858758758397
[ 0.02389176  1.16789845 -0.31834456],[-0.07860231 -0.35305477  1.1975362 ],[-0.78537495  0.17939519 -1.17839559],[-2.78225968 -3.93218321 13.9185025 ],[0.11415828 0.08270142 0.04978178 0.14513132],[-0.22971201  0.49354583 -0.38984883 -2.28733635],[False False False],[False False False],[False False False],[False False False],[-0.56032023 -0.03827629 -0.21054708],[-0.0888965  -0.35038871  1.19398134],[ 0.4834542  -0.86525607  0.9139661 ],[  4.22052306   2.71454926 -11.00356627],11.593802676427325,0.757255030847485
[-0.16219279  1.1888523  -0.30243814],[-0.07840019 -0.34341297  1.19399879],[-0.80170699  0.1844401  -1.25619792],[-2.78392683 -3.93446182 13.90647142],[0.09894366 0.07254888 0.05127604 0.12797417],[-0.22971201  0.49354583 -0.38984883 -2.28733635],[False False False],[False False False],[False False False],[False False False],[-0.90710425 -0.11416633 -0.3738385 ],[-0.08103994 -0.33982612  1.19348967],[ 0.51573841 -0.89035347  1.02363874],[  4.32840173   2.73506952 -10.94874133],11.586794596024454,0.7498405691267347
