rew_vec_envs,time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/std,train/learning_rate,train/n_updates
-61.105038,,,,,,,,,,,,,,,
-65.009094,,,,,,,,,,,,,,,
,1,1048576,42,766,,,,,,,,,,,
-60.196335,,,,,8.344650268554688e-07,-0.000913761489209719,830532.8533203125,0.2,0.0008392333984375,401943.0625,-5.674350571632385,0.0016782507,0.9994755983352661,0.0001,320
-54.527798,,,,,,,,,,,,,,,
,2,1081344,72,909,,,,,,,,,,,
-48.327553,,,,,1.7881393432617188e-07,-0.000649945961413323,818228.921484375,0.2,4.2724609375e-05,398046.5625,-5.672980646789074,0.0011483307,0.9991617202758789,0.0001,330
-51.544334,,,,,,,,,,,,,,,
,3,1114112,101,971,,,,,,,,,,,
-52.59814,,,,,-1.1920928955078125e-07,-0.000385568631827482,686103.791796875,0.2,0.0,342249.1875,-5.672404542565346,0.0005687927,0.9991952180862427,0.0001,340
-64.02567,,,,,,,,,,,,,,,
,4,1146880,131,999,,,,,,,,,,,
-67.929214,,,,,3.635883331298828e-06,-0.000546687567839399,745988.66875,0.2,1.52587890625e-05,370732.75,-5.672448982298374,0.0008845791,0.9991722106933594,0.0001,350
-49.086617,,,,,,,,,,,,,,,
,5,1179648,160,1018,,,,,,,,,,,
-60.22452,,,,,0.0,-0.00039147428760770707,842620.9662109375,0.2,0.0,402436.90625,-5.671819400787354,0.0004105471,0.9988781213760376,0.0001,360
-52.55333,,,,,,,,,,,,,,,
,6,1212416,191,1027,,,,,,,,,,,
-59.91543,,,,,2.980232238769531e-07,-0.0010236517729936168,675201.6359375,0.2,0.0009124755859375,334720.5625,-5.671225009858608,0.0021506129,0.9988257884979248,0.0001,370
-47.031982,,,,,,,,,,,,,,,
,7,1245184,222,1030,,,,,,,,,,,
-57.9832,,,,,1.7881393432617188e-07,-0.0006463295005232795,670361.9642578125,0.2,0.000152587890625,316273.4375,-5.6703073039650915,0.0009584181,0.9984769821166992,0.0001,380
-62.076202,,,,,,,,,,,,,,,
,8,1277952,253,1035,,,,,,,,,,,
-60.443775,,,,,-1.1920928955078125e-07,-0.0006519143622426782,691654.0568359375,0.2,8.23974609375e-05,330443.4375,-5.668495677411556,0.0013534385,0.9979356527328491,0.0001,390
-51.865723,,,,,,,,,,,,,,,
,9,1310720,283,1039,,,,,,,,,,,
-54.90947,,,,,2.562999725341797e-05,-0.0007728349009994417,802035.21328125,0.2,7.9345703125e-05,401432.5,-5.667846888303757,0.0012629544,0.9981672763824463,0.0001,400
-53.48668,,,,,,,,,,,,,,,
,10,1343488,314,1042,,,,,,,,,,,
-49.643723,,,,,1.4901161193847656e-06,-0.0008708984216355021,617295.04921875,0.2,0.000482177734375,298117.75,-5.668547600507736,0.0019866168,0.9982179403305054,0.0001,410
-47.85208,,,,,,,,,,,,,,,
,11,1376256,345,1044,,,,,,,,,,,
-58.07911,,,,,5.9545040130615234e-05,-0.00044480194337666036,631890.7052734375,0.2,4.57763671875e-05,313956.0625,-5.6691010147333145,0.0009126866,0.9985157251358032,0.0001,420
-60.457363,,,,,,,,,,,,,,,
,12,1409024,376,1044,,,,,,,,,,,
-51.77198,,,,,-1.1920928955078125e-07,-0.0005864996004675049,724220.7419921875,0.2,2.44140625e-05,369224.34375,-5.670342300832272,0.00086012506,0.9988132119178772,0.0001,430
-53.14226,,,,,,,,,,,,,,,
,13,1441792,407,1046,,,,,,,,,,,
-52.393364,,,,,1.71661376953125e-05,-0.0003904048600816168,622124.033203125,0.2,2.13623046875e-05,308492.5,-5.671112307906151,0.00056344864,0.9988797903060913,0.0001,440
-45.87045,,,,,,,,,,,,,,,
,14,1474560,438,1047,,,,,,,,,,,
-53.608223,,,,,-2.384185791015625e-07,-0.0005722935857193079,582245.292578125,0.2,5.18798828125e-05,277693.875,-5.67109825015068,0.001114012,0.9988076090812683,0.0001,450
-51.164803,,,,,,,,,,,,,,,
,15,1507328,469,1046,,,,,,,,,,,
-56.08983,,,,,2.384185791015625e-07,-0.00043271206377539786,600720.45625,0.2,0.0,295861.5,-5.671198686957359,0.0005330079,0.9989712238311768,0.0001,460
-56.559776,,,,,,,,,,,,,,,
,16,1540096,500,1047,,,,,,,,,,,
-59.214485,,,,,1.1920928955078125e-07,-0.00040713426860747857,623799.298828125,0.2,9.1552734375e-06,287303.0625,-5.671629638969899,0.0006976329,0.9989796876907349,0.0001,470
-59.130714,,,,,,,,,,,,,,,
,17,1572864,532,1046,,,,,,,,,,,
-50.035473,,,,,2.0384788513183594e-05,-0.0007724685878201853,786455.91953125,0.2,0.000299072265625,382291.53125,-5.672183814644813,0.001539784,0.9992530345916748,0.0001,480
-58.009605,,,,,,,,,,,,,,,
,18,1605632,563,1045,,,,,,,,,,,
-50.79628,,,,,8.940696716308594e-07,-0.0006499182250990998,558714.6349609375,0.2,3.0517578125e-05,262945.0625,-5.67288074940443,0.00084299594,0.9993665218353271,0.0001,490
-53.095123,,,,,,,,,,,,,,,
,19,1638400,594,1046,,,,,,,,,,,
-54.73201,,,,,0.0008412599563598633,-0.0008529244885721709,605289.616015625,0.2,0.0001312255859375,307121.9375,-5.6741477906703945,0.0013293105,0.9998734593391418,0.0001,500
-58.91739,,,,,,,,,,,,,,,
,20,1671168,626,1046,,,,,,,,,,,
-55.913673,,,,,4.9591064453125e-05,-0.0006032323035469744,630041.916015625,0.2,0.0001922607421875,303168.71875,-5.675544755160809,0.0011769868,1.0000503063201904,0.0001,510
-54.726883,,,,,,,,,,,,,,,
,21,1703936,657,1046,,,,,,,,,,,
-56.3002,,,,,0.00024139881134033203,-0.0011582193143112817,695023.23046875,0.2,0.000628662109375,338183.46875,-5.67574816942215,0.0019120525,0.9999828934669495,0.0001,520
-49.194527,,,,,,,,,,,,,,,
,22,1736704,689,1046,,,,,,,,,,,
-50.82395,,,,,2.562999725341797e-06,-0.00043387336627347394,626860.29375,0.2,3.0517578125e-06,309545.09375,-5.6757944658398625,0.0006311021,1.0000803470611572,0.0001,530
-50.135273,,,,,,,,,,,,,,,
,23,1769472,720,1046,,,,,,,,,,,
-58.510296,,,,,1.1920928955078125e-07,-0.0004352390533313155,519974.6119140625,0.2,1.8310546875e-05,257495.5,-5.676351329684257,0.00066776504,1.000237226486206,0.0001,540
-50.275112,,,,,,,,,,,,,,,
,24,1802240,751,1045,,,,,,,,,,,
-55.873524,,,,,4.172325134277344e-06,-0.0005189343664824264,650104.039453125,0.2,3.0517578125e-06,322607.625,-5.675865811109543,0.00070224365,0.9998334646224976,0.0001,550
-53.064312,,,,,,,,,,,,,,,
,25,1835008,793,1032,,,,,,,,,,,
-65.43407,,,,,0.0005211830139160156,-0.0007103352072590496,557391.099609375,0.2,0.0005645751953125,265340.65625,-5.674306927621364,0.0016270124,0.9994785785675049,0.0001,560
-56.236076,,,,,,,,,,,,,,,
,26,1867776,824,1032,,,,,,,,,,,
-53.127804,,,,,0.0,-0.0010479481461516116,722087.061328125,0.2,0.00145263671875,371166.625,-5.673445729911327,0.0019977554,0.9993723034858704,0.0001,570
-56.499474,,,,,,,,,,,,,,,
,27,1900544,856,1033,,,,,,,,,,,
-50.001163,,,,,0.0009698867797851562,-0.00037208566136541775,637916.9103515625,0.2,0.0,307875.8125,-5.672754694521427,0.00067812164,0.9991573095321655,0.0001,580
-55.910675,,,,,,,,,,,,,,,
,28,1933312,887,1033,,,,,,,,,,,
-54.50947,,,,,3.5762786865234375e-07,-0.0005742259680118877,541823.2374023438,0.2,3.96728515625e-05,253318.125,-5.672467966377735,0.0010948579,0.9992353916168213,0.0001,590
-58.97458,,,,,,,,,,,,,,,
,29,1966080,919,1033,,,,,,,,,,,
